"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Parameter Value[Guard column]"	"Term Source REF"	"Term Accession Number"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"02sa00l00h1a1"	"Extraction"	""	"none"	""	"Chromatography"	"Agilent 1100 Series HPLC System"	""	""	"Gemini NX-C18 (3 µm, 2 mm x 150 mm; Phenomenex)"	"reverse phase"	"SecurityGuard NX-C18 (2 mm x 4 mm; Phenomenex)"	""	""	""	""	""	""	"Mass spectrometry"	""	"200-1400"	"Bruker micrOTOF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	""	"02sa00l00h1a1"	"02sa00l00h1a1_27_01_5561.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls10_metabolite profiling_mass spectrometry_v2_maf.tsv"
"02sa00l00h1b1"	"Extraction"	""	"none"	""	"Chromatography"	"Agilent 1100 Series HPLC System"	""	""	"Gemini NX-C18 (3 µm, 2 mm x 150 mm; Phenomenex)"	"reverse phase"	"SecurityGuard NX-C18 (2 mm x 4 mm; Phenomenex)"	""	""	""	""	""	""	"Mass spectrometry"	""	"200-1400"	"Bruker micrOTOF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	""	"02sa00l00h1b1"	"02sa00l00h1b1_28_01_5562.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls10_metabolite profiling_mass spectrometry_v2_maf.tsv"
"02sa00l00h1c1"	"Extraction"	""	"none"	""	"Chromatography"	"Agilent 1100 Series HPLC System"	""	""	"Gemini NX-C18 (3 µm, 2 mm x 150 mm; Phenomenex)"	"reverse phase"	"SecurityGuard NX-C18 (2 mm x 4 mm; Phenomenex)"	""	""	""	""	""	""	"Mass spectrometry"	""	"200-1400"	"Bruker micrOTOF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	""	"02sa00l00h1c1"	"02sa00l00h1c1_29_01_5563.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls10_metabolite profiling_mass spectrometry_v2_maf.tsv"
"02sa00l00h1d1"	"Extraction"	""	"none"	""	"Chromatography"	"Agilent 1100 Series HPLC System"	""	""	"Gemini NX-C18 (3 µm, 2 mm x 150 mm; Phenomenex)"	"reverse phase"	"SecurityGuard NX-C18 (2 mm x 4 mm; Phenomenex)"	""	""	""	""	""	""	"Mass spectrometry"	""	"200-1400"	"Bruker micrOTOF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	""	"02sa00l00h1d1"	"02sa00l00h1d1_30_01_5564.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls10_metabolite profiling_mass spectrometry_v2_maf.tsv"
"02sa00l00h1e1"	"Extraction"	""	"none"	""	"Chromatography"	"Agilent 1100 Series HPLC System"	""	""	"Gemini NX-C18 (3 µm, 2 mm x 150 mm; Phenomenex)"	"reverse phase"	"SecurityGuard NX-C18 (2 mm x 4 mm; Phenomenex)"	""	""	""	""	""	""	"Mass spectrometry"	""	"200-1400"	"Bruker micrOTOF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	""	"02sa00l00h1e1"	"02sa00l00h1e1_31_01_5567.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls10_metabolite profiling_mass spectrometry_v2_maf.tsv"
"02sa01l01h1a1"	"Extraction"	""	"none"	""	"Chromatography"	"Agilent 1100 Series HPLC System"	""	""	"Gemini NX-C18 (3 µm, 2 mm x 150 mm; Phenomenex)"	"reverse phase"	"SecurityGuard NX-C18 (2 mm x 4 mm; Phenomenex)"	""	""	""	""	""	""	"Mass spectrometry"	""	"200-1400"	"Bruker micrOTOF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	""	"02sa01l01h1a1"	"02sa01l01h1a1_2_01_5532.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls10_metabolite profiling_mass spectrometry_v2_maf.tsv"
"02sa01l01h2a1"	"Extraction"	""	"none"	""	"Chromatography"	"Agilent 1100 Series HPLC System"	""	""	"Gemini NX-C18 (3 µm, 2 mm x 150 mm; Phenomenex)"	"reverse phase"	"SecurityGuard NX-C18 (2 mm x 4 mm; Phenomenex)"	""	""	""	""	""	""	"Mass spectrometry"	""	"200-1400"	"Bruker micrOTOF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	""	"02sa01l01h2a1"	"02sa01l01h2a1_3_01_5533.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls10_metabolite profiling_mass spectrometry_v2_maf.tsv"
"02sa01l01h3a1"	"Extraction"	""	"none"	""	"Chromatography"	"Agilent 1100 Series HPLC System"	""	""	"Gemini NX-C18 (3 µm, 2 mm x 150 mm; Phenomenex)"	"reverse phase"	"SecurityGuard NX-C18 (2 mm x 4 mm; Phenomenex)"	""	""	""	""	""	""	"Mass spectrometry"	""	"200-1400"	"Bruker micrOTOF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	""	"02sa01l01h3a1"	"02sa01l01h3a1_4_01_5534.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls10_metabolite profiling_mass spectrometry_v2_maf.tsv"
"02sa01l01h4a1"	"Extraction"	""	"none"	""	"Chromatography"	"Agilent 1100 Series HPLC System"	""	""	"Gemini NX-C18 (3 µm, 2 mm x 150 mm; Phenomenex)"	"reverse phase"	"SecurityGuard NX-C18 (2 mm x 4 mm; Phenomenex)"	""	""	""	""	""	""	"Mass spectrometry"	""	"200-1400"	"Bruker micrOTOF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	""	"02sa01l01h4a1"	"02sa01l01h4a1_5_01_5535.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls10_metabolite profiling_mass spectrometry_v2_maf.tsv"
"02sa01l01h5a1"	"Extraction"	""	"none"	""	"Chromatography"	"Agilent 1100 Series HPLC System"	""	""	"Gemini NX-C18 (3 µm, 2 mm x 150 mm; Phenomenex)"	"reverse phase"	"SecurityGuard NX-C18 (2 mm x 4 mm; Phenomenex)"	""	""	""	""	""	""	"Mass spectrometry"	""	"200-1400"	"Bruker micrOTOF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	""	"02sa01l01h5a1"	"02sa01l01h5a1_6_01_5536.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls10_metabolite profiling_mass spectrometry_v2_maf.tsv"
"02sa01l02h1a1"	"Extraction"	""	"none"	""	"Chromatography"	"Agilent 1100 Series HPLC System"	""	""	"Gemini NX-C18 (3 µm, 2 mm x 150 mm; Phenomenex)"	"reverse phase"	"SecurityGuard NX-C18 (2 mm x 4 mm; Phenomenex)"	""	""	""	""	""	""	"Mass spectrometry"	""	"200-1400"	"Bruker micrOTOF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	""	"02sa01l02h1a1"	"02sa01l02h1a1_7_01_5537.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls10_metabolite profiling_mass spectrometry_v2_maf.tsv"
"02sa01l02h2a1"	"Extraction"	""	"none"	""	"Chromatography"	"Agilent 1100 Series HPLC System"	""	""	"Gemini NX-C18 (3 µm, 2 mm x 150 mm; Phenomenex)"	"reverse phase"	"SecurityGuard NX-C18 (2 mm x 4 mm; Phenomenex)"	""	""	""	""	""	""	"Mass spectrometry"	""	"200-1400"	"Bruker micrOTOF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	""	"02sa01l02h2a1"	"02sa01l02h2a1_8_01_5538.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls10_metabolite profiling_mass spectrometry_v2_maf.tsv"
"02sa01l02h3a1"	"Extraction"	""	"none"	""	"Chromatography"	"Agilent 1100 Series HPLC System"	""	""	"Gemini NX-C18 (3 µm, 2 mm x 150 mm; Phenomenex)"	"reverse phase"	"SecurityGuard NX-C18 (2 mm x 4 mm; Phenomenex)"	""	""	""	""	""	""	"Mass spectrometry"	""	"200-1400"	"Bruker micrOTOF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	""	"02sa01l02h3a1"	"02sa01l02h3a1_9_01_5539.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls10_metabolite profiling_mass spectrometry_v2_maf.tsv"
"02sa01l02h4a1"	"Extraction"	""	"none"	""	"Chromatography"	"Agilent 1100 Series HPLC System"	""	""	"Gemini NX-C18 (3 µm, 2 mm x 150 mm; Phenomenex)"	"reverse phase"	"SecurityGuard NX-C18 (2 mm x 4 mm; Phenomenex)"	""	""	""	""	""	""	"Mass spectrometry"	""	"200-1400"	"Bruker micrOTOF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	""	"02sa01l02h4a1"	"02sa01l02h4a1_10_01_5540.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls10_metabolite profiling_mass spectrometry_v2_maf.tsv"
"02sa01l02h5a1"	"Extraction"	""	"none"	""	"Chromatography"	"Agilent 1100 Series HPLC System"	""	""	"Gemini NX-C18 (3 µm, 2 mm x 150 mm; Phenomenex)"	"reverse phase"	"SecurityGuard NX-C18 (2 mm x 4 mm; Phenomenex)"	""	""	""	""	""	""	"Mass spectrometry"	""	"200-1400"	"Bruker micrOTOF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	""	"02sa01l02h5a1"	"02sa01l02h5a1_11_01_5541.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls10_metabolite profiling_mass spectrometry_v2_maf.tsv"
