"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Parameter Value[Guard column]"	"Term Source REF"	"Term Accession Number"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"GC-SIM-MS_01"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	"10 m DuraGuard (Agilent Technologies)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	""	"GC-SIM-MS_01"	"GC-SIM-MS_01.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls105_GC_SIM_mass_spectrometry_v2_maf.tsv"
"GC-SIM-MS_02"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	"10 m DuraGuard (Agilent Technologies)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	""	"GC-SIM-MS_02"	"GC-SIM-MS_02.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls105_GC_SIM_mass_spectrometry_v2_maf.tsv"
"GC-SIM-MS_03"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	"10 m DuraGuard (Agilent Technologies)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	""	"GC-SIM-MS_03"	"GC-SIM-MS_03.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls105_GC_SIM_mass_spectrometry_v2_maf.tsv"
"GC-SIM-MS_04"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	"10 m DuraGuard (Agilent Technologies)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	""	"GC-SIM-MS_04"	"GC-SIM-MS_04.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls105_GC_SIM_mass_spectrometry_v2_maf.tsv"
"GC-SIM-MS_05"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	"10 m DuraGuard (Agilent Technologies)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	""	"GC-SIM-MS_05"	"GC-SIM-MS_05.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls105_GC_SIM_mass_spectrometry_v2_maf.tsv"
"GC-SIM-MS_06"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	"10 m DuraGuard (Agilent Technologies)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	""	"GC-SIM-MS_06"	"GC-SIM-MS_06.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls105_GC_SIM_mass_spectrometry_v2_maf.tsv"
"GC-SIM-MS_07"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	"10 m DuraGuard (Agilent Technologies)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	""	"GC-SIM-MS_07"	"GC-SIM-MS_07.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls105_GC_SIM_mass_spectrometry_v2_maf.tsv"
"GC-SIM-MS_08"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	"10 m DuraGuard (Agilent Technologies)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	""	"GC-SIM-MS_08"	"GC-SIM-MS_08.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls105_GC_SIM_mass_spectrometry_v2_maf.tsv"
"GC-SIM-MS_09"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	"10 m DuraGuard (Agilent Technologies)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	""	"GC-SIM-MS_09"	"GC-SIM-MS_09.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls105_GC_SIM_mass_spectrometry_v2_maf.tsv"
"GC-SIM-MS_10"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"DB-5ms GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"low polarity"	"10 m DuraGuard (Agilent Technologies)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-600"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	""	"GC-SIM-MS_10"	"GC-SIM-MS_10.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls105_GC_SIM_mass_spectrometry_v2_maf.tsv"
