"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"GC-TOFMS_01"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50-600"	"LECO Pegasus "	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"GC-TOFMS_01"	"GC-TOFMS_01.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls105_GC_TOF_mass_spectrometry_v2_maf.tsv"
"GC-TOFMS_02"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50-600"	"LECO Pegasus "	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"GC-TOFMS_02"	"GC-TOFMS_02.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls105_GC_TOF_mass_spectrometry_v2_maf.tsv"
"GC-TOFMS_03"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50-600"	"LECO Pegasus "	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"GC-TOFMS_03"	"GC-TOFMS_03.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls105_GC_TOF_mass_spectrometry_v2_maf.tsv"
"GC-TOFMS_04"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50-600"	"LECO Pegasus "	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"GC-TOFMS_04"	"GC-TOFMS_04.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls105_GC_TOF_mass_spectrometry_v2_maf.tsv"
"GC-TOFMS_05"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50-600"	"LECO Pegasus "	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"GC-TOFMS_05"	"GC-TOFMS_05.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls105_GC_TOF_mass_spectrometry_v2_maf.tsv"
"GC-TOFMS_06"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50-600"	"LECO Pegasus "	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"GC-TOFMS_06"	"GC-TOFMS_06.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls105_GC_TOF_mass_spectrometry_v2_maf.tsv"
"GC-TOFMS_07"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50-600"	"LECO Pegasus "	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"GC-TOFMS_07"	"GC-TOFMS_07.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls105_GC_TOF_mass_spectrometry_v2_maf.tsv"
"GC-TOFMS_08"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50-600"	"LECO Pegasus "	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"GC-TOFMS_08"	"GC-TOFMS_08.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls105_GC_TOF_mass_spectrometry_v2_maf.tsv"
"GC-TOFMS_09"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50-600"	"LECO Pegasus "	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"GC-TOFMS_09"	"GC-TOFMS_09.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls105_GC_TOF_mass_spectrometry_v2_maf.tsv"
"GC-TOFMS_10"	"Extraction"	""	"sylilation"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-5 GC (0.25 µm, 0.32 mm x 30 m; Agilent Technologies)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"50-600"	"LECO Pegasus "	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"GC-TOFMS_10"	"GC-TOFMS_10.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls105_GC_TOF_mass_spectrometry_v2_maf.tsv"
