"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"B-car_C_223i"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Accela UHPLC System"	""	""	"NUCLEODUR C18 Gravity (1.8 μm, 2.1 mm x 50 mm; Macherey-Nagel)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"alternating"	"100-800"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"B-car_C_223i"	"B-car_C_291e.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_study_p_c_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"B-car_C_223a"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Accela UHPLC System"	""	""	"NUCLEODUR C18 Gravity (1.8 μm, 2.1 mm x 50 mm; Macherey-Nagel)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"alternating"	"100-800"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"B-car_C_223a"	"B-car_C_223i.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_study_p_c_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"B-car_C_291e"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Accela UHPLC System"	""	""	"NUCLEODUR C18 Gravity (1.8 μm, 2.1 mm x 50 mm; Macherey-Nagel)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"alternating"	"100-800"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"B-car_C_291e"	"B-car_C_223f.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_study_p_c_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"B-car_C_223f"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Accela UHPLC System"	""	""	"NUCLEODUR C18 Gravity (1.8 μm, 2.1 mm x 50 mm; Macherey-Nagel)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"alternating"	"100-800"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"B-car_C_223f"	"B-car_C_223e.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_study_p_c_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"B-car_C_223e"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Accela UHPLC System"	""	""	"NUCLEODUR C18 Gravity (1.8 μm, 2.1 mm x 50 mm; Macherey-Nagel)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"alternating"	"100-800"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"B-car_C_223e"	"B-car_C_223d.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_study_p_c_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"B-car_C_223d"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Accela UHPLC System"	""	""	"NUCLEODUR C18 Gravity (1.8 μm, 2.1 mm x 50 mm; Macherey-Nagel)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"alternating"	"100-800"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"B-car_C_223d"	"B-car_C_223b.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_study_p_c_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"B-car_C_223b"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Accela UHPLC System"	""	""	"NUCLEODUR C18 Gravity (1.8 μm, 2.1 mm x 50 mm; Macherey-Nagel)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"alternating"	"100-800"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"B-car_C_223b"	"B-car_C_223a.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_study_p_c_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"B-car_C_222i"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Accela UHPLC System"	""	""	"NUCLEODUR C18 Gravity (1.8 μm, 2.1 mm x 50 mm; Macherey-Nagel)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"alternating"	"100-800"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"B-car_C_222i"	"B-car_C_222i.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_study_p_c_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"B-car_C_222e"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Accela UHPLC System"	""	""	"NUCLEODUR C18 Gravity (1.8 μm, 2.1 mm x 50 mm; Macherey-Nagel)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"alternating"	"100-800"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"B-car_C_222e"	"B-car_C_222e.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_study_p_c_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"B-car_C_221a"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Accela UHPLC System"	""	""	"NUCLEODUR C18 Gravity (1.8 μm, 2.1 mm x 50 mm; Macherey-Nagel)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"alternating"	"100-800"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"B-car_C_221a"	"B-car_C_221a.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_study_p_c_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
