"Sample Name"	"Protocol REF"	"Parameter Value[Extraction Method]"	"Extract Name"	"Protocol REF"	"Parameter Value[NMR tube type]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Solvent]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Sample pH]"	"Parameter Value[Temperature]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[NMR Probe]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Number of transients]"	"Parameter Value[Pulse sequence name]"	"Parameter Value[Magnetic field strength]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Acquisition Parameter Data File"	"Protocol REF"	"NMR Assay Name"	"Free Induction Decay Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"Twn001_MA10"	"Extraction"	"methanol/water (70:30, v/v)"	"MA10"	"NMR sample"	"3 mm"	""	""	"D2O"	""	""	""	"25"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Varian Unity Inova 500 MHz spectrometer"	""	""	"3 mm BB 1H/X"	""	""	"64"	"1D 1H with presaturation (presat)"	"11.7"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"Twn001_MA10"	"Twn001_MA10.zip"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_MTBLS116_Species_Comparison_NMR_spectroscopy_v2_maf.tsv"
"Twn002_MA11"	"Extraction"	"methanol/water (70:30, v/v)"	"MA11"	"NMR sample"	"3 mm"	""	""	"D2O"	""	""	""	"25"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Varian Unity Inova 500 MHz spectrometer"	""	""	"3 mm BB 1H/X"	""	""	"64"	"1D 1H with presaturation (presat)"	"11.7"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"Twn002_MA11"	"Twn002_MA11.zip"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_MTBLS116_Species_Comparison_NMR_spectroscopy_v2_maf.tsv"
"Twn003_MA15"	"Extraction"	"methanol/water (70:30, v/v)"	"MA15"	"NMR sample"	"3 mm"	""	""	"D2O"	""	""	""	"25"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Varian Unity Inova 500 MHz spectrometer"	""	""	"3 mm BB 1H/X"	""	""	"64"	"1D 1H with presaturation (presat)"	"11.7"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"Twn003_MA15"	"Twn003_MA15.zip"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_MTBLS116_Species_Comparison_NMR_spectroscopy_v2_maf.tsv"
"Twn004_MA16"	"Extraction"	"methanol/water (70:30, v/v)"	"MA16"	"NMR sample"	"3 mm"	""	""	"D2O"	""	""	""	"25"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Varian Unity Inova 500 MHz spectrometer"	""	""	"3 mm BB 1H/X"	""	""	"64"	"1D 1H with presaturation (presat)"	"11.7"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"Twn004_MA16"	"Twn004_MA16.zip"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_MTBLS116_Species_Comparison_NMR_spectroscopy_v2_maf.tsv"
"Twn005_MA18"	"Extraction"	"methanol/water (70:30, v/v)"	"MA18"	"NMR sample"	"3 mm"	""	""	"D2O"	""	""	""	"25"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Varian Unity Inova 500 MHz spectrometer"	""	""	"3 mm BB 1H/X"	""	""	"64"	"1D 1H with presaturation (presat)"	"11.7"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"Twn005_MA18"	"Twn005_MA18.zip"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_MTBLS116_Species_Comparison_NMR_spectroscopy_v2_maf.tsv"
"Twn006_MA3"	"Extraction"	"methanol/water (70:30, v/v)"	"MA3"	"NMR sample"	"3 mm"	""	""	"D2O"	""	""	""	"25"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Varian Unity Inova 500 MHz spectrometer"	""	""	"3 mm BB 1H/X"	""	""	"64"	"1D 1H with presaturation (presat)"	"11.7"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"Twn006_MA3"	"Twn006_MA3.zip"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_MTBLS116_Species_Comparison_NMR_spectroscopy_v2_maf.tsv"
"Twn007_MA8"	"Extraction"	"methanol/water (70:30, v/v)"	"MA7"	"NMR sample"	"3 mm"	""	""	"D2O"	""	""	""	"25"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Varian Unity Inova 500 MHz spectrometer"	""	""	"3 mm BB 1H/X"	""	""	"64"	"1D 1H with presaturation (presat)"	"11.7"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"Twn007_MA8"	"Twn007_MA8.zip"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_MTBLS116_Species_Comparison_NMR_spectroscopy_v2_maf.tsv"
"Twn008_MA7"	"Extraction"	"methanol/water (70:30, v/v)"	"MA8"	"NMR sample"	"3 mm"	""	""	"D2O"	""	""	""	"25"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Varian Unity Inova 500 MHz spectrometer"	""	""	"3 mm BB 1H/X"	""	""	"64"	"1D 1H with presaturation (presat)"	"11.7"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"Twn008_MA7"	"Twn008_MA7.zip"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_MTBLS116_Species_Comparison_NMR_spectroscopy_v2_maf.tsv"
"Twn009_PD12"	"Extraction"	"methanol/water (70:30, v/v)"	"PD12"	"NMR sample"	"3 mm"	""	""	"D2O"	""	""	""	"25"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Varian Unity Inova 500 MHz spectrometer"	""	""	"3 mm BB 1H/X"	""	""	"64"	"1D 1H with presaturation (presat)"	"11.7"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"Twn009_PD12"	"Twn009_PD12.zip"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_MTBLS116_Species_Comparison_NMR_spectroscopy_v2_maf.tsv"
"Twn010_PD14"	"Extraction"	"methanol/water (70:30, v/v)"	"PD14"	"NMR sample"	"3 mm"	""	""	"D2O"	""	""	""	"25"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Varian Unity Inova 500 MHz spectrometer"	""	""	"3 mm BB 1H/X"	""	""	"64"	"1D 1H with presaturation (presat)"	"11.7"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"Twn010_PD14"	"Twn010_PD14.zip"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_MTBLS116_Species_Comparison_NMR_spectroscopy_v2_maf.tsv"
