"Sample Name"	"Protocol REF"	"Parameter Value[Extraction Method]"	"Extract Name"	"Protocol REF"	"Parameter Value[NMR tube type]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Solvent]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Sample pH]"	"Parameter Value[Temperature]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[NMR Probe]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Number of transients]"	"Parameter Value[Pulse sequence name]"	"Parameter Value[Magnetic field strength]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Acquisition Parameter Data File"	"Protocol REF"	"NMR Assay Name"	"Free Induction Decay Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"SPIK_01"	"Extraction"	"methanol/water (70:30, v/v)"	"2"	"NMR sample"	"3 mm"	""	""	"D2O"	""	""	""	"25"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Varian Unity Inova 500 MHz spectrometer"	""	""	"3 mm BB 1H/X"	""	""	"64"	"1D 1H with presaturation (presat)"	"11.7"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"SPIK_01"	"SPIK_01.zip"	"Data transformation"	"N/A"	""	"Metabolite identification"	""	"m_MTBLS116_Spiking_NMR_spectroscopy_v2_maf.tsv"
"SPIK_02"	"Extraction"	"methanol/water (70:30, v/v)"	"5"	"NMR sample"	"3 mm"	""	""	"D2O"	""	""	""	"25"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Varian Unity Inova 500 MHz spectrometer"	""	""	"3 mm BB 1H/X"	""	""	"64"	"1D 1H with presaturation (presat)"	"11.7"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"SPIK_02"	"SPIK_02.zip"	"Data transformation"	"N/A"	""	"Metabolite identification"	""	"m_MTBLS116_Spiking_NMR_spectroscopy_v2_maf.tsv"
"SPIK_03"	"Extraction"	"methanol/water (70:30, v/v)"	"8"	"NMR sample"	"3 mm"	""	""	"D2O"	""	""	""	"25"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Varian Unity Inova 500 MHz spectrometer"	""	""	"3 mm BB 1H/X"	""	""	"64"	"1D 1H with presaturation (presat)"	"11.7"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"SPIK_03"	"SPIK_03.zip"	"Data transformation"	"N/A"	""	"Metabolite identification"	""	"m_MTBLS116_Spiking_NMR_spectroscopy_v2_maf.tsv"
"SPIK_04"	"Extraction"	"methanol/water (70:30, v/v)"	"12"	"NMR sample"	"3 mm"	""	""	"D2O"	""	""	""	"25"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Varian Unity Inova 500 MHz spectrometer"	""	""	"3 mm BB 1H/X"	""	""	"64"	"1D 1H with presaturation (presat)"	"11.7"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"SPIK_04"	"SPIK_04.zip"	"Data transformation"	"N/A"	""	"Metabolite identification"	""	"m_MTBLS116_Spiking_NMR_spectroscopy_v2_maf.tsv"
"SPIK_05"	"Extraction"	"methanol/water (70:30, v/v)"	"17"	"NMR sample"	"3 mm"	""	""	"D2O"	""	""	""	"25"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Varian Unity Inova 500 MHz spectrometer"	""	""	"3 mm BB 1H/X"	""	""	"64"	"1D 1H with presaturation (presat)"	"11.7"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"SPIK_05"	"SPIK_05.zip"	"Data transformation"	"N/A"	""	"Metabolite identification"	""	"m_MTBLS116_Spiking_NMR_spectroscopy_v2_maf.tsv"
"SPIK_06"	"Extraction"	"methanol/water (70:30, v/v)"	"20"	"NMR sample"	"3 mm"	""	""	"D2O"	""	""	""	"25"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Varian Unity Inova 500 MHz spectrometer"	""	""	"3 mm BB 1H/X"	""	""	"64"	"1D 1H with presaturation (presat)"	"11.7"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"SPIK_06"	"SPIK_06.zip"	"Data transformation"	"N/A"	""	"Metabolite identification"	""	"m_MTBLS116_Spiking_NMR_spectroscopy_v2_maf.tsv"
"SPIK_07"	"Extraction"	"methanol/water (70:30, v/v)"	"3"	"NMR sample"	"3 mm"	""	""	"D2O"	""	""	""	"25"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Varian Unity Inova 500 MHz spectrometer"	""	""	"3 mm BB 1H/X"	""	""	"64"	"1D 1H with presaturation (presat)"	"11.7"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"SPIK_07"	"SPIK_07.zip"	"Data transformation"	"N/A"	""	"Metabolite identification"	""	"m_MTBLS116_Spiking_NMR_spectroscopy_v2_maf.tsv"
"SPIK_08"	"Extraction"	"methanol/water (70:30, v/v)"	"6"	"NMR sample"	"3 mm"	""	""	"D2O"	""	""	""	"25"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Varian Unity Inova 500 MHz spectrometer"	""	""	"3 mm BB 1H/X"	""	""	"64"	"1D 1H with presaturation (presat)"	"11.7"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"SPIK_08"	"SPIK_08.zip"	"Data transformation"	"N/A"	""	"Metabolite identification"	""	"m_MTBLS116_Spiking_NMR_spectroscopy_v2_maf.tsv"
"SPIK_09"	"Extraction"	"methanol/water (70:30, v/v)"	"9"	"NMR sample"	"3 mm"	""	""	"D2O"	""	""	""	"25"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Varian Unity Inova 500 MHz spectrometer"	""	""	"3 mm BB 1H/X"	""	""	"64"	"1D 1H with presaturation (presat)"	"11.7"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"SPIK_09"	"SPIK_09.zip"	"Data transformation"	"N/A"	""	"Metabolite identification"	""	"m_MTBLS116_Spiking_NMR_spectroscopy_v2_maf.tsv"
"SPIK_10"	"Extraction"	"methanol/water (70:30, v/v)"	"13"	"NMR sample"	"3 mm"	""	""	"D2O"	""	""	""	"25"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Varian Unity Inova 500 MHz spectrometer"	""	""	"3 mm BB 1H/X"	""	""	"64"	"1D 1H with presaturation (presat)"	"11.7"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"SPIK_10"	"SPIK_10.zip"	"Data transformation"	"N/A"	""	"Metabolite identification"	""	"m_MTBLS116_Spiking_NMR_spectroscopy_v2_maf.tsv"
