"Sample Name"	"Protocol REF"	"Parameter Value[Extraction Method]"	"Extract Name"	"Protocol REF"	"Parameter Value[NMR tube type]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Solvent]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Sample pH]"	"Parameter Value[Temperature]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[NMR Probe]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Number of transients]"	"Parameter Value[Pulse sequence name]"	"Parameter Value[Magnetic field strength]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Acquisition Parameter Data File"	"Protocol REF"	"NMR Assay Name"	"Free Induction Decay Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"Var_PC1"	"Extraction"	"methanol/water (70:30, v/v)"	"H21"	"NMR sample"	"3 mm"	""	""	"D2O"	""	""	""	"25"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Varian Unity Inova 500 MHz spectrometer"	""	""	"3 mm BB 1H/X"	""	""	"128"	"1D 1H with presaturation (presat)"	"11.7"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"Var_PC1"	"Var_PC1.zip"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"Var_PC2"	"Extraction"	"methanol/water (70:30, v/v)"	"H22"	"NMR sample"	"3 mm"	""	""	"D2O"	""	""	""	"25"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Varian Unity Inova 500 MHz spectrometer"	""	""	"3 mm BB 1H/X"	""	""	"128"	"1D 1H with presaturation (presat)"	"11.7"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"Var_PC2"	"Var_PC2.zip"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"Var_PC3"	"Extraction"	"methanol/water (70:30, v/v)"	"H23"	"NMR sample"	"3 mm"	""	""	"D2O"	""	""	""	"25"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Varian Unity Inova 500 MHz spectrometer"	""	""	"3 mm BB 1H/X"	""	""	"128"	"1D 1H with presaturation (presat)"	"11.7"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"Var_PC3"	"Var_PC3.zip"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"Var_PC4"	"Extraction"	"methanol/water (70:30, v/v)"	"H25"	"NMR sample"	"3 mm"	""	""	"D2O"	""	""	""	"25"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Varian Unity Inova 500 MHz spectrometer"	""	""	"3 mm BB 1H/X"	""	""	"128"	"1D 1H with presaturation (presat)"	"11.7"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"Var_PC4"	"Var_PC4.zip"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"Var_PC5"	"Extraction"	"methanol/water (70:30, v/v)"	"H26"	"NMR sample"	"3 mm"	""	""	"D2O"	""	""	""	"25"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Varian Unity Inova 500 MHz spectrometer"	""	""	"3 mm BB 1H/X"	""	""	"128"	"1D 1H with presaturation (presat)"	"11.7"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"Var_PC5"	"Var_PC5.zip"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"Var_PC6"	"Extraction"	"methanol/water (70:30, v/v)"	"H28"	"NMR sample"	"3 mm"	""	""	"D2O"	""	""	""	"25"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Varian Unity Inova 500 MHz spectrometer"	""	""	"3 mm BB 1H/X"	""	""	"128"	"1D 1H with presaturation (presat)"	"11.7"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"Var_PC6"	"Var_PC6.zip"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"Var_PC7"	"Extraction"	"methanol/water (70:30, v/v)"	"H29"	"NMR sample"	"3 mm"	""	""	"D2O"	""	""	""	"25"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Varian Unity Inova 500 MHz spectrometer"	""	""	"3 mm BB 1H/X"	""	""	"128"	"1D 1H with presaturation (presat)"	"11.7"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"Var_PC7"	"Var_PC7.zip"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"Var_PC8"	"Extraction"	"methanol/water (70:30, v/v)"	"H30"	"NMR sample"	"3 mm"	""	""	"D2O"	""	""	""	"25"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Varian Unity Inova 500 MHz spectrometer"	""	""	"3 mm BB 1H/X"	""	""	"128"	"1D 1H with presaturation (presat)"	"11.7"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"Var_PC8"	"Var_PC8.zip"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"Var_PC9"	"Extraction"	"methanol/water (70:30, v/v)"	"H31"	"NMR sample"	"3 mm"	""	""	"D2O"	""	""	""	"25"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Varian Unity Inova 500 MHz spectrometer"	""	""	"3 mm BB 1H/X"	""	""	"128"	"1D 1H with presaturation (presat)"	"11.7"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"Var_PC9"	"Var_PC9.zip"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"Var_PC10"	"Extraction"	"methanol/water (70:30, v/v)"	"H33"	"NMR sample"	"3 mm"	""	""	"D2O"	""	""	""	"25"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Varian Unity Inova 500 MHz spectrometer"	""	""	"3 mm BB 1H/X"	""	""	"128"	"1D 1H with presaturation (presat)"	"11.7"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"Var_PC10"	"Var_PC10.zip"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
