"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Time point]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Infection]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"
"C24 I"	"Glycine max"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3847"	"Glycine max cv. AC Proteina"	""	""	"hypocotyl"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000613"	"Sample collection"	"C24 I"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"control"	""	""	"1"	""	""
"C24 II"	"Glycine max"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3847"	"Glycine max cv. AC Proteina"	""	""	"hypocotyl"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000613"	"Sample collection"	"C24 II"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"control"	""	""	"2"	""	""
"C24 III"	"Glycine max"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3847"	"Glycine max cv. AC Proteina"	""	""	"hypocotyl"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000613"	"Sample collection"	"C24 III"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"control"	""	""	"3"	""	""
"C24 IV"	"Glycine max"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3847"	"Glycine max cv. AC Proteina"	""	""	"hypocotyl"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000613"	"Sample collection"	"C24 IV"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"control"	""	""	"4"	""	""
"C24 V"	"Glycine max"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3847"	"Glycine max cv. AC Proteina"	""	""	"hypocotyl"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000613"	"Sample collection"	"C24 V"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"control"	""	""	"5"	""	""
"R24 I"	"Glycine max/NCBITAXON:Rhizoctonia solani"	"NCBITAXON"	""	"Glycine max cv. AC Proteina/Rhizoctonia solani AG4 isolate A76"	""	""	"hypocotyl/EFO:whole organism"	"BTO"	""	"Sample collection"	"R24 I"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"infected "	""	""	"1"	""	""
"R24 II"	"Glycine max/NCBITAXON:Rhizoctonia solani"	"NCBITAXON"	""	"Glycine max cv. AC Proteina/Rhizoctonia solani AG4 isolate A76"	""	""	"hypocotyl/EFO:whole organism"	"BTO"	""	"Sample collection"	"R24 II"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"infected "	""	""	"2"	""	""
"R24 III"	"Glycine max/NCBITAXON:Rhizoctonia solani"	"NCBITAXON"	""	"Glycine max cv. AC Proteina/Rhizoctonia solani AG4 isolate A76"	""	""	"hypocotyl/EFO:whole organism"	"BTO"	""	"Sample collection"	"R24 III"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"infected "	""	""	"3"	""	""
"R24 IV"	"Glycine max/NCBITAXON:Rhizoctonia solani"	"NCBITAXON"	""	"Glycine max cv. AC Proteina/Rhizoctonia solani AG4 isolate A76"	""	""	"hypocotyl/EFO:whole organism"	"BTO"	""	"Sample collection"	"R24 IV"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"infected "	""	""	"4"	""	""
"R24 V"	"Glycine max/NCBITAXON:Rhizoctonia solani"	"NCBITAXON"	""	"Glycine max cv. AC Proteina/Rhizoctonia solani AG4 isolate A76"	""	""	"hypocotyl/EFO:whole organism"	"BTO"	""	"Sample collection"	"R24 V"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"infected "	""	""	"5"	""	""
"C48 I"	"Glycine max"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3847"	"Glycine max cv. AC Proteina"	""	""	"hypocotyl"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000613"	"Sample collection"	"C48 I"	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"control"	""	""	"1"	""	""
"C48 II"	"Glycine max"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3847"	"Glycine max cv. AC Proteina"	""	""	"hypocotyl"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000613"	"Sample collection"	"C48 II"	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"control"	""	""	"2"	""	""
"C48 III"	"Glycine max"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3847"	"Glycine max cv. AC Proteina"	""	""	"hypocotyl"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000613"	"Sample collection"	"C48 III"	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"control"	""	""	"3"	""	""
"C48 IV"	"Glycine max"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3847"	"Glycine max cv. AC Proteina"	""	""	"hypocotyl"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000613"	"Sample collection"	"C48 IV"	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"control"	""	""	"4"	""	""
"C48 V"	"Glycine max"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3847"	"Glycine max cv. AC Proteina"	""	""	"hypocotyl"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000613"	"Sample collection"	"C48 V"	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"control"	""	""	"5"	""	""
"R48 I"	"Glycine max/NCBITAXON:Rhizoctonia solani"	"NCBITAXON"	""	"Glycine max cv. AC Proteina/Rhizoctonia solani AG4 isolate A76"	""	""	"hypocotyl/EFO:whole organism"	"BTO"	""	"Sample collection"	"R48 I"	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"infected "	""	""	"1"	""	""
"R48 II"	"Glycine max/NCBITAXON:Rhizoctonia solani"	"NCBITAXON"	""	"Glycine max cv. AC Proteina/Rhizoctonia solani AG4 isolate A76"	""	""	"hypocotyl/EFO:whole organism"	"BTO"	""	"Sample collection"	"R48 II"	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"infected "	""	""	"2"	""	""
"R48 III"	"Glycine max/NCBITAXON:Rhizoctonia solani"	"NCBITAXON"	""	"Glycine max cv. AC Proteina/Rhizoctonia solani AG4 isolate A76"	""	""	"hypocotyl/EFO:whole organism"	"BTO"	""	"Sample collection"	"R48 III"	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"infected "	""	""	"3"	""	""
"R48 IV"	"Glycine max/NCBITAXON:Rhizoctonia solani"	"NCBITAXON"	""	"Glycine max cv. AC Proteina/Rhizoctonia solani AG4 isolate A76"	""	""	"hypocotyl/EFO:whole organism"	"BTO"	""	"Sample collection"	"R48 IV"	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"infected "	""	""	"4"	""	""
"R48 V"	"Glycine max/NCBITAXON:Rhizoctonia solani"	"NCBITAXON"	""	"Glycine max cv. AC Proteina/Rhizoctonia solani AG4 isolate A76"	""	""	"hypocotyl/EFO:whole organism"	"BTO"	""	"Sample collection"	"R48 V"	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"infected "	""	""	"5"	""	""
