"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Mutation]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Chemotype]"	"Term Source REF"	"Term Accession Number"
"seed extract, lipid-depleted"	"Glycine max"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3847"	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"130615_Neg_115_1A"	"DM"	""	""	"low phytate"	""	""
"seed extract, lipid-depleted"	"Glycine max"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3847"	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"130615_Neg_115_1B"	"DM"	""	""	"low phytate"	""	""
"seed extract, lipid-depleted"	"Glycine max"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3847"	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"130615_Neg_115_1C"	"DM"	""	""	"low phytate"	""	""
"seed extract, lipid-depleted"	"Glycine max"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3847"	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"130615_Neg_115_2A"	"DM"	""	""	"low phytate"	""	""
"seed extract, lipid-depleted"	"Glycine max"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3847"	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"130615_Neg_115_2B"	"DM"	""	""	"low phytate"	""	""
"seed extract, lipid-depleted"	"Glycine max"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3847"	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"130615_Neg_115_2C"	"DM"	""	""	"low phytate"	""	""
"seed extract, lipid-depleted"	"Glycine max"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3847"	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"130615_Neg_115_3A"	"DM"	""	""	"low phytate"	""	""
"seed extract, lipid-depleted"	"Glycine max"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3847"	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"130615_Neg_115_3B"	"DM"	""	""	"low phytate"	""	""
"seed extract, lipid-depleted"	"Glycine max"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3847"	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"130615_Neg_115_3C"	"DM"	""	""	"low phytate"	""	""
"seed extract, lipid-depleted"	"Glycine max"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3847"	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"130615_Neg_120_1A"	"SM3"	""	""	"normal phytate"	""	""
"seed extract, lipid-depleted"	"Glycine max"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3847"	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"130615_Neg_120_1B"	"SM3"	""	""	"normal phytate"	""	""
"seed extract, lipid-depleted"	"Glycine max"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3847"	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"130615_Neg_120_1C"	"SM3"	""	""	"normal phytate"	""	""
"seed extract, lipid-depleted"	"Glycine max"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3847"	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"130615_Neg_120_2A"	"SM3"	""	""	"normal phytate"	""	""
"seed extract, lipid-depleted"	"Glycine max"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3847"	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"130615_Neg_120_2B"	"SM3"	""	""	"normal phytate"	""	""
"seed extract, lipid-depleted"	"Glycine max"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3847"	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"130615_Neg_120_2C"	"SM3"	""	""	"normal phytate"	""	""
"seed extract, lipid-depleted"	"Glycine max"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3847"	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"130615_Neg_120_3A"	"SM3"	""	""	"normal phytate"	""	""
"seed extract, lipid-depleted"	"Glycine max"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3847"	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"130615_Neg_120_3B"	"SM3"	""	""	"normal phytate"	""	""
"seed extract, lipid-depleted"	"Glycine max"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3847"	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"130615_Neg_120_3C"	"SM3"	""	""	"normal phytate"	""	""
"seed extract, lipid-depleted"	"Glycine max"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3847"	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"130615_Neg_131_1A"	"WT"	""	""	"normal phytate"	""	""
"seed extract, lipid-depleted"	"Glycine max"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3847"	"seed"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001226"	"Sample collection"	"130615_Neg_131_1B"	"WT"	""	""	"normal phytate"	""	""
