"Sample Name"	"Protocol REF"	"Parameter Value[Extraction Method]"	"Extract Name"	"Protocol REF"	"Parameter Value[NMR tube type]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Solvent]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Sample pH]"	"Parameter Value[Temperature]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[NMR Probe]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Number of transients]"	"Parameter Value[Pulse sequence name]"	"Parameter Value[Magnetic field strength]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Acquisition Parameter Data File"	"Protocol REF"	"NMR Assay Name"	"Free Induction Decay Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"M011112MB"	"Extraction"	"perchloric acid extraction"	""	"NMR sample"	"5 mm (Wilmad-LabGlass)"	""	""	"D2O"	""	""	"7.4"	"298"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Varian Unity Inova 600 MHz spectrometer"	""	""	"5 mm HCN triple resonance "	""	""	"128"	"1D 1H with presaturation (presat)"	"14.1"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"M011112MB.zip"	"NMR assay"	"M011112MB"	"M011112MB.zip"	"Data transformation"	""	"Muscle_Data.xlsx"	"Metabolite identification"	""	"m_monr_muscle_NMRspectroscopy_v2_maf.tsv"
"M011112MS45"	"Extraction"	"perchloric acid extraction"	""	"NMR sample"	"5 mm (Wilmad-LabGlass)"	""	""	"D2O"	""	""	"7.4"	"298"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Varian Unity Inova 600 MHz spectrometer"	""	""	"5 mm HCN triple resonance "	""	""	"128"	"1D 1H with presaturation (presat)"	"14.1"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"M011112MS45.zip"	"NMR assay"	"M011112MS45"	"M011112MS45.zip"	"Data transformation"	""	"Muscle_Data.xlsx"	"Metabolite identification"	""	"m_monr_muscle_NMRspectroscopy_v2_maf.tsv"
"M011811MB"	"Extraction"	"perchloric acid extraction"	""	"NMR sample"	"5 mm (Wilmad-LabGlass)"	""	""	"D2O"	""	""	"7.4"	"298"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Varian Unity Inova 600 MHz spectrometer"	""	""	"5 mm HCN triple resonance "	""	""	"128"	"1D 1H with presaturation (presat)"	"14.1"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"M011811MB.zip"	"NMR assay"	"M011811MB"	"M011811MB.zip"	"Data transformation"	""	"Muscle_Data.xlsx"	"Metabolite identification"	""	"m_monr_muscle_NMRspectroscopy_v2_maf.tsv"
"M011811MFR2"	"Extraction"	"perchloric acid extraction"	""	"NMR sample"	"5 mm (Wilmad-LabGlass)"	""	""	"D2O"	""	""	"7.4"	"298"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Varian Unity Inova 600 MHz spectrometer"	""	""	"5 mm HCN triple resonance "	""	""	"128"	"1D 1H with presaturation (presat)"	"14.1"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"M011811MFR2.zip"	"NMR assay"	"M011811MFR2"	"M011811MFR2.zip"	"Data transformation"	""	"Muscle_Data.xlsx"	"Metabolite identification"	""	"m_monr_muscle_NMRspectroscopy_v2_maf.tsv"
"M011811MFR8"	"Extraction"	"perchloric acid extraction"	""	"NMR sample"	"5 mm (Wilmad-LabGlass)"	""	""	"D2O"	""	""	"7.4"	"298"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Varian Unity Inova 600 MHz spectrometer"	""	""	"5 mm HCN triple resonance "	""	""	"128"	"1D 1H with presaturation (presat)"	"14.1"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"M011811MFR8.zip"	"NMR assay"	"M011811MFR8"	"M011811MFR8.zip"	"Data transformation"	""	"Muscle_Data.xlsx"	"Metabolite identification"	""	"m_monr_muscle_NMRspectroscopy_v2_maf.tsv"
"M011811MFR20"	"Extraction"	"perchloric acid extraction"	""	"NMR sample"	"5 mm (Wilmad-LabGlass)"	""	""	"D2O"	""	""	"7.4"	"298"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Varian Unity Inova 600 MHz spectrometer"	""	""	"5 mm HCN triple resonance "	""	""	"128"	"1D 1H with presaturation (presat)"	"14.1"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"M011811MFR20.zip"	"NMR assay"	"M011811MFR20"	"M011811MFR20.zip"	"Data transformation"	""	"Muscle_Data.xlsx"	"Metabolite identification"	""	"m_monr_muscle_NMRspectroscopy_v2_maf.tsv"
"M011811MPR48"	"Extraction"	"perchloric acid extraction"	""	"NMR sample"	"5 mm (Wilmad-LabGlass)"	""	""	"D2O"	""	""	"7.4"	"298"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Varian Unity Inova 600 MHz spectrometer"	""	""	"5 mm HCN triple resonance "	""	""	"128"	"1D 1H with presaturation (presat)"	"14.1"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"M011811MPR48.zip"	"NMR assay"	"M011811MPR48"	"M011811MPR48.zip"	"Data transformation"	""	"Muscle_Data.xlsx"	"Metabolite identification"	""	"m_monr_muscle_NMRspectroscopy_v2_maf.tsv"
"M011811MS45"	"Extraction"	"perchloric acid extraction"	""	"NMR sample"	"5 mm (Wilmad-LabGlass)"	""	""	"D2O"	""	""	"7.4"	"298"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Varian Unity Inova 600 MHz spectrometer"	""	""	"5 mm HCN triple resonance "	""	""	"128"	"1D 1H with presaturation (presat)"	"14.1"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"M011811MS45.zip"	"NMR assay"	"M011811MS45"	"M011811MS45.zip"	"Data transformation"	""	"Muscle_Data.xlsx"	"Metabolite identification"	""	"m_monr_muscle_NMRspectroscopy_v2_maf.tsv"
"M012412MB"	"Extraction"	"perchloric acid extraction"	""	"NMR sample"	"5 mm (Wilmad-LabGlass)"	""	""	"D2O"	""	""	"7.4"	"298"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Varian Unity Inova 600 MHz spectrometer"	""	""	"5 mm HCN triple resonance "	""	""	"128"	"1D 1H with presaturation (presat)"	"14.1"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"M012412MB.zip"	"NMR assay"	"M012412MB"	"M012412MB.zip"	"Data transformation"	""	"Muscle_Data.xlsx"	"Metabolite identification"	""	"m_monr_muscle_NMRspectroscopy_v2_maf.tsv"
"M012412MFR2"	"Extraction"	"perchloric acid extraction"	""	"NMR sample"	"5 mm (Wilmad-LabGlass)"	""	""	"D2O"	""	""	"7.4"	"298"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Varian Unity Inova 600 MHz spectrometer"	""	""	"5 mm HCN triple resonance "	""	""	"128"	"1D 1H with presaturation (presat)"	"14.1"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	"M012412MFR2.zip"	"NMR assay"	"M012412MFR2"	"M012412MFR2.zip"	"Data transformation"	""	"Muscle_Data.xlsx"	"Metabolite identification"	""	"m_monr_muscle_NMRspectroscopy_v2_maf.tsv"
