"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Treatment]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Tissue]"	"Term Source REF"	"Term Accession Number"
"Mouse 01"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Nude Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14239"	"blood"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000089"	"Sample collection"	"Mouse 01 blood control oral"	"control oral"	""	""	"blood"	""	""
"Mouse 01"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Nude Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14239"	"liver"	"BTO"	""	"Sample collection"	"Mouse 01 liver control oral"	"control oral"	""	""	"liver"	""	""
"Mouse 01"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Nude Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14239"	"dorsal skin"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001907"	"Sample collection"	"Mouse 01 dorsal skin control oral"	"control oral"	""	""	"dorsal skin"	""	""
"Mouse 01"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Nude Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14239"	"Leg Skin"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C52749"	"Sample collection"	"Mouse 01 leg skin control oral"	"control oral"	""	""	"leg skin"	""	""
"Mouse 01"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Nude Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14239"	"leg muscle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000722"	"Sample collection"	"Mouse 01 leg muscle control oral"	"control oral"	""	""	"leg muscle"	""	""
"Mouse 02"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Nude Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14239"	"blood"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000089"	"Sample collection"	"Mouse 02 blood control oral"	"control oral"	""	""	"blood"	""	""
"Mouse 02"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Nude Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14239"	"liver"	"BTO"	""	"Sample collection"	"Mouse 02 liver control oral"	"control oral"	""	""	"liver"	""	""
"Mouse 02"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Nude Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14239"	"dorsal skin"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001907"	"Sample collection"	"Mouse 02 dorsal skin control oral"	"control oral"	""	""	"dorsal skin"	""	""
"Mouse 02"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Nude Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14239"	"Leg Skin"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C52749"	"Sample collection"	"Mouse 02 leg skin control oral"	"control oral"	""	""	"leg skin"	""	""
"Mouse 02"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Nude Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14239"	"leg muscle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000722"	"Sample collection"	"Mouse 02 leg muscle control oral"	"control oral"	""	""	"leg muscle"	""	""
"Mouse 03"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Nude Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14239"	"blood"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000089"	"Sample collection"	"Mouse 03 blood control oral"	"control oral"	""	""	"blood"	""	""
"Mouse 03"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Nude Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14239"	"liver"	"BTO"	""	"Sample collection"	"Mouse 03 liver control oral"	"control oral"	""	""	"liver"	""	""
"Mouse 03"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Nude Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14239"	"dorsal skin"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001907"	"Sample collection"	"Mouse 03 dorsal skin control oral"	"control oral"	""	""	"dorsal skin"	""	""
"Mouse 03"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Nude Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14239"	"Leg Skin"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C52749"	"Sample collection"	"Mouse 03 leg skin control oral"	"control oral"	""	""	"leg skin"	""	""
"Mouse 03"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Nude Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14239"	"leg muscle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000722"	"Sample collection"	"Mouse 03 leg muscle control oral"	"control oral"	""	""	"leg muscle"	""	""
