"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Cell line]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Resveratrol concentration]"	"Unit"	"Term Source REF"	"Term Accession Number"
"HepG2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Hep-G2 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000599"	"Sample collection"	"HepG2 1 RESV 0uM"	"HepG2"	""	""	"0"	"micromole"	"UO"	"http://purl.obolibrary.org/obo/UO_0000039"
"HepG2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Hep-G2 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000599"	"Sample collection"	"HepG2 2 RESV 0uM"	"HepG2"	""	""	"0"	"micromole"	"UO"	"http://purl.obolibrary.org/obo/UO_0000039"
"HepG2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Hep-G2 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000599"	"Sample collection"	"HepG2 3 RESV 0uM"	"HepG2"	""	""	"0"	"micromole"	"UO"	"http://purl.obolibrary.org/obo/UO_0000039"
"HepG2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Hep-G2 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000599"	"Sample collection"	"HepG2 1 RESV 20uM"	"HepG2"	""	""	"20"	"micromole"	"UO"	"http://purl.obolibrary.org/obo/UO_0000039"
"HepG2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Hep-G2 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000599"	"Sample collection"	"HepG2 2 RESV 20uM"	"HepG2"	""	""	"20"	"micromole"	"UO"	"http://purl.obolibrary.org/obo/UO_0000039"
"HepG2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Hep-G2 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000599"	"Sample collection"	"HepG2 3 RESV 20uM"	"HepG2"	""	""	"20"	"micromole"	"UO"	"http://purl.obolibrary.org/obo/UO_0000039"
"HepG2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Hep-G2 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000599"	"Sample collection"	"HepG2 1 RESV 200uM"	"HepG2"	""	""	"200"	"micromole"	"UO"	"http://purl.obolibrary.org/obo/UO_0000039"
"HepG2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Hep-G2 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000599"	"Sample collection"	"HepG2 2 RESV 200uM"	"HepG2"	""	""	"200"	"micromole"	"UO"	"http://purl.obolibrary.org/obo/UO_0000039"
"HepG2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Hep-G2 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000599"	"Sample collection"	"HepG2 3 RESV 200uM"	"HepG2"	""	""	"200"	"micromole"	"UO"	"http://purl.obolibrary.org/obo/UO_0000039"
"HaCaT"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"HaCaT cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000552"	"Sample collection"	"HaCaT 1 RESV 0uM"	"HaCaT"	""	""	"0"	"micromole"	"UO"	"http://purl.obolibrary.org/obo/UO_0000039"
"HaCaT"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"HaCaT cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000552"	"Sample collection"	"HaCaT 2 RESV 0uM"	"HaCaT"	""	""	"0"	"micromole"	"UO"	"http://purl.obolibrary.org/obo/UO_0000039"
"HaCaT"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"HaCaT cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000552"	"Sample collection"	"HaCaT 3 RESV 0uM"	"HaCaT"	""	""	"0"	"micromole"	"UO"	"http://purl.obolibrary.org/obo/UO_0000039"
"HaCaT"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"HaCaT cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000552"	"Sample collection"	"HaCaT 1 RESV 20uM"	"HaCaT"	""	""	"20"	"micromole"	"UO"	"http://purl.obolibrary.org/obo/UO_0000039"
