"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"ATCC21831_1"	"Extraction"	"50 µl H2O"	"none"	"ATCC21831_1"	"Chromatography"	"Hitachi LaChrome Ultra"	""	""	"Cogent Diamond Hydride (3 µm, 2.1 mm x 150 mm; MicroSolv Technologies)"	"silica hydrid normal phase"	"IS"	"U-13C"	""	""	"Mass spectrometry"	"positive"	"50-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"ATCC21831_1"	"ATCC21831_1_179_01_4683.cdf"	"Data transformation"	"internal standard, cell dry weight"	""	"Metabolite identification"	""	"m_mtbls128_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"ATCC21831_2"	"Extraction"	"50 µl H2O"	"none"	"ATCC21831_2"	"Chromatography"	"Hitachi LaChrome Ultra"	""	""	"Cogent Diamond Hydride (3 µm, 2.1 mm x 150 mm; MicroSolv Technologies)"	"silica hydrid normal phase"	"IS"	"U-13C"	""	""	"Mass spectrometry"	"positive"	"50-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"ATCC21831_2"	"ATCC21831_2_181_01_4685.cdf"	"Data transformation"	"internal standard, cell dry weight"	""	"Metabolite identification"	""	"m_mtbls128_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"ATCC21831_3"	"Extraction"	"50 µl H2O"	"none"	"ATCC21831_3"	"Chromatography"	"Hitachi LaChrome Ultra"	""	""	"Cogent Diamond Hydride (3 µm, 2.1 mm x 150 mm; MicroSolv Technologies)"	"silica hydrid normal phase"	"IS"	"U-13C"	""	""	"Mass spectrometry"	"positive"	"50-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"ATCC21831_3"	"ATCC21831_3_178_01_4682.cdf"	"Data transformation"	"internal standard, cell dry weight"	""	"Metabolite identification"	""	"m_mtbls128_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"ATCC21831_4"	"Extraction"	"50 µl H2O"	"none"	"ATCC21831_4"	"Chromatography"	"Hitachi LaChrome Ultra"	""	""	"Cogent Diamond Hydride (3 µm, 2.1 mm x 150 mm; MicroSolv Technologies)"	"silica hydrid normal phase"	"IS"	"U-13C"	""	""	"Mass spectrometry"	"positive"	"50-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"ATCC21831_4"	"ATCC21831_4_184_01_4688.cdf"	"Data transformation"	"internal standard, cell dry weight"	""	"Metabolite identification"	""	"m_mtbls128_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"ATCC13032_1"	"Extraction"	"50 µl H2O"	"none"	"ATCC13032_1"	"Chromatography"	"Hitachi LaChrome Ultra"	""	""	"Cogent Diamond Hydride (3 µm, 2.1 mm x 150 mm; MicroSolv Technologies)"	"silica hydrid normal phase"	"IS"	"U-13C"	""	""	"Mass spectrometry"	"positive"	"50-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"ATCC13032_1"	"ATCC13032_1_177_01_4681.cdf"	"Data transformation"	"internal standard, cell dry weight"	""	"Metabolite identification"	""	"m_mtbls128_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"ATCC13032_2"	"Extraction"	"50 µl H2O"	"none"	"ATCC13032_2"	"Chromatography"	"Hitachi LaChrome Ultra"	""	""	"Cogent Diamond Hydride (3 µm, 2.1 mm x 150 mm; MicroSolv Technologies)"	"silica hydrid normal phase"	"IS"	"U-13C"	""	""	"Mass spectrometry"	"positive"	"50-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"ATCC13032_2"	"ATCC13032_2_182_01_4686.cdf"	"Data transformation"	"internal standard, cell dry weight"	""	"Metabolite identification"	""	"m_mtbls128_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"ATCC13032_3"	"Extraction"	"50 µl H2O"	"none"	"ATCC13032_3"	"Chromatography"	"Hitachi LaChrome Ultra"	""	""	"Cogent Diamond Hydride (3 µm, 2.1 mm x 150 mm; MicroSolv Technologies)"	"silica hydrid normal phase"	"IS"	"U-13C"	""	""	"Mass spectrometry"	"positive"	"50-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"ATCC13032_3"	"ATCC13032_3_183_01_4687.cdf"	"Data transformation"	"internal standard, cell dry weight"	""	"Metabolite identification"	""	"m_mtbls128_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"ATCC13032_4"	"Extraction"	"50 µl H2O"	"none"	"ATCC13032_4"	"Chromatography"	"Hitachi LaChrome Ultra"	""	""	"Cogent Diamond Hydride (3 µm, 2.1 mm x 150 mm; MicroSolv Technologies)"	"silica hydrid normal phase"	"IS"	"U-13C"	""	""	"Mass spectrometry"	"positive"	"50-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"ATCC13032_4"	"ATCC13032_4_180_01_4684.cdf"	"Data transformation"	"internal standard, cell dry weight"	""	"Metabolite identification"	""	"m_mtbls128_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Internal_Standard_1"	"Extraction"	"50 µl H2O"	"none"	"Internal_Standard_1"	"Chromatography"	"Hitachi LaChrome Ultra"	""	""	"Cogent Diamond Hydride (3 µm, 2.1 mm x 150 mm; MicroSolv Technologies)"	"silica hydrid normal phase"	"IS"	"U-13C"	""	""	"Mass spectrometry"	"positive"	"50-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Internal_Standard_1"	"IS_1_185_01_4691.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls128_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Internal_Standard_2"	"Extraction"	"50 µl H2O"	"none"	"Internal_Standard_2"	"Chromatography"	"Hitachi LaChrome Ultra"	""	""	"Cogent Diamond Hydride (3 µm, 2.1 mm x 150 mm; MicroSolv Technologies)"	"silica hydrid normal phase"	"IS"	"U-13C"	""	""	"Mass spectrometry"	"positive"	"50-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Internal_Standard_2"	"IS_2_186_01_4692.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls128_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
