"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism Part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[strain]"	"Term Source REF"	"Term Accession Number"	"Factor Value[replicate]"	"Term Source REF"	"Term Accession Number"
"CeBiTec Bielefeld Uiversity.Group-1.Subject-1"	"Corynebacterium glutamicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1718"	"Corynebacterium glutamicum str. ATCC 21831"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"ATCC21831_1"	"ATCC 21831"	""	""	"1"	""	""
"CeBiTec Bielefeld Uiversity.Group-1.Subject-2"	"Corynebacterium glutamicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1718"	"Corynebacterium glutamicum str. ATCC 21831"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"ATCC21831_2"	"ATCC 21831"	""	""	"2"	""	""
"CeBiTec Bielefeld Uiversity.Group-1.Subject-3"	"Corynebacterium glutamicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1718"	"Corynebacterium glutamicum str. ATCC 21831"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"ATCC21831_3"	"ATCC 21831"	""	""	"3"	""	""
"CeBiTec Bielefeld Uiversity.Group-1.Subject-4"	"Corynebacterium glutamicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1718"	"Corynebacterium glutamicum str. ATCC 21831"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"ATCC21831_4"	"ATCC 21831"	""	""	"4"	""	""
"CeBiTec Bielefeld Uiversity.Group-2.Subject-1"	"Corynebacterium glutamicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1718"	"Corynebacterium glutamicum ATCC 13032"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_196627"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"ATCC13032_1"	"ATCC 13032"	""	""	"1"	""	""
"CeBiTec Bielefeld Uiversity.Group-2.Subject-2"	"Corynebacterium glutamicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1718"	"Corynebacterium glutamicum ATCC 13032"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_196627"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"ATCC13032_2"	"ATCC 13032"	""	""	"2"	""	""
"CeBiTec Bielefeld Uiversity.Group-2.Subject-3"	"Corynebacterium glutamicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1718"	"Corynebacterium glutamicum ATCC 13032"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_196627"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"ATCC13032_3"	"ATCC 13032"	""	""	"3"	""	""
"CeBiTec Bielefeld Uiversity.Group-2.Subject-4"	"Corynebacterium glutamicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1718"	"Corynebacterium glutamicum ATCC 13032"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_196627"	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"ATCC13032_4"	"ATCC 13032"	""	""	"4"	""	""
"CeBiTec Bielefeld Uiversity.Group-3.Subject-1"	"Corynebacterium glutamicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1718"	"Corynebacterium glutamicum str. ATCC 21831"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"Internal_Standard_1"	"internal standard"	""	""	"1"	""	""
"CeBiTec Bielefeld Uiversity.Group-3.Subject-2"	"Corynebacterium glutamicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1718"	"Corynebacterium glutamicum str. ATCC 21831"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"Internal_Standard_2"	"internal standard"	""	""	"2"	""	""
