"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Variety]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Country]"	"Term Source REF"	"Term Accession Number"
"Neubrandenburg grape collection"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"Vitis vinifera L. cv. Phoenix"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LPGa"	"Phoenix"	""	""	"Germany"	""	""
"Neubrandenburg grape collection"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"Vitis vinifera L. cv. Phoenix"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LPGb"	"Phoenix"	""	""	"Germany"	""	""
"Neubrandenburg grape collection"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"Vitis vinifera L. cv. Phoenix"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LPGc"	"Phoenix"	""	""	"Germany"	""	""
"Neubrandenburg grape collection"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"Vitis vinifera L. cv. Phoenix"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LPGd"	"Phoenix"	""	""	"Germany"	""	""
"Neubrandenburg grape collection"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"Vitis vinifera L. cv. Phoenix"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LPGe"	"Phoenix"	""	""	"Germany"	""	""
"Neubrandenburg grape collection"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"Vitis vinifera L. cv. Phoenix"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LPGf"	"Phoenix"	""	""	"Germany"	""	""
"Neubrandenburg grape collection"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"Vitis vinifera L. cv. Phoenix"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LPGg"	"Phoenix"	""	""	"Germany"	""	""
"Neubrandenburg grape collection"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"Vitis vinifera L. cv. Phoenix"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LPGh"	"Phoenix"	""	""	"Germany"	""	""
"Neubrandenburg grape collection"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"Vitis vinifera L. cv. Phoenix"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LPGi"	"Phoenix"	""	""	"Germany"	""	""
"Neubrandenburg grape collection"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"Vitis vinifera L. cv. Phoenix"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"LPGj"	"Phoenix"	""	""	"Germany"	""	""
