"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization 1]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Derivatization 2]"	"Term Source REF"	"Term Accession Number"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"7295if_25"	"Extraction"	""	"methoxyamination"	""	""	"trimethylsilylation"	""	""	"7295if_25"	"Chromatography"	"Agilent 6890N GC"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian) and 10 m EZGuard (Varian)"	"low polarity"	"N/A"	"no label"	""	""	"Mass spectrometry"	"positive"	"70–600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"7295if_25"	"7295if_25"	"Data transformation"	""	""	"Metabolite identification"	""	"m_Metabolomic responses to long-term salt stress in related Lotus species (A)_v2_maf.tsv"
"7295if_41"	"Extraction"	""	"methoxyamination"	""	""	"trimethylsilylation"	""	""	"7295if_41"	"Chromatography"	"Agilent 6890N GC"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian) and 10 m EZGuard (Varian)"	"low polarity"	"N/A"	"no label"	""	""	"Mass spectrometry"	"positive"	"70–600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"7295if_41"	"7295if_41"	"Data transformation"	""	""	"Metabolite identification"	""	"m_Metabolomic responses to long-term salt stress in related Lotus species (A)_v2_maf.tsv"
"7295if_57"	"Extraction"	""	"methoxyamination"	""	""	"trimethylsilylation"	""	""	"7295if_57"	"Chromatography"	"Agilent 6890N GC"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian) and 10 m EZGuard (Varian)"	"low polarity"	"N/A"	"no label"	""	""	"Mass spectrometry"	"positive"	"70–600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"7295if_57"	"7295if_57"	"Data transformation"	""	""	"Metabolite identification"	""	"m_Metabolomic responses to long-term salt stress in related Lotus species (A)_v2_maf.tsv"
"7295if_9"	"Extraction"	""	"methoxyamination"	""	""	"trimethylsilylation"	""	""	"7295if_9"	"Chromatography"	"Agilent 6890N GC"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian) and 10 m EZGuard (Varian)"	"low polarity"	"N/A"	"no label"	""	""	"Mass spectrometry"	"positive"	"70–600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"7295if_9"	"7295if_9"	"Data transformation"	""	""	"Metabolite identification"	""	"m_Metabolomic responses to long-term salt stress in related Lotus species (A)_v2_maf.tsv"
"7299if_19"	"Extraction"	""	"methoxyamination"	""	""	"trimethylsilylation"	""	""	"7299if_19"	"Chromatography"	"Agilent 6890N GC"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian) and 10 m EZGuard (Varian)"	"low polarity"	"N/A"	"no label"	""	""	"Mass spectrometry"	"positive"	"70–600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"7299if_19"	"7299if_19"	"Data transformation"	""	""	"Metabolite identification"	""	"m_Metabolomic responses to long-term salt stress in related Lotus species (A)_v2_maf.tsv"
"7299if_35"	"Extraction"	""	"methoxyamination"	""	""	"trimethylsilylation"	""	""	"7299if_35"	"Chromatography"	"Agilent 6890N GC"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian) and 10 m EZGuard (Varian)"	"low polarity"	"N/A"	"no label"	""	""	"Mass spectrometry"	"positive"	"70–600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"7299if_35"	"7299if_35"	"Data transformation"	""	""	"Metabolite identification"	""	"m_Metabolomic responses to long-term salt stress in related Lotus species (A)_v2_maf.tsv"
"7295if_13"	"Extraction"	""	"methoxyamination"	""	""	"trimethylsilylation"	""	""	"7295if_13"	"Chromatography"	"Agilent 6890N GC"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian) and 10 m EZGuard (Varian)"	"low polarity"	"N/A"	"no label"	""	""	"Mass spectrometry"	"positive"	"70–600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"7295if_13"	"7295if_13"	"Data transformation"	""	""	"Metabolite identification"	""	"m_Metabolomic responses to long-term salt stress in related Lotus species (A)_v2_maf.tsv"
"7295if_29"	"Extraction"	""	"methoxyamination"	""	""	"trimethylsilylation"	""	""	"7295if_29"	"Chromatography"	"Agilent 6890N GC"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian) and 10 m EZGuard (Varian)"	"low polarity"	"N/A"	"no label"	""	""	"Mass spectrometry"	"positive"	"70–600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"7295if_29"	"7295if_29"	"Data transformation"	""	""	"Metabolite identification"	""	"m_Metabolomic responses to long-term salt stress in related Lotus species (A)_v2_maf.tsv"
"7295if_45"	"Extraction"	""	"methoxyamination"	""	""	"trimethylsilylation"	""	""	"7295if_45"	"Chromatography"	"Agilent 6890N GC"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian) and 10 m EZGuard (Varian)"	"low polarity"	"N/A"	"no label"	""	""	"Mass spectrometry"	"positive"	"70–600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"7295if_45"	"7295if_45"	"Data transformation"	""	""	"Metabolite identification"	""	"m_Metabolomic responses to long-term salt stress in related Lotus species (A)_v2_maf.tsv"
"7299if_23"	"Extraction"	""	"methoxyamination"	""	""	"trimethylsilylation"	""	""	"7299if_23"	"Chromatography"	"Agilent 6890N GC"	""	""	"VF-5ms GC (0.25 µm, 0.25 mm x 30 m; Varian) and 10 m EZGuard (Varian)"	"low polarity"	"N/A"	"no label"	""	""	"Mass spectrometry"	"positive"	"70–600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"7299if_23"	"7299if_23"	"Data transformation"	""	""	"Metabolite identification"	""	"m_Metabolomic responses to long-term salt stress in related Lotus species (A)_v2_maf.tsv"
