"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Dose]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Time point]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"
"RPEC/TERT1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"renal proximal tubule"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001498"	"Sample collection"	"C01.R1"	"Control"	""	""	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Replicate 1"	""	""
"RPEC/TERT1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"renal proximal tubule"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001498"	"Sample collection"	"C03.R1"	"Control"	""	""	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Replicate 1"	""	""
"RPEC/TERT1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"renal proximal tubule"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001498"	"Sample collection"	"C14.R1"	"Control"	""	""	"14"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Replicate 1"	""	""
"RPEC/TERT1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"renal proximal tubule"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001498"	"Sample collection"	"L01.R1"	"Low dose"	""	""	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Replicate 1"	""	""
"RPEC/TERT1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"renal proximal tubule"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001498"	"Sample collection"	"L03.R1"	"Low dose"	""	""	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Replicate 1"	""	""
"RPEC/TERT1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"renal proximal tubule"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001498"	"Sample collection"	"L14.R1"	"Low dose"	""	""	"14"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Replicate 1"	""	""
"RPEC/TERT1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"renal proximal tubule"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001498"	"Sample collection"	"H01.R1"	"High dose"	""	""	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Replicate 1"	""	""
"RPEC/TERT1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"renal proximal tubule"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001498"	"Sample collection"	"H03.R1"	"High dose"	""	""	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Replicate 1"	""	""
"RPEC/TERT1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"renal proximal tubule"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001498"	"Sample collection"	"H14.R1"	"High dose"	""	""	"14"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Replicate 1"	""	""
"RPEC/TERT1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"renal proximal tubule"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001498"	"Sample collection"	"C01.R2"	"Control"	""	""	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"Replicate 2"	""	""
