"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"10-hydroxygeissoschizol"	"Extraction"	""	""	""	"Chromatography"	"Agilent 1260 Infinity HPLC"	""	""	"SunFire C18 (3.5 µm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1200"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"10-hydroxygeissoschizol"	"10-hydroxygeissoschizol.mgf"	"Data transformation"	""	"10_hydroxygeissoschizol.mzXML"	"Metabolite identification"	""	"m_mtbls142_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"10-hydroxyusambarensine"	"Extraction"	""	""	""	"Chromatography"	"Agilent 1260 Infinity HPLC"	""	""	"SunFire C18 (3.5 µm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1200"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"10-hydroxyusambarensine"	"10-hydroxyusambarensine.mgf"	"Data transformation"	""	"10-hydroxyusambarensine.mzXML"	"Metabolite identification"	""	"m_mtbls142_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"10-hydroxyusambarine"	"Extraction"	""	""	""	"Chromatography"	"Agilent 1260 Infinity HPLC"	""	""	"SunFire C18 (3.5 µm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1200"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"10-hydroxyusambarine"	"10-hydroxyusambarine.mgf"	"Data transformation"	""	"10_hydroxyusambarine.mzXML"	"Metabolite identification"	""	"m_mtbls142_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"11-hydroxyusambarine"	"Extraction"	""	""	""	"Chromatography"	"Agilent 1260 Infinity HPLC"	""	""	"SunFire C18 (3.5 µm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1200"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"11-hydroxyusambarine"	"11-hydroxyusambarine.mgf"	"Data transformation"	""	"11_hydroxyusambarine.mzXML"	"Metabolite identification"	""	"m_mtbls142_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"11-methoxyyohimbine"	"Extraction"	""	""	""	"Chromatography"	"Agilent 1260 Infinity HPLC"	""	""	"SunFire C18 (3.5 µm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1200"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"11-methoxyyohimbine"	"11-methoxyyohimbine.mgf"	"Data transformation"	""	"11_methoxyyohimbine.mzXML"	"Metabolite identification"	""	"m_mtbls142_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"14,15-dehydrovincamine"	"Extraction"	""	""	""	"Chromatography"	"Agilent 1260 Infinity HPLC"	""	""	"SunFire C18 (3.5 µm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1200"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"14,15-dehydrovincamine"	"14,15-dehydrovincamine.mgf"	"Data transformation"	""	"14_15_dehydrovincamine.mzXML"	"Metabolite identification"	""	"m_mtbls142_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"18,19-dihydrousambarine"	"Extraction"	""	""	""	"Chromatography"	"Agilent 1260 Infinity HPLC"	""	""	"SunFire C18 (3.5 µm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1200"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"18,19-dihydrousambarine"	"18,19-dihydrousambarine.mgf"	"Data transformation"	""	"18_19_dihydrousambarine.mzXML"	"Metabolite identification"	""	"m_mtbls142_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"18-hydroxyisosungucine"	"Extraction"	""	""	""	"Chromatography"	"Agilent 1260 Infinity HPLC"	""	""	"SunFire C18 (3.5 µm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1200"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"18-hydroxyisosungucine"	"18-hydroxyisosungucine.mgf"	"Data transformation"	""	"18_hydroxyisosungucine.mzXML"	"Metabolite identification"	""	"m_mtbls142_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"19,20-dehydroervatamine"	"Extraction"	""	""	""	"Chromatography"	"Agilent 1260 Infinity HPLC"	""	""	"SunFire C18 (3.5 µm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1200"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"19,20-dehydroervatamine"	"19,20-dehydroervatamine.mgf"	"Data transformation"	""	"19_20_dehydroervatamine.mzXML"	"Metabolite identification"	""	"m_mtbls142_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"19,20-dihydrousambarensine"	"Extraction"	""	""	""	"Chromatography"	"Agilent 1260 Infinity HPLC"	""	""	"SunFire C18 (3.5 µm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1200"	"Agilent 6530 Accurate-Mass Q-TOF"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"19,20-dihydrousambarensine"	"19,20-dihydrousambarensine.mgf"	"Data transformation"	""	"19_20_dihydrousambarensine.mzXML"	"Metabolite identification"	""	"m_mtbls142_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
