"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[TreatPhase1]"	"Term Source REF"	"Term Accession Number"	"Factor Value[TestItemPhase1]"	"Term Source REF"	"Term Accession Number"	"Factor Value[ExposureDurationPhase1]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[TreatPhase2]"	"Term Source REF"	"Term Accession Number"	"Factor Value[TestItemPhase2]"	"Term Source REF"	"Term Accession Number"	"Factor Value[ExposureDurationPhase2]"	"Unit"	"Term Source REF"	"Term Accession Number"
"920025"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"920025-Liver-extract"	"Diluted Mainstream Cigarette Smoke"	""	""	"3R4F"	""	""	"2"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"Diluted Mainstream Cigarette Smoke"	""	""	"3R4F"	""	""	"5"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"
"920025"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"920025-Rightlung-extract"	"Diluted Mainstream Cigarette Smoke"	""	""	"3R4F"	""	""	"2"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"Diluted Mainstream Cigarette Smoke"	""	""	"3R4F"	""	""	"5"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"
"920031"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"920031-Blood-extract"	"Diluted Mainstream Cigarette Smoke"	""	""	"pMRTP"	""	""	"2"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	""	""	""	""	""	""	""	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"
"920037"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"920037-Liver-extract"	"Diluted Mainstream Cigarette Smoke"	""	""	"3R4F"	""	""	"2"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"Diluted Mainstream Cigarette Smoke"	""	""	"3R4F"	""	""	"1"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"
"920037"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"920037-Rightlung-extract"	"Diluted Mainstream Cigarette Smoke"	""	""	"3R4F"	""	""	"2"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"Diluted Mainstream Cigarette Smoke"	""	""	"3R4F"	""	""	"1"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"
"920043"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"920043-Liver-extract"	"Conditioned Fresh Air"	""	""	""	""	""	"2"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"Conditioned Fresh Air"	""	""	""	""	""	"5"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"
"920043"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"920043-Rightlung-extract"	"Conditioned Fresh Air"	""	""	""	""	""	"2"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"Conditioned Fresh Air"	""	""	""	""	""	"5"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"
"920046"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"920046-Blood-extract"	"Diluted Mainstream Cigarette Smoke"	""	""	"3R4F"	""	""	"2"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"Diluted Mainstream Cigarette Smoke"	""	""	"pMRTP"	""	""	"1"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"
"920050"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"920050-Blood-extract"	"Conditioned Fresh Air"	""	""	""	""	""	"2"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"Conditioned Fresh Air"	""	""	""	""	""	"1"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"
"920052"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"920052-Blood-extract"	"Diluted Mainstream Cigarette Smoke"	""	""	"3R4F"	""	""	"2"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"Diluted Mainstream Cigarette Smoke"	""	""	"pMRTP"	""	""	"1"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"
