"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[control]"	"Term Source REF"	"Term Accession Number"	"Factor Value[time]"	"Unit"	"Term Source REF"	"Term Accession Number"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"exometabolome"	""	""	"Sample collection"	"Mtab_FT_012611_07"	"with Thalassiosira"	""	""	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"exometabolome"	""	""	"Sample collection"	"Mtab_FT_012611_08"	"cell-free control"	""	""	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"exometabolome"	""	""	"Sample collection"	"Mtab_FT_012611_09"	"with Thalassiosira"	""	""	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"endometabolome"	""	""	"Sample collection"	"Mtab_FT_012611_10"	"with Thalassiosira"	""	""	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"endometabolome"	""	""	"Sample collection"	"Mtab_FT_012611_11"	"cell-free control"	""	""	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"endometabolome"	""	""	"Sample collection"	"Mtab_FT_012611_12"	"with Thalassiosira"	""	""	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"exometabolome"	""	""	"Sample collection"	"Mtab_FT_012611_13"	"with Thalassiosira"	""	""	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"exometabolome"	""	""	"Sample collection"	"Mtab_FT_012611_14"	"cell-free control"	""	""	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"exometabolome"	""	""	"Sample collection"	"Mtab_FT_012611_15"	"with Thalassiosira"	""	""	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"diatom metabolites"	"Thalassiosira pseudonana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35128"	"Thalassiosira pseudonana CCMP1335"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_296543"	"endometabolome"	""	""	"Sample collection"	"Mtab_FT_012611_16"	"with Thalassiosira"	""	""	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
