"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"	"Factor Value[Run order]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Batch number]"	"Term Source REF"	"Term Accession Number"
"A01"	"Extraction"	""	""	"AN_01"	"Chromatography"	"Shimadzu Prominence HPLC system"	""	""	"C18 (3.5 µm, 2.1 mm x 150 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Thermo Scientific LTQ Orbitrap Velos"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"AI00290_2"	"global_negative_AI00290_2.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	""	"32"	""	""	"2"	""	""
"A02"	"Extraction"	""	""	"AN_02"	"Chromatography"	"Shimadzu Prominence HPLC system"	""	""	"C18 (3.5 µm, 2.1 mm x 150 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Thermo Scientific LTQ Orbitrap Velos"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"AI00317_1"	"global_negative_AI00317_1.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	""	"12"	""	""	"1"	""	""
"A03"	"Extraction"	""	""	"AN_03"	"Chromatography"	"Shimadzu Prominence HPLC system"	""	""	"C18 (3.5 µm, 2.1 mm x 150 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Thermo Scientific LTQ Orbitrap Velos"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"AJ03070_5"	"global_negative_AJ03070_5.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	""	"17"	""	""	"5"	""	""
"A04"	"Extraction"	""	""	"AN_04"	"Chromatography"	"Shimadzu Prominence HPLC system"	""	""	"C18 (3.5 µm, 2.1 mm x 150 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Thermo Scientific LTQ Orbitrap Velos"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"AM02571_2"	"global_negative_AM02571_2.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	""	"21"	""	""	"2"	""	""
"A05"	"Extraction"	""	""	"AN_05"	"Chromatography"	"Shimadzu Prominence HPLC system"	""	""	"C18 (3.5 µm, 2.1 mm x 150 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Thermo Scientific LTQ Orbitrap Velos"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"AM02747_5"	"global_negative_AM02747_5.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	""	"50"	""	""	"5"	""	""
"A06"	"Extraction"	""	""	"AN_06"	"Chromatography"	"Shimadzu Prominence HPLC system"	""	""	"C18 (3.5 µm, 2.1 mm x 150 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Thermo Scientific LTQ Orbitrap Velos"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"AR02795_3"	"global_negative_AR02795_3.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	""	"29"	""	""	"3"	""	""
"A07"	"Extraction"	""	""	"AN_07"	"Chromatography"	"Shimadzu Prominence HPLC system"	""	""	"C18 (3.5 µm, 2.1 mm x 150 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Thermo Scientific LTQ Orbitrap Velos"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"AT00454_4"	"global_negative_AT00454_4.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	""	"6"	""	""	"4"	""	""
"A09"	"Extraction"	""	""	"AN_09"	"Chromatography"	"Shimadzu Prominence HPLC system"	""	""	"C18 (3.5 µm, 2.1 mm x 150 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Thermo Scientific LTQ Orbitrap Velos"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"CD00079_4"	"global_negative_CD00079_4.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	""	"22"	""	""	"4"	""	""
"A10"	"Extraction"	""	""	"AN_10"	"Chromatography"	"Shimadzu Prominence HPLC system"	""	""	"C18 (3.5 µm, 2.1 mm x 150 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Thermo Scientific LTQ Orbitrap Velos"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"CP00104_5"	"global_negative_CP00104_5.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	""	"45"	""	""	"5"	""	""
"A11"	"Extraction"	""	""	"AN_11"	"Chromatography"	"Shimadzu Prominence HPLC system"	""	""	"C18 (3.5 µm, 2.1 mm x 150 mm; Agilent Technologies)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"50-1500"	"Thermo Scientific LTQ Orbitrap Velos"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"CP00124_5"	"global_negative_CP00124_5.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	""	"41"	""	""	"5"	""	""
