"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[cholestasis]"	"Term Source REF"	"Term Accession Number"	"Factor Value[treatment with HLJDD]"	"Term Source REF"	"Term Accession Number"
"BDL"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"BDLc2"	"extrahepatic cholestasis"	""	""	"Therapeutic control group"	""	""
"BDL"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"BDLc3"	"extrahepatic cholestasis"	""	""	"Therapeutic control group"	""	""
"BDL"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"BDLc4"	"extrahepatic cholestasis"	""	""	"Therapeutic control group"	""	""
"BDL"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"BDLc5"	"extrahepatic cholestasis"	""	""	"Therapeutic control group"	""	""
"BDL"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"BDLc6"	"extrahepatic cholestasis"	""	""	"Therapeutic control group"	""	""
"BDL"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"BDLc7"	"extrahepatic cholestasis"	""	""	"Therapeutic control group"	""	""
"BDL"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"BDLd1"	"extrahepatic cholestasis"	""	""	"Therapeutic control group"	""	""
"BDL"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"BDLd2"	"extrahepatic cholestasis"	""	""	"Therapeutic control group"	""	""
"BDL"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"BDLd3"	"extrahepatic cholestasis"	""	""	"Therapeutic control group"	""	""
"BDL"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"BDLd4"	"extrahepatic cholestasis"	""	""	"Therapeutic control group"	""	""
"BDL"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"BDLd5"	"extrahepatic cholestasis"	""	""	"Therapeutic control group"	""	""
"BDL"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"BDLd6"	"extrahepatic cholestasis"	""	""	"Therapeutic control group"	""	""
"BDL"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"BDLd7"	"extrahepatic cholestasis"	""	""	"Therapeutic control group"	""	""
"BDL"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"BDLd8"	"extrahepatic cholestasis"	""	""	"Therapeutic control group"	""	""
