"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Autosampler model]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"Syn2_sample2_ext"	"Extraction"	"95:5 (v/v) water:acetonitrile and 0.05 μg/ml deuterated biotin "	""	""	"Chromatography"	"Thermo Scientific Accela 1250 Pump"	""	""	"Thermo Scientific Accela Open Autosampler"	""	""	"Synergi Fusion-RP 80 Å (4 µm, 2 mm x 150 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"alternating"	"not applicable: selected reaction monitoring"	"Thermo Scientific TSQ Vantage"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Syn2_sample2_ext"	"Mtab_Syn2_tsq_13.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls155_TAR_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Syn2_sample16_ext"	"Extraction"	"95:5 (v/v) water:acetonitrile and 0.05 μg/ml deuterated biotin "	""	""	"Chromatography"	"Thermo Scientific Accela 1250 Pump"	""	""	"Thermo Scientific Accela Open Autosampler"	""	""	"Synergi Fusion-RP 80 Å (4 µm, 2 mm x 150 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"alternating"	"not applicable: selected reaction monitoring"	"Thermo Scientific TSQ Vantage"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Syn2_sample16_ext"	"Mtab_Syn2_tsq_15.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls155_TAR_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Syn2_sample6_ext"	"Extraction"	"95:5 (v/v) water:acetonitrile and 0.05 μg/ml deuterated biotin "	""	""	"Chromatography"	"Thermo Scientific Accela 1250 Pump"	""	""	"Thermo Scientific Accela Open Autosampler"	""	""	"Synergi Fusion-RP 80 Å (4 µm, 2 mm x 150 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"alternating"	"not applicable: selected reaction monitoring"	"Thermo Scientific TSQ Vantage"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Syn2_sample6_ext"	"Mtab_Syn2_tsq_34.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls155_TAR_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Syn2_sample8_ext"	"Extraction"	"95:5 (v/v) water:acetonitrile and 0.05 μg/ml deuterated biotin "	""	""	"Chromatography"	"Thermo Scientific Accela 1250 Pump"	""	""	"Thermo Scientific Accela Open Autosampler"	""	""	"Synergi Fusion-RP 80 Å (4 µm, 2 mm x 150 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"alternating"	"not applicable: selected reaction monitoring"	"Thermo Scientific TSQ Vantage"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Syn2_sample8_ext"	"Mtab_Syn2_tsq_66.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls155_TAR_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Syn2_sample12_ext"	"Extraction"	"95:5 (v/v) water:acetonitrile and 0.05 μg/ml deuterated biotin "	""	""	"Chromatography"	"Thermo Scientific Accela 1250 Pump"	""	""	"Thermo Scientific Accela Open Autosampler"	""	""	"Synergi Fusion-RP 80 Å (4 µm, 2 mm x 150 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"alternating"	"not applicable: selected reaction monitoring"	"Thermo Scientific TSQ Vantage"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Syn2_sample12_ext"	"Mtab_Syn2_tsq_67.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls155_TAR_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Syn2_sample14_ext"	"Extraction"	"95:5 (v/v) water:acetonitrile and 0.05 μg/ml deuterated biotin "	""	""	"Chromatography"	"Thermo Scientific Accela 1250 Pump"	""	""	"Thermo Scientific Accela Open Autosampler"	""	""	"Synergi Fusion-RP 80 Å (4 µm, 2 mm x 150 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"alternating"	"not applicable: selected reaction monitoring"	"Thermo Scientific TSQ Vantage"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Syn2_sample14_ext"	"Mtab_Syn2_tsq_85.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls155_TAR_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Syn2_sample17_ext"	"Extraction"	"95:5 (v/v) water:acetonitrile and 0.05 μg/ml deuterated biotin "	""	""	"Chromatography"	"Thermo Scientific Accela 1250 Pump"	""	""	"Thermo Scientific Accela Open Autosampler"	""	""	"Synergi Fusion-RP 80 Å (4 µm, 2 mm x 150 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"alternating"	"not applicable: selected reaction monitoring"	"Thermo Scientific TSQ Vantage"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Syn2_sample17_ext"	"Mtab_Syn2_tsq_86.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls155_TAR_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Syn2_sample9_ext"	"Extraction"	"95:5 (v/v) water:acetonitrile and 0.05 μg/ml deuterated biotin "	""	""	"Chromatography"	"Thermo Scientific Accela 1250 Pump"	""	""	"Thermo Scientific Accela Open Autosampler"	""	""	"Synergi Fusion-RP 80 Å (4 µm, 2 mm x 150 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"alternating"	"not applicable: selected reaction monitoring"	"Thermo Scientific TSQ Vantage"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Syn2_sample9_ext"	"Mtab_Syn2_tsq_103.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls155_TAR_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Syn2_sample3_ext"	"Extraction"	"95:5 (v/v) water:acetonitrile and 0.05 μg/ml deuterated biotin "	""	""	"Chromatography"	"Thermo Scientific Accela 1250 Pump"	""	""	"Thermo Scientific Accela Open Autosampler"	""	""	"Synergi Fusion-RP 80 Å (4 µm, 2 mm x 150 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"alternating"	"not applicable: selected reaction monitoring"	"Thermo Scientific TSQ Vantage"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Syn2_sample3_ext"	"Mtab_Syn2_tsq_122.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls155_TAR_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"Syn2_sample5_ext"	"Extraction"	"95:5 (v/v) water:acetonitrile and 0.05 μg/ml deuterated biotin "	""	""	"Chromatography"	"Thermo Scientific Accela 1250 Pump"	""	""	"Thermo Scientific Accela Open Autosampler"	""	""	"Synergi Fusion-RP 80 Å (4 µm, 2 mm x 150 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"alternating"	"not applicable: selected reaction monitoring"	"Thermo Scientific TSQ Vantage"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"Syn2_sample5_ext"	"Mtab_Syn2_tsq_123.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls155_TAR_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
