"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[time]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[control]"	"Term Source REF"	"Term Accession Number"
"phytoplankton metabolites"	"Synechococcus elongatus"	""	""	"Synechococcus elongatus CCMP 1631"	""	""	"endometabolome"	""	""	"Sample collection"	"Syn2_sample1_int"	"8"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"cell-free control"	""	""
"phytoplankton metabolites"	"Synechococcus elongatus"	""	""	"Synechococcus elongatus CCMP 1631"	""	""	"endometabolome"	""	""	"Sample collection"	"Syn2_sample2_int"	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"with Synechococcus"	""	""
"phytoplankton metabolites"	"Synechococcus elongatus"	""	""	"Synechococcus elongatus CCMP 1631"	""	""	"endometabolome"	""	""	"Sample collection"	"Syn2_sample3_int"	"17"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"with Synechococcus"	""	""
"phytoplankton metabolites"	"Synechococcus elongatus"	""	""	"Synechococcus elongatus CCMP 1631"	""	""	"endometabolome"	""	""	"Sample collection"	"Syn2_sample4_int"	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"cell-free control"	""	""
"phytoplankton metabolites"	"Synechococcus elongatus"	""	""	"Synechococcus elongatus CCMP 1631"	""	""	"endometabolome"	""	""	"Sample collection"	"Syn2_sample5_int"	"17"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"with Synechococcus"	""	""
"phytoplankton metabolites"	"Synechococcus elongatus"	""	""	"Synechococcus elongatus CCMP 1631"	""	""	"endometabolome"	""	""	"Sample collection"	"Syn2_sample6_int"	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"with Synechococcus"	""	""
"phytoplankton metabolites"	"Synechococcus elongatus"	""	""	"Synechococcus elongatus CCMP 1631"	""	""	"endometabolome"	""	""	"Sample collection"	"Syn2_sample7_int"	"17"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"cell-free control"	""	""
"phytoplankton metabolites"	"Synechococcus elongatus"	""	""	"Synechococcus elongatus CCMP 1631"	""	""	"endometabolome"	""	""	"Sample collection"	"Syn2_sample8_int"	"8"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"with Synechococcus"	""	""
"phytoplankton metabolites"	"Synechococcus elongatus"	""	""	"Synechococcus elongatus CCMP 1631"	""	""	"endometabolome"	""	""	"Sample collection"	"Syn2_sample9_int"	"15"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"with Synechococcus"	""	""
"phytoplankton metabolites"	"Synechococcus elongatus"	""	""	"Synechococcus elongatus CCMP 1631"	""	""	"endometabolome"	""	""	"Sample collection"	"Syn2_sample10_int"	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"cell-free control"	""	""
