"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Autosampler model]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"Rpom3_29_int"	"Extraction"	"95:5 (v/v) water:acetonitrile and 0.05 μg/ml deuterated biotin "	""	""	"Chromatography"	"Thermo Scientific Surveyor MS Pump Plus"	""	""	"Thermo Scientific Micro AS Autosampler"	""	""	"Synergi Fusion-RP 80 Å (4 µm, 2 mm x 150 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific LTQ FT Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"Rpom3_29_int"	"Mtab_rpom3_filter_ft_255.RAW"	"Data transformation"	""	""	"Metabolite identification"	""	""
"Rpom3_13_int"	"Extraction"	"95:5 (v/v) water:acetonitrile and 0.05 μg/ml deuterated biotin "	""	""	"Chromatography"	"Thermo Scientific Surveyor MS Pump Plus"	""	""	"Thermo Scientific Micro AS Autosampler"	""	""	"Synergi Fusion-RP 80 Å (4 µm, 2 mm x 150 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific LTQ FT Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"Rpom3_13_int"	"Mtab_rpom3_filter_ft_256.RAW"	"Data transformation"	""	""	"Metabolite identification"	""	""
"Rpom3_14_int"	"Extraction"	"95:5 (v/v) water:acetonitrile and 0.05 μg/ml deuterated biotin "	""	""	"Chromatography"	"Thermo Scientific Surveyor MS Pump Plus"	""	""	"Thermo Scientific Micro AS Autosampler"	""	""	"Synergi Fusion-RP 80 Å (4 µm, 2 mm x 150 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific LTQ FT Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"Rpom3_14_int"	"Mtab_rpom3_filter_ft_257.RAW"	"Data transformation"	""	""	"Metabolite identification"	""	""
"Rpom3_26_int"	"Extraction"	"95:5 (v/v) water:acetonitrile and 0.05 μg/ml deuterated biotin "	""	""	"Chromatography"	"Thermo Scientific Surveyor MS Pump Plus"	""	""	"Thermo Scientific Micro AS Autosampler"	""	""	"Synergi Fusion-RP 80 Å (4 µm, 2 mm x 150 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific LTQ FT Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"Rpom3_26_int"	"Mtab_rpom3_filter_ft_258.RAW"	"Data transformation"	""	""	"Metabolite identification"	""	""
"Rpom3_17_int"	"Extraction"	"95:5 (v/v) water:acetonitrile and 0.05 μg/ml deuterated biotin "	""	""	"Chromatography"	"Thermo Scientific Surveyor MS Pump Plus"	""	""	"Thermo Scientific Micro AS Autosampler"	""	""	"Synergi Fusion-RP 80 Å (4 µm, 2 mm x 150 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific LTQ FT Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"Rpom3_17_int"	"Mtab_rpom3_filter_ft_259.RAW"	"Data transformation"	""	""	"Metabolite identification"	""	""
"Rpom3_3_int"	"Extraction"	"95:5 (v/v) water:acetonitrile and 0.05 μg/ml deuterated biotin "	""	""	"Chromatography"	"Thermo Scientific Surveyor MS Pump Plus"	""	""	"Thermo Scientific Micro AS Autosampler"	""	""	"Synergi Fusion-RP 80 Å (4 µm, 2 mm x 150 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific LTQ FT Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"Rpom3_3_int"	"Mtab_rpom3_filter_ft_260.RAW"	"Data transformation"	""	""	"Metabolite identification"	""	""
"Rpom3_5_int"	"Extraction"	"95:5 (v/v) water:acetonitrile and 0.05 μg/ml deuterated biotin "	""	""	"Chromatography"	"Thermo Scientific Surveyor MS Pump Plus"	""	""	"Thermo Scientific Micro AS Autosampler"	""	""	"Synergi Fusion-RP 80 Å (4 µm, 2 mm x 150 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific LTQ FT Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"Rpom3_5_int"	"Mtab_rpom3_filter_ft_262.RAW"	"Data transformation"	""	""	"Metabolite identification"	""	""
"Rpom3_18_int"	"Extraction"	"95:5 (v/v) water:acetonitrile and 0.05 μg/ml deuterated biotin "	""	""	"Chromatography"	"Thermo Scientific Surveyor MS Pump Plus"	""	""	"Thermo Scientific Micro AS Autosampler"	""	""	"Synergi Fusion-RP 80 Å (4 µm, 2 mm x 150 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific LTQ FT Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"Rpom3_18_int"	"Mtab_rpom3_filter_ft_263.RAW"	"Data transformation"	""	""	"Metabolite identification"	""	""
"Rpom3_8_int"	"Extraction"	"95:5 (v/v) water:acetonitrile and 0.05 μg/ml deuterated biotin "	""	""	"Chromatography"	"Thermo Scientific Surveyor MS Pump Plus"	""	""	"Thermo Scientific Micro AS Autosampler"	""	""	"Synergi Fusion-RP 80 Å (4 µm, 2 mm x 150 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific LTQ FT Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"Rpom3_8_int"	"Mtab_rpom3_filter_ft_264.RAW"	"Data transformation"	""	""	"Metabolite identification"	""	""
"Rpom3_10_int"	"Extraction"	"95:5 (v/v) water:acetonitrile and 0.05 μg/ml deuterated biotin "	""	""	"Chromatography"	"Thermo Scientific Surveyor MS Pump Plus"	""	""	"Thermo Scientific Micro AS Autosampler"	""	""	"Synergi Fusion-RP 80 Å (4 µm, 2 mm x 150 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Thermo Scientific LTQ FT Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"linear quadrupole ion trap mass-to-charge analyser"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000969"	"Rpom3_10_int"	"Mtab_rpom3_filter_ft_265.RAW"	"Data transformation"	""	""	"Metabolite identification"	""	""
