"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Genotype]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"
"Lab Blank"	"blank"	""	""	"hydroponic plant culture media"	"PECO"	"http://purl.obolibrary.org/obo/EO_0007067"	"Sample collection"	"Blank-C-1"	"Blank"	""	""	"1"	""	""
"Lab Blank"	"blank"	""	""	"hydroponic plant culture media"	"PECO"	"http://purl.obolibrary.org/obo/EO_0007067"	"Sample collection"	"Blank-C-2"	"Blank"	""	""	"2"	""	""
"Lab Blank"	"blank"	""	""	"hydroponic plant culture media"	"PECO"	"http://purl.obolibrary.org/obo/EO_0007067"	"Sample collection"	"Blank-C-3"	"Blank"	""	""	"3"	""	""
"Bur-191"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"exometabolome"	""	""	"Sample collection"	"Bur-C-1"	"Bur"	""	""	"1"	""	""
"Bur-192"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"exometabolome"	""	""	"Sample collection"	"Bur-C-1"	"Bur"	""	""	"1"	""	""
"Bur-189"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"exometabolome"	""	""	"Sample collection"	"Bur-C-1"	"Bur"	""	""	"1"	""	""
"Bur-190"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"exometabolome"	""	""	"Sample collection"	"Bur-C-1"	"Bur"	""	""	"1"	""	""
"Bur-239"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"exometabolome"	""	""	"Sample collection"	"Bur-C-2"	"Bur"	""	""	"2"	""	""
"Bur-240"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"exometabolome"	""	""	"Sample collection"	"Bur-C-2"	"Bur"	""	""	"2"	""	""
"Bur-237"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"exometabolome"	""	""	"Sample collection"	"Bur-C-2"	"Bur"	""	""	"2"	""	""
"Bur-238"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"exometabolome"	""	""	"Sample collection"	"Bur-C-2"	"Bur"	""	""	"2"	""	""
