"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"20121015b__002__01__ME"	"Extraction"	""	""	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"200-2000"	"Thermo Scientific Exactive"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20121015b__002__01__ME"	"20121015b__002__01__ME.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_lypodystrophy_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"20121015b__002__03__ME"	"Extraction"	""	""	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"200-2000"	"Thermo Scientific Exactive"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20121015b__002__03__ME"	"20121015b__002__03__ME.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_lypodystrophy_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"20121015b__002__05__ME"	"Extraction"	""	""	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"200-2000"	"Thermo Scientific Exactive"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20121015b__002__05__ME"	"20121015b__002__05__ME.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_lypodystrophy_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"20121015b__002__06__ME"	"Extraction"	""	""	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"200-2000"	"Thermo Scientific Exactive"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20121015b__002__06__ME"	"20121015b__002__06__ME.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_lypodystrophy_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"20121015b__002__07__ME"	"Extraction"	""	""	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"200-2000"	"Thermo Scientific Exactive"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20121015b__002__07__ME"	"20121015b__002__07__ME.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_lypodystrophy_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"20121015b__002__08__ME"	"Extraction"	""	""	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"200-2000"	"Thermo Scientific Exactive"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20121015b__002__08__ME"	"20121015b__002__08__ME.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_lypodystrophy_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"20121015b__002__10__ME"	"Extraction"	""	""	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"200-2000"	"Thermo Scientific Exactive"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20121015b__002__10__ME"	"20121015b__002__10__ME.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_lypodystrophy_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"20121015b__002__11__ME"	"Extraction"	""	""	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"200-2000"	"Thermo Scientific Exactive"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20121015b__002__11__ME"	"20121015b__002__11__ME.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_lypodystrophy_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"20121015b__002__12__ME"	"Extraction"	""	""	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"200-2000"	"Thermo Scientific Exactive"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20121015b__002__12__ME"	"20121015b__002__12__ME.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_lypodystrophy_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"20121015b__002__13__ME"	"Extraction"	""	""	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"200-2000"	"Thermo Scientific Exactive"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20121015b__002__13__ME"	"20121015b__002__13__ME.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_lypodystrophy_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"20121015b__002__14__ME"	"Extraction"	""	""	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"200-2000"	"Thermo Scientific Exactive"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20121015b__002__14__ME"	"20121015b__002__14__ME.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_lypodystrophy_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"20121015b__002__15__ME"	"Extraction"	""	""	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"200-2000"	"Thermo Scientific Exactive"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20121015b__002__15__ME"	"20121015b__002__15__ME.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_lypodystrophy_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"20121015b__002__16__ME"	"Extraction"	""	""	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"200-2000"	"Thermo Scientific Exactive"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20121015b__002__16__ME"	"20121015b__002__16__ME.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_lypodystrophy_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"20121015b__002__17__ME"	"Extraction"	""	""	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"200-2000"	"Thermo Scientific Exactive"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20121015b__002__17__ME"	"20121015b__002__17__ME.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_lypodystrophy_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"20121015b__002__19__ME"	"Extraction"	""	""	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"200-2000"	"Thermo Scientific Exactive"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20121015b__002__19__ME"	"20121015b__002__19__ME.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_lypodystrophy_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"20121015b__002__20__ME"	"Extraction"	""	""	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"200-2000"	"Thermo Scientific Exactive"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"20121015b__002__20__ME"	"20121015b__002__20__ME.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_lypodystrophy_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
