"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"LL1"	"Extraction"	"MeOH/ACN 1:1
"	""	""	"Chromatography"	"Thermo Scientific Accela Autosampler and Accela 600 Pump"	""	""	"ZIC-pHILIC (5 µm, 150 mm × 4.6 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"75-1200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"LL1"	"Data transformation"	""	"LiLi-1d.raw"	"Metabolite identification"	""	"m_mtbls165_colostrum_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"LL2"	"Extraction"	"MeOH/ACN 1:1
"	""	""	"Chromatography"	"Thermo Scientific Accela Autosampler and Accela 600 Pump"	""	""	"ZIC-pHILIC (5 µm, 150 mm × 4.6 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"75-1200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"LL2"	"Data transformation"	""	"LiLi-2d.raw"	"Metabolite identification"	""	"m_mtbls165_colostrum_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"LL3"	"Extraction"	"MeOH/ACN 1:1
"	""	""	"Chromatography"	"Thermo Scientific Accela Autosampler and Accela 600 Pump"	""	""	"ZIC-pHILIC (5 µm, 150 mm × 4.6 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"75-1200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"LL3"	"Data transformation"	""	"LiLi-3d.raw"	"Metabolite identification"	""	"m_mtbls165_colostrum_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"LL4"	"Extraction"	"MeOH/ACN 1:1
"	""	""	"Chromatography"	"Thermo Scientific Accela Autosampler and Accela 600 Pump"	""	""	"ZIC-pHILIC (5 µm, 150 mm × 4.6 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"75-1200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"LL4"	"Data transformation"	""	"LiLi-4d.raw"	"Metabolite identification"	""	"m_mtbls165_colostrum_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"LL5"	"Extraction"	"MeOH/ACN 1:1
"	""	""	"Chromatography"	"Thermo Scientific Accela Autosampler and Accela 600 Pump"	""	""	"ZIC-pHILIC (5 µm, 150 mm × 4.6 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"75-1200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"LL5"	"Data transformation"	""	"LiLi-5d.raw"	"Metabolite identification"	""	"m_mtbls165_colostrum_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"LL6"	"Extraction"	"MeOH/ACN 1:1
"	""	""	"Chromatography"	"Thermo Scientific Accela Autosampler and Accela 600 Pump"	""	""	"ZIC-pHILIC (5 µm, 150 mm × 4.6 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"75-1200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"LL6"	"Data transformation"	""	"LiLi-6d.raw"	"Metabolite identification"	""	"m_mtbls165_colostrum_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"LL7"	"Extraction"	"MeOH/ACN 1:1
"	""	""	"Chromatography"	"Thermo Scientific Accela Autosampler and Accela 600 Pump"	""	""	"ZIC-pHILIC (5 µm, 150 mm × 4.6 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"75-1200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"LL7"	"Data transformation"	""	"LiLi-7d.raw"	"Metabolite identification"	""	"m_mtbls165_colostrum_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"YY1"	"Extraction"	"MeOH/ACN 1:1
"	""	""	"Chromatography"	"Thermo Scientific Accela Autosampler and Accela 600 Pump"	""	""	"ZIC-pHILIC (5 µm, 150 mm × 4.6 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"75-1200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"YY1"	"Data transformation"	""	"YnYn-1d.raw"	"Metabolite identification"	""	"m_mtbls165_colostrum_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"YY2"	"Extraction"	"MeOH/ACN 1:1
"	""	""	"Chromatography"	"Thermo Scientific Accela Autosampler and Accela 600 Pump"	""	""	"ZIC-pHILIC (5 µm, 150 mm × 4.6 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"75-1200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"YY2"	"Data transformation"	""	"YnYn-2d.raw"	"Metabolite identification"	""	"m_mtbls165_colostrum_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"YY3"	"Extraction"	"MeOH/ACN 1:1
"	""	""	"Chromatography"	"Thermo Scientific Accela Autosampler and Accela 600 Pump"	""	""	"ZIC-pHILIC (5 µm, 150 mm × 4.6 mm; Merck Sequant)"	"HILIC"	""	""	""	""	"Mass spectrometry"	"alternating"	"75-1200"	"Thermo Scientific Exactive"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"YY3"	"Data transformation"	""	"YnYn-3d.raw"	"Metabolite identification"	""	"m_mtbls165_colostrum_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
