"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"D303645"	"Extraction"	"dried in a vacuum centrifuge, resuspended  in ddH2O"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 �m, 2.1 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	""	"Thermo Scientific TSQ Quantum Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"S128948"	"17.csv"	"Data transformation"	""	""	"Metabolite identification"	"csv"	""
"D303661"	"Extraction"	"dried in a vacuum centrifuge, resuspended  in ddH2O"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 �m, 2.1 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	""	"Thermo Scientific TSQ Quantum Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"S128964"	"33.csv"	"Data transformation"	""	""	"Metabolite identification"	"csv"	""
"D303677"	"Extraction"	"dried in a vacuum centrifuge, resuspended  in ddH2O"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 �m, 2.1 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	""	"Thermo Scientific TSQ Quantum Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"S128980"	"49.csv"	"Data transformation"	""	""	"Metabolite identification"	"csv"	""
"D315757"	"Extraction"	"dried in a vacuum centrifuge, resuspended  in ddH2O"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 �m, 2.1 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	""	"Thermo Scientific TSQ Quantum Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"S134689"	"1.csv"	"Data transformation"	""	""	"Metabolite identification"	"csv"	""
"D303646"	"Extraction"	"dried in a vacuum centrifuge, resuspended  in ddH2O"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 �m, 2.1 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	""	"Thermo Scientific TSQ Quantum Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"S128949"	"18.csv"	"Data transformation"	""	""	"Metabolite identification"	"csv"	""
"D303662"	"Extraction"	"dried in a vacuum centrifuge, resuspended  in ddH2O"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 �m, 2.1 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	""	"Thermo Scientific TSQ Quantum Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"S128965"	"34.csv"	"Data transformation"	""	""	"Metabolite identification"	"csv"	""
"D303678"	"Extraction"	"dried in a vacuum centrifuge, resuspended  in ddH2O"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 �m, 2.1 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	""	"Thermo Scientific TSQ Quantum Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"S128981"	"50.csv"	"Data transformation"	""	""	"Metabolite identification"	"csv"	""
"D315764"	"Extraction"	"dried in a vacuum centrifuge, resuspended  in ddH2O"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 �m, 2.1 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	""	"Thermo Scientific TSQ Quantum Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"S134690"	"2.csv"	"Data transformation"	""	""	"Metabolite identification"	"csv"	""
"D303647"	"Extraction"	"dried in a vacuum centrifuge, resuspended  in ddH2O"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 �m, 2.1 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	""	"Thermo Scientific TSQ Quantum Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"S128950"	"19.csv"	"Data transformation"	""	""	"Metabolite identification"	"csv"	""
"D303663"	"Extraction"	"dried in a vacuum centrifuge, resuspended  in ddH2O"	""	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 �m, 2.1 mm x 150 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	""	"Thermo Scientific TSQ Quantum Ultra"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"S128966"	"35.csv"	"Data transformation"	""	""	"Metabolite identification"	"csv"	""
