"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"mtA04"	"Extraction"	""	"none"	"mtA04-1"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"mtA04-11S_1-A,8_01_27729"	"mtA04-11S_1-A,8_01_27729.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"mta05"	"Extraction"	""	"none"	"mta05-1"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"mta05-11S_1-C,4_01_27742"	"mta05-11S_1-C,4_01_27742.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"mtA33"	"Extraction"	""	"none"	"mtA33-1"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"mtA33-11S_1-D,8_01_27754"	"mtA33-11S_1-D,8_01_27754.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"mtA50"	"Extraction"	""	"none"	"mtA50-1"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"mtA50-11S_1-B,4_01_27733"	"mtA50-11S_1-B,4_01_27733.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"mtA51"	"Extraction"	""	"none"	"mtA51-1"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"mtA51-11S_1-D,4_01_27750"	"mtA51-11S_1-D,4_01_27750.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"mtA54"	"Extraction"	""	"none"	"mtA54-1"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"mtA54-11S_1-A,4_01_27725"	"mtA54-11S_1-A,4_01_27725.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"mtA90"	"Extraction"	""	"none"	"mtA90-1"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"mtA90-11S_1-C,8_01_27746"	"mtA90-11S_1-C,8_01_27746.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"WTA01"	"Extraction"	""	"none"	"WTA01-1"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA01-11S_1-D,2_01_27748"	"WTA01-11S_1-D,2_01_27748.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"WTA02"	"Extraction"	""	"none"	"WTA02-1"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA02-11S_1-B,2_01_27731"	"WTA02-11S_1-B,2_01_27731.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"WTA38"	"Extraction"	""	"none"	"WTA38-1"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"100-1000"	"Bruker micrOTOF-Q II"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole time-of-flight"	""	""	"WTA38-11S_1-B,6_01_27735"	"WTA38-11S_1-B,6_01_27735.mzData"	"Data transformation"	""	""	"Metabolite identification"	""	"m_scse305_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
