"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Parameter Value[Guard column]"	"Term Source REF"	"Term Accession Number"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"013014B_06"	"Extraction"	""	"sylilation"	"70%_acetonitrile_pellet_A"	"Chromatography"	"Agilent GC"	""	""	"Rtx-5MS (0.25 µm, 0.25 mm x 30 m; Restek)"	"low polarity"	"Integra-Guard (Restek)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-650"	"Agilent 5975C inert XL MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"013014B_06"	"013014B_06.CDF"	"Data transformation"	""	"MRSA_slact1ul.txt"	"Metabolite identification"	""	"m_solvent_fractions_of_an_aqueous_extract_of_yerba_mate_ilex_paraguariensis_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"013014B_07"	"Extraction"	""	"sylilation"	"80%_acetonitrile_pellet_A"	"Chromatography"	"Agilent GC"	""	""	"Rtx-5MS (0.25 µm, 0.25 mm x 30 m; Restek)"	"low polarity"	"Integra-Guard (Restek)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-650"	"Agilent 5975C inert XL MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"013014B_07"	"013014B_07.CDF"	"Data transformation"	""	"SA_slact1ul.txt"	"Metabolite identification"	""	"m_solvent_fractions_of_an_aqueous_extract_of_yerba_mate_ilex_paraguariensis_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"013014B_08"	"Extraction"	""	"sylilation"	"90%_acetonitrile_pellet_A"	"Chromatography"	"Agilent GC"	""	""	"Rtx-5MS (0.25 µm, 0.25 mm x 30 m; Restek)"	"low polarity"	"Integra-Guard (Restek)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-650"	"Agilent 5975C inert XL MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"013014B_08"	"013014B_08.CDF"	"Data transformation"	""	"MRSA_slact1ul.txt"	"Metabolite identification"	""	"m_solvent_fractions_of_an_aqueous_extract_of_yerba_mate_ilex_paraguariensis_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"013014B_11"	"Extraction"	""	"sylilation"	"70%_acetonitrile_supernatant_A"	"Chromatography"	"Agilent GC"	""	""	"Rtx-5MS (0.25 µm, 0.25 mm x 30 m; Restek)"	"low polarity"	"Integra-Guard (Restek)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-650"	"Agilent 5975C inert XL MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"013014B_11"	"013014B_11.CDF"	"Data transformation"	""	"SA_slact1ul.txt"	"Metabolite identification"	""	"m_solvent_fractions_of_an_aqueous_extract_of_yerba_mate_ilex_paraguariensis_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"013014B_12"	"Extraction"	""	"sylilation"	"60%_acetonitrile_supernatant_A"	"Chromatography"	"Agilent GC"	""	""	"Rtx-5MS (0.25 µm, 0.25 mm x 30 m; Restek)"	"low polarity"	"Integra-Guard (Restek)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-650"	"Agilent 5975C inert XL MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"013014B_12"	"013014B_12.CDF"	"Data transformation"	""	"MRSA_slact1ul.txt"	"Metabolite identification"	""	"m_solvent_fractions_of_an_aqueous_extract_of_yerba_mate_ilex_paraguariensis_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"013014B_13"	"Extraction"	""	"sylilation"	"50%_acetonitrile_supernatant_A"	"Chromatography"	"Agilent GC"	""	""	"Rtx-5MS (0.25 µm, 0.25 mm x 30 m; Restek)"	"low polarity"	"Integra-Guard (Restek)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-650"	"Agilent 5975C inert XL MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"013014B_13"	"013014B_13.CDF"	"Data transformation"	""	"SA_slact1ul.txt"	"Metabolite identification"	""	"m_solvent_fractions_of_an_aqueous_extract_of_yerba_mate_ilex_paraguariensis_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"013014B_14"	"Extraction"	""	"sylilation"	"40%_acetonitrile_supernatant_A"	"Chromatography"	"Agilent GC"	""	""	"Rtx-5MS (0.25 µm, 0.25 mm x 30 m; Restek)"	"low polarity"	"Integra-Guard (Restek)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-650"	"Agilent 5975C inert XL MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"013014B_14"	"013014B_14.CDF"	"Data transformation"	""	"MRSA_slact1ul.txt"	"Metabolite identification"	""	"m_solvent_fractions_of_an_aqueous_extract_of_yerba_mate_ilex_paraguariensis_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"013014B_15"	"Extraction"	""	"sylilation"	"30%_acetonitrile_supernatant_A"	"Chromatography"	"Agilent GC"	""	""	"Rtx-5MS (0.25 µm, 0.25 mm x 30 m; Restek)"	"low polarity"	"Integra-Guard (Restek)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-650"	"Agilent 5975C inert XL MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"013014B_15"	"013014B_15.CDF"	"Data transformation"	""	"SA_slact1ul.txt"	"Metabolite identification"	""	"m_solvent_fractions_of_an_aqueous_extract_of_yerba_mate_ilex_paraguariensis_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"013014B_16"	"Extraction"	""	"sylilation"	"20%_acetonitrile_supernatant_A"	"Chromatography"	"Agilent GC"	""	""	"Rtx-5MS (0.25 µm, 0.25 mm x 30 m; Restek)"	"low polarity"	"Integra-Guard (Restek)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-650"	"Agilent 5975C inert XL MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"013014B_16"	"013014B_16.CDF"	"Data transformation"	""	"MRSA_slact1ul.txt"	"Metabolite identification"	""	"m_solvent_fractions_of_an_aqueous_extract_of_yerba_mate_ilex_paraguariensis_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"013014B_17"	"Extraction"	""	"sylilation"	"10%_acetonitrile_supernatant_A"	"Chromatography"	"Agilent GC"	""	""	"Rtx-5MS (0.25 µm, 0.25 mm x 30 m; Restek)"	"low polarity"	"Integra-Guard (Restek)"	""	""	""	""	""	""	"Mass spectrometry"	"positive"	"50-650"	"Agilent 5975C inert XL MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"013014B_17"	"013014B_17.CDF"	"Data transformation"	""	"SA_slact1ul.txt"	"Metabolite identification"	""	"m_solvent_fractions_of_an_aqueous_extract_of_yerba_mate_ilex_paraguariensis_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
