"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[SA_inhibition]"	"Term Source REF"	"Term Accession Number"	"Factor Value[MRSA_inhibition]"	"Term Source REF"	"Term Accession Number"
"Taragui brand yerba mate tea"	"Ilex paraguariensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185542"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"013014B_06"	"inactive"	""	""	"active"	""	""
"Taragui brand yerba mate tea"	"Ilex paraguariensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185542"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"013014B_07"	"active"	""	""	"active"	""	""
"Taragui brand yerba mate tea"	"Ilex paraguariensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185542"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"013014B_08"	"active"	""	""	"active"	""	""
"Taragui brand yerba mate tea"	"Ilex paraguariensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185542"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"013014B_11"	"inactive"	""	""	"active"	""	""
"Taragui brand yerba mate tea"	"Ilex paraguariensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185542"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"013014B_12"	"active"	""	""	"active"	""	""
"Taragui brand yerba mate tea"	"Ilex paraguariensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185542"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"013014B_13"	"active"	""	""	"active"	""	""
"Taragui brand yerba mate tea"	"Ilex paraguariensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185542"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"013014B_14"	"active"	""	""	"active"	""	""
"Taragui brand yerba mate tea"	"Ilex paraguariensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185542"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"013014B_15"	"active"	""	""	"active"	""	""
"Taragui brand yerba mate tea"	"Ilex paraguariensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185542"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"013014B_16"	"active"	""	""	"active"	""	""
"Taragui brand yerba mate tea"	"Ilex paraguariensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185542"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"013014B_17"	"active"	""	""	"active"	""	""
