"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"obob01"	"Extraction"	"acetonitrile/water (7:3; v/v)"	"other"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"Synergi Polar-RP (4 µm, 4.6 mm x 100 mm; Phenomenex)"	"reverse phase"	""	"U-13C,15N glutamate"	""	""	"Mass spectrometry"	"positive"	"Scan parent ions of m/z +85"	"Waters Quattro Premier XE"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"obob01"	"20120821_129.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_obob_mito_paper_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"obob02"	"Extraction"	"acetonitrile/water (7:3; v/v)"	"other"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"Synergi Polar-RP (4 µm, 4.6 mm x 100 mm; Phenomenex)"	"reverse phase"	""	"U-13C,15N glutamate"	""	""	"Mass spectrometry"	"positive"	"Scan parent ions of m/z +85"	"Waters Quattro Premier XE"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"obob02"	"20120821_13.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_obob_mito_paper_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"obob03"	"Extraction"	"acetonitrile/water (7:3; v/v)"	"other"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"Synergi Polar-RP (4 µm, 4.6 mm x 100 mm; Phenomenex)"	"reverse phase"	""	"U-13C,15N glutamate"	""	""	"Mass spectrometry"	"positive"	"Scan parent ions of m/z +85"	"Waters Quattro Premier XE"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"obob03"	"20120821_135.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_obob_mito_paper_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"obob04"	"Extraction"	"acetonitrile/water (7:3; v/v)"	"other"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"Synergi Polar-RP (4 µm, 4.6 mm x 100 mm; Phenomenex)"	"reverse phase"	""	"U-13C,15N glutamate"	""	""	"Mass spectrometry"	"positive"	"Scan parent ions of m/z +85"	"Waters Quattro Premier XE"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"obob04"	"20120821_117.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_obob_mito_paper_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"obob05"	"Extraction"	"acetonitrile/water (7:3; v/v)"	"other"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"Synergi Polar-RP (4 µm, 4.6 mm x 100 mm; Phenomenex)"	"reverse phase"	""	"U-13C,15N glutamate"	""	""	"Mass spectrometry"	"positive"	"Scan parent ions of m/z +85"	"Waters Quattro Premier XE"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"obob05"	"20120821_63.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_obob_mito_paper_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"obob06"	"Extraction"	"acetonitrile/water (7:3; v/v)"	"other"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"Synergi Polar-RP (4 µm, 4.6 mm x 100 mm; Phenomenex)"	"reverse phase"	""	"U-13C,15N glutamate"	""	""	"Mass spectrometry"	"positive"	"Scan parent ions of m/z +85"	"Waters Quattro Premier XE"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"obob06"	"20120821_124.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_obob_mito_paper_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"obob07"	"Extraction"	"acetonitrile/water (7:3; v/v)"	"other"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"Synergi Polar-RP (4 µm, 4.6 mm x 100 mm; Phenomenex)"	"reverse phase"	""	"U-13C,15N glutamate"	""	""	"Mass spectrometry"	"positive"	"Scan parent ions of m/z +85"	"Waters Quattro Premier XE"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"obob07"	"20120821_23.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_obob_mito_paper_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"obob08"	"Extraction"	"acetonitrile/water (7:3; v/v)"	"other"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"Synergi Polar-RP (4 µm, 4.6 mm x 100 mm; Phenomenex)"	"reverse phase"	""	"U-13C,15N glutamate"	""	""	"Mass spectrometry"	"positive"	"Scan parent ions of m/z +85"	"Waters Quattro Premier XE"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"obob08"	"20120821_48.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_obob_mito_paper_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"obob09"	"Extraction"	"acetonitrile/water (7:3; v/v)"	"other"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"Synergi Polar-RP (4 µm, 4.6 mm x 100 mm; Phenomenex)"	"reverse phase"	""	"U-13C,15N glutamate"	""	""	"Mass spectrometry"	"positive"	"Scan parent ions of m/z +85"	"Waters Quattro Premier XE"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"obob09"	"20120821_83.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_obob_mito_paper_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"obob10"	"Extraction"	"acetonitrile/water (7:3; v/v)"	"other"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"Synergi Polar-RP (4 µm, 4.6 mm x 100 mm; Phenomenex)"	"reverse phase"	""	"U-13C,15N glutamate"	""	""	"Mass spectrometry"	"positive"	"Scan parent ions of m/z +85"	"Waters Quattro Premier XE"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"obob10"	"20120821_55.raw"	"Data transformation"	""	""	"Metabolite identification"	""	"m_obob_mito_paper_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
