"Sample Name"	"Protocol REF"	"Parameter Value[Extraction Method]"	"Extract Name"	"Protocol REF"	"Parameter Value[NMR tube type]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Solvent]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Sample pH]"	"Parameter Value[Temperature]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[NMR Probe]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Number of transients]"	"Parameter Value[Pulse sequence name]"	"Parameter Value[Magnetic field strength]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Acquisition Parameter Data File"	"Protocol REF"	"NMR Assay Name"	"Free Induction Decay Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"SH0004"	"Extraction"	"N/A"	"N/A"	"NMR sample"	"4.25 mm (Bruker BioSpin)"	""	""	"0.07 M phosphate buffered D2O"	""	""	"7.4"	"313.4"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker 600 MHz spectrometer"	""	""	"5 mm CPTCI"	""	""	"64"	"1D CPMG with presaturation (cpmgpr1d)"	"14.1"	"Tesla"	"NCIT"	""	""	"NMR assay"	"SH0004"	"1.zip"	"Data transformation"	"SH0004"	""	"Metabolite identification"	"SH0004"	"m_hna_fld_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"SH0007"	"Extraction"	"N/A"	"N/A"	"NMR sample"	"4.25 mm (Bruker BioSpin)"	""	""	"0.07 M phosphate buffered D2O"	""	""	"7.4"	"313.4"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker 600 MHz spectrometer"	""	""	"5 mm CPTCI"	""	""	"64"	"1D CPMG with presaturation (cpmgpr1d)"	"14.1"	"Tesla"	"NCIT"	""	""	"NMR assay"	"SH0007"	"2.zip"	"Data transformation"	"SH0007"	""	"Metabolite identification"	"SH0007"	"m_hna_fld_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"SH0008"	"Extraction"	"N/A"	"N/A"	"NMR sample"	"4.25 mm (Bruker BioSpin)"	""	""	"0.07 M phosphate buffered D2O"	""	""	"7.4"	"313.4"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker 600 MHz spectrometer"	""	""	"5 mm CPTCI"	""	""	"64"	"1D CPMG with presaturation (cpmgpr1d)"	"14.1"	"Tesla"	"NCIT"	""	""	"NMR assay"	"SH0008"	"3.zip"	"Data transformation"	"SH0008"	""	"Metabolite identification"	"SH0008"	"m_hna_fld_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"SH0009"	"Extraction"	"N/A"	"N/A"	"NMR sample"	"4.25 mm (Bruker BioSpin)"	""	""	"0.07 M phosphate buffered D2O"	""	""	"7.4"	"313.4"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker 600 MHz spectrometer"	""	""	"5 mm CPTCI"	""	""	"64"	"1D CPMG with presaturation (cpmgpr1d)"	"14.1"	"Tesla"	"NCIT"	""	""	"NMR assay"	"SH0009"	"4.zip"	"Data transformation"	"SH0009"	""	"Metabolite identification"	"SH0009"	"m_hna_fld_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"SH0011"	"Extraction"	"N/A"	"N/A"	"NMR sample"	"4.25 mm (Bruker BioSpin)"	""	""	"0.07 M phosphate buffered D2O"	""	""	"7.4"	"313.4"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker 600 MHz spectrometer"	""	""	"5 mm CPTCI"	""	""	"64"	"1D CPMG with presaturation (cpmgpr1d)"	"14.1"	"Tesla"	"NCIT"	""	""	"NMR assay"	"SH0011"	"5.zip"	"Data transformation"	"SH0011"	""	"Metabolite identification"	"SH0011"	"m_hna_fld_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"SH0018"	"Extraction"	"N/A"	"N/A"	"NMR sample"	"4.25 mm (Bruker BioSpin)"	""	""	"0.07 M phosphate buffered D2O"	""	""	"7.4"	"313.4"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker 600 MHz spectrometer"	""	""	"5 mm CPTCI"	""	""	"64"	"1D CPMG with presaturation (cpmgpr1d)"	"14.1"	"Tesla"	"NCIT"	""	""	"NMR assay"	"SH0018"	"6.zip"	"Data transformation"	"SH0018"	""	"Metabolite identification"	"SH0018"	"m_hna_fld_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"SH0021"	"Extraction"	"N/A"	"N/A"	"NMR sample"	"4.25 mm (Bruker BioSpin)"	""	""	"0.07 M phosphate buffered D2O"	""	""	"7.4"	"313.4"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker 600 MHz spectrometer"	""	""	"5 mm CPTCI"	""	""	"64"	"1D CPMG with presaturation (cpmgpr1d)"	"14.1"	"Tesla"	"NCIT"	""	""	"NMR assay"	"SH0021"	"7.zip"	"Data transformation"	"SH0021"	""	"Metabolite identification"	"SH0021"	"m_hna_fld_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"SH0022"	"Extraction"	"N/A"	"N/A"	"NMR sample"	"4.25 mm (Bruker BioSpin)"	""	""	"0.07 M phosphate buffered D2O"	""	""	"7.4"	"313.4"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker 600 MHz spectrometer"	""	""	"5 mm CPTCI"	""	""	"64"	"1D CPMG with presaturation (cpmgpr1d)"	"14.1"	"Tesla"	"NCIT"	""	""	"NMR assay"	"SH0022"	"8.zip"	"Data transformation"	"SH0022"	""	"Metabolite identification"	"SH0022"	"m_hna_fld_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"SH0024"	"Extraction"	"N/A"	"N/A"	"NMR sample"	"4.25 mm (Bruker BioSpin)"	""	""	"0.07 M phosphate buffered D2O"	""	""	"7.4"	"313.4"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker 600 MHz spectrometer"	""	""	"5 mm CPTCI"	""	""	"64"	"1D CPMG with presaturation (cpmgpr1d)"	"14.1"	"Tesla"	"NCIT"	""	""	"NMR assay"	"SH0024"	"9.zip"	"Data transformation"	"SH0024"	""	"Metabolite identification"	"SH0024"	"m_hna_fld_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"SH0025"	"Extraction"	"N/A"	"N/A"	"NMR sample"	"4.25 mm (Bruker BioSpin)"	""	""	"0.07 M phosphate buffered D2O"	""	""	"7.4"	"313.4"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker 600 MHz spectrometer"	""	""	"5 mm CPTCI"	""	""	"64"	"1D CPMG with presaturation (cpmgpr1d)"	"14.1"	"Tesla"	"NCIT"	""	""	"NMR assay"	"SH0025"	"10.zip"	"Data transformation"	"SH0025"	""	"Metabolite identification"	"SH0025"	"m_hna_fld_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"SH0026"	"Extraction"	"N/A"	"N/A"	"NMR sample"	"4.25 mm (Bruker BioSpin)"	""	""	"0.07 M phosphate buffered D2O"	""	""	"7.4"	"313.4"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker 600 MHz spectrometer"	""	""	"5 mm CPTCI"	""	""	"64"	"1D CPMG with presaturation (cpmgpr1d)"	"14.1"	"Tesla"	"NCIT"	""	""	"NMR assay"	"SH0026"	"11.zip"	"Data transformation"	"SH0026"	""	"Metabolite identification"	"SH0026"	"m_hna_fld_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"SH0027"	"Extraction"	"N/A"	"N/A"	"NMR sample"	"4.25 mm (Bruker BioSpin)"	""	""	"0.07 M phosphate buffered D2O"	""	""	"7.4"	"313.4"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker 600 MHz spectrometer"	""	""	"5 mm CPTCI"	""	""	"64"	"1D CPMG with presaturation (cpmgpr1d)"	"14.1"	"Tesla"	"NCIT"	""	""	"NMR assay"	"SH0027"	"12.zip"	"Data transformation"	"SH0027"	""	"Metabolite identification"	"SH0027"	"m_hna_fld_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"SH0028"	"Extraction"	"N/A"	"N/A"	"NMR sample"	"4.25 mm (Bruker BioSpin)"	""	""	"0.07 M phosphate buffered D2O"	""	""	"7.4"	"313.4"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker 600 MHz spectrometer"	""	""	"5 mm CPTCI"	""	""	"64"	"1D CPMG with presaturation (cpmgpr1d)"	"14.1"	"Tesla"	"NCIT"	""	""	"NMR assay"	"SH0028"	"13.zip"	"Data transformation"	"SH0028"	""	"Metabolite identification"	"SH0028"	"m_hna_fld_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"SH0029"	"Extraction"	"N/A"	"N/A"	"NMR sample"	"4.25 mm (Bruker BioSpin)"	""	""	"0.07 M phosphate buffered D2O"	""	""	"7.4"	"313.4"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker 600 MHz spectrometer"	""	""	"5 mm CPTCI"	""	""	"64"	"1D CPMG with presaturation (cpmgpr1d)"	"14.1"	"Tesla"	"NCIT"	""	""	"NMR assay"	"SH0029"	"14.zip"	"Data transformation"	"SH0029"	""	"Metabolite identification"	"SH0029"	"m_hna_fld_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"SH0030"	"Extraction"	"N/A"	"N/A"	"NMR sample"	"4.25 mm (Bruker BioSpin)"	""	""	"0.07 M phosphate buffered D2O"	""	""	"7.4"	"313.4"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker 600 MHz spectrometer"	""	""	"5 mm CPTCI"	""	""	"64"	"1D CPMG with presaturation (cpmgpr1d)"	"14.1"	"Tesla"	"NCIT"	""	""	"NMR assay"	"SH0030"	"15.zip"	"Data transformation"	"SH0030"	""	"Metabolite identification"	"SH0030"	"m_hna_fld_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"SH0031"	"Extraction"	"N/A"	"N/A"	"NMR sample"	"4.25 mm (Bruker BioSpin)"	""	""	"0.07 M phosphate buffered D2O"	""	""	"7.4"	"313.4"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker 600 MHz spectrometer"	""	""	"5 mm CPTCI"	""	""	"64"	"1D CPMG with presaturation (cpmgpr1d)"	"14.1"	"Tesla"	"NCIT"	""	""	"NMR assay"	"SH0031"	"16.zip"	"Data transformation"	"SH0031"	""	"Metabolite identification"	"SH0031"	"m_hna_fld_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"SH0033"	"Extraction"	"N/A"	"N/A"	"NMR sample"	"4.25 mm (Bruker BioSpin)"	""	""	"0.07 M phosphate buffered D2O"	""	""	"7.4"	"313.4"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker 600 MHz spectrometer"	""	""	"5 mm CPTCI"	""	""	"64"	"1D CPMG with presaturation (cpmgpr1d)"	"14.1"	"Tesla"	"NCIT"	""	""	"NMR assay"	"SH0033"	"17.zip"	"Data transformation"	"SH0033"	""	"Metabolite identification"	"SH0033"	"m_hna_fld_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"SH0034"	"Extraction"	"N/A"	"N/A"	"NMR sample"	"4.25 mm (Bruker BioSpin)"	""	""	"0.07 M phosphate buffered D2O"	""	""	"7.4"	"313.4"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	"N/A"	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker 600 MHz spectrometer"	""	""	"5 mm CPTCI"	""	""	"64"	"1D CPMG with presaturation (cpmgpr1d)"	"14.1"	"Tesla"	"NCIT"	""	""	"NMR assay"	"SH0034"	"18.zip"	"Data transformation"	"SH0034"	""	"Metabolite identification"	"SH0034"	"m_hna_fld_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
