"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"MEJACONTL01"	"Extraction"	""	""	"Chloroform extract"	"Chromatography"	"Shimadzu GCMS-QP2010 Ultra"	""	""	"Zebron ZB-1ms GC (0.25 µm, 0.25 mm x 30 m; Phenomenex)"	"low polarity"	""	""	""	""	"Mass spectrometry"	""	"50-500"	"Shimadzu GCMS-QP2010 Ultra"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"MEJACONTL01"	"MEJACONTL01.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_GC_ft_cam_mj_mass_spectrometry_v2_maf.tsv"
"MEJACONTL02"	"Extraction"	""	""	"Chloroform extract"	"Chromatography"	"Shimadzu GCMS-QP2010 Ultra"	""	""	"Zebron ZB-1ms GC (0.25 µm, 0.25 mm x 30 m; Phenomenex)"	"low polarity"	""	""	""	""	"Mass spectrometry"	""	"50-500"	"Shimadzu GCMS-QP2010 Ultra"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"MEJACONTL02"	"MEJACONTL02.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_GC_ft_cam_mj_mass_spectrometry_v2_maf.tsv"
"MEJACONTL03"	"Extraction"	""	""	"Chloroform extract"	"Chromatography"	"Shimadzu GCMS-QP2010 Ultra"	""	""	"Zebron ZB-1ms GC (0.25 µm, 0.25 mm x 30 m; Phenomenex)"	"low polarity"	""	""	""	""	"Mass spectrometry"	""	"50-500"	"Shimadzu GCMS-QP2010 Ultra"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"MEJACONTL03"	"MEJACONTL03.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_GC_ft_cam_mj_mass_spectrometry_v2_maf.tsv"
"MEJACONTL04"	"Extraction"	""	""	"Chloroform extract"	"Chromatography"	"Shimadzu GCMS-QP2010 Ultra"	""	""	"Zebron ZB-1ms GC (0.25 µm, 0.25 mm x 30 m; Phenomenex)"	"low polarity"	""	""	""	""	"Mass spectrometry"	""	"50-500"	"Shimadzu GCMS-QP2010 Ultra"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"MEJACONTL04"	"MEJACONTL04.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_GC_ft_cam_mj_mass_spectrometry_v2_maf.tsv"
"MEJACONTL05"	"Extraction"	""	""	"Chloroform extract"	"Chromatography"	"Shimadzu GCMS-QP2010 Ultra"	""	""	"Zebron ZB-1ms GC (0.25 µm, 0.25 mm x 30 m; Phenomenex)"	"low polarity"	""	""	""	""	"Mass spectrometry"	""	"50-500"	"Shimadzu GCMS-QP2010 Ultra"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"MEJACONTL05"	"MEJACONTL05.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_GC_ft_cam_mj_mass_spectrometry_v2_maf.tsv"
"MEJACONTL06"	"Extraction"	""	""	"Chloroform extract"	"Chromatography"	"Shimadzu GCMS-QP2010 Ultra"	""	""	"Zebron ZB-1ms GC (0.25 µm, 0.25 mm x 30 m; Phenomenex)"	"low polarity"	""	""	""	""	"Mass spectrometry"	""	"50-500"	"Shimadzu GCMS-QP2010 Ultra"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"MEJACONTL06"	"MEJACONTL06.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_GC_ft_cam_mj_mass_spectrometry_v2_maf.tsv"
"MEJA100uM01"	"Extraction"	""	""	"Chloroform extract"	"Chromatography"	"Shimadzu GCMS-QP2010 Ultra"	""	""	"Zebron ZB-1ms GC (0.25 µm, 0.25 mm x 30 m; Phenomenex)"	"low polarity"	""	""	""	""	"Mass spectrometry"	""	"50-500"	"Shimadzu GCMS-QP2010 Ultra"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"MEJA100uM01"	"MEJA100uM01.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_GC_ft_cam_mj_mass_spectrometry_v2_maf.tsv"
"MEJA100uM02"	"Extraction"	""	""	"Chloroform extract"	"Chromatography"	"Shimadzu GCMS-QP2010 Ultra"	""	""	"Zebron ZB-1ms GC (0.25 µm, 0.25 mm x 30 m; Phenomenex)"	"low polarity"	""	""	""	""	"Mass spectrometry"	""	"50-500"	"Shimadzu GCMS-QP2010 Ultra"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"MEJA100uM02"	"MEJA100uM02.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_GC_ft_cam_mj_mass_spectrometry_v2_maf.tsv"
"MEJA100uM03"	"Extraction"	""	""	"Chloroform extract"	"Chromatography"	"Shimadzu GCMS-QP2010 Ultra"	""	""	"Zebron ZB-1ms GC (0.25 µm, 0.25 mm x 30 m; Phenomenex)"	"low polarity"	""	""	""	""	"Mass spectrometry"	""	"50-500"	"Shimadzu GCMS-QP2010 Ultra"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"MEJA100uM03"	"MEJA100uM03.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_GC_ft_cam_mj_mass_spectrometry_v2_maf.tsv"
"MEJA100uM04"	"Extraction"	""	""	"Chloroform extract"	"Chromatography"	"Shimadzu GCMS-QP2010 Ultra"	""	""	"Zebron ZB-1ms GC (0.25 µm, 0.25 mm x 30 m; Phenomenex)"	"low polarity"	""	""	""	""	"Mass spectrometry"	""	"50-500"	"Shimadzu GCMS-QP2010 Ultra"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"MEJA100uM04"	"MEJA100uM04.CDF"	"Data transformation"	""	""	"Metabolite identification"	""	"m_GC_ft_cam_mj_mass_spectrometry_v2_maf.tsv"
