"Sample Name"	"Protocol REF"	"Parameter Value[Extraction Method]"	"Extract Name"	"Protocol REF"	"Parameter Value[NMR tube type]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Solvent]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Sample pH]"	"Parameter Value[Temperature]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[NMR Probe]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Number of transients]"	"Parameter Value[Pulse sequence name]"	"Parameter Value[Magnetic field strength]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Acquisition Parameter Data File"	"Protocol REF"	"NMR Assay Name"	"Free Induction Decay Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"Ex1_DDA_24h_cntrl1"	"Extraction"	""	"Aqueous"	"NMR sample"	"5 mm (Norell Inc.)"	""	""	"0.1 M phosphate buffered D2O"	""	""	"7"	"298"	"kelvin"	"UO"	""	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III 500 MHz spectrometer"	""	""	"5 mm cryogenic"	""	""	"128"	"1D NOESY with presaturation (noesypr1d)"	"11.7"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"Ex1_DDA_24h_cntrl1"	"Ex1_DDA_24h_cntrl1.zip"	"Data transformation"	"Ex1_DDA_24h_cntrl1"	"DDA_PI.xlsx"	"Metabolite identification"	"N/A"	"m_dda_nmr_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"Ex1_DDA_24h_cntrl2"	"Extraction"	""	"Aqueous"	"NMR sample"	"5 mm (Norell Inc.)"	""	""	"0.1 M phosphate buffered D2O"	""	""	"7"	"298"	"kelvin"	"UO"	""	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III 500 MHz spectrometer"	""	""	"5 mm cryogenic"	""	""	"128"	"1D NOESY with presaturation (noesypr1d)"	"11.7"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"Ex1_DDA_24h_cntrl2"	"Ex1_DDA_24h_cntrl2.zip"	"Data transformation"	"Ex1_DDA_24h_cntrl2"	"DDA_PI.xlsx"	"Metabolite identification"	"N/A"	"m_dda_nmr_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"Ex1_DDA_24h_cntrl3"	"Extraction"	""	"Aqueous"	"NMR sample"	"5 mm (Norell Inc.)"	""	""	"0.1 M phosphate buffered D2O"	""	""	"7"	"298"	"kelvin"	"UO"	""	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III 500 MHz spectrometer"	""	""	"5 mm cryogenic"	""	""	"128"	"1D NOESY with presaturation (noesypr1d)"	"11.7"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"Ex1_DDA_24h_cntrl3"	"Ex1_DDA_24h_cntrl3.zip"	"Data transformation"	"Ex1_DDA_24h_cntrl3"	"DDA_PI.xlsx"	"Metabolite identification"	"N/A"	"m_dda_nmr_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"Ex1_DDA_24h_cisp1"	"Extraction"	""	"Aqueous"	"NMR sample"	"5 mm (Norell Inc.)"	""	""	"0.1 M phosphate buffered D2O"	""	""	"7"	"298"	"kelvin"	"UO"	""	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III 500 MHz spectrometer"	""	""	"5 mm cryogenic"	""	""	"128"	"1D NOESY with presaturation (noesypr1d)"	"11.7"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"Ex1_DDA_24h_cisp1"	"Ex1_DDA_24h_cisp1.zip"	"Data transformation"	"Ex1_DDA_24h_cisp1"	"DDA_PI.xlsx"	"Metabolite identification"	"N/A"	"m_dda_nmr_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"Ex1_DDA_24h_cisp2"	"Extraction"	""	"Aqueous"	"NMR sample"	"5 mm (Norell Inc.)"	""	""	"0.1 M phosphate buffered D2O"	""	""	"7"	"298"	"kelvin"	"UO"	""	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III 500 MHz spectrometer"	""	""	"5 mm cryogenic"	""	""	"128"	"1D NOESY with presaturation (noesypr1d)"	"11.7"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"Ex1_DDA_24h_cisp2"	"Ex1_DDA_24h_cisp2.zip"	"Data transformation"	"Ex1_DDA_24h_cisp2"	"DDA_PI.xlsx"	"Metabolite identification"	"N/A"	"m_dda_nmr_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"Ex1_DDA_24h_cisp3"	"Extraction"	""	"Aqueous"	"NMR sample"	"5 mm (Norell Inc.)"	""	""	"0.1 M phosphate buffered D2O"	""	""	"7"	"298"	"kelvin"	"UO"	""	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III 500 MHz spectrometer"	""	""	"5 mm cryogenic"	""	""	"128"	"1D NOESY with presaturation (noesypr1d)"	"11.7"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"Ex1_DDA_24h_cisp3"	"Ex1_DDA_24h_cisp3.zip"	"Data transformation"	"Ex1_DDA_24h_cisp3"	"DDA_PI.xlsx"	"Metabolite identification"	"N/A"	"m_dda_nmr_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"Ex1_DDA_24h_mms1"	"Extraction"	""	"Aqueous"	"NMR sample"	"5 mm (Norell Inc.)"	""	""	"0.1 M phosphate buffered D2O"	""	""	"7"	"298"	"kelvin"	"UO"	""	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III 500 MHz spectrometer"	""	""	"5 mm cryogenic"	""	""	"128"	"1D NOESY with presaturation (noesypr1d)"	"11.7"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"Ex1_DDA_24h_mms1"	"Ex1_DDA_24h_mms1.zip"	"Data transformation"	"Ex1_DDA_24h_mms1"	"DDA_PI.xlsx"	"Metabolite identification"	"N/A"	"m_dda_nmr_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"Ex1_DDA_24h_mms2"	"Extraction"	""	"Aqueous"	"NMR sample"	"5 mm (Norell Inc.)"	""	""	"0.1 M phosphate buffered D2O"	""	""	"7"	"298"	"kelvin"	"UO"	""	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III 500 MHz spectrometer"	""	""	"5 mm cryogenic"	""	""	"128"	"1D NOESY with presaturation (noesypr1d)"	"11.7"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"Ex1_DDA_24h_mms2"	"Ex1_DDA_24h_mms2.zip"	"Data transformation"	"Ex1_DDA_24h_mms2"	"DDA_PI.xlsx"	"Metabolite identification"	"N/A"	"m_dda_nmr_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"Ex1_DDA_24h_mms3"	"Extraction"	""	"Aqueous"	"NMR sample"	"5 mm (Norell Inc.)"	""	""	"0.1 M phosphate buffered D2O"	""	""	"7"	"298"	"kelvin"	"UO"	""	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III 500 MHz spectrometer"	""	""	"5 mm cryogenic"	""	""	"128"	"1D NOESY with presaturation (noesypr1d)"	"11.7"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"Ex1_DDA_24h_mms3"	"Ex1_DDA_24h_mms3.zip"	"Data transformation"	"Ex1_DDA_24h_mms3"	"DDA_PI.xlsx"	"Metabolite identification"	"N/A"	"m_dda_nmr_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"Ex1_DDA_24h_zeo1"	"Extraction"	""	"Aqueous"	"NMR sample"	"5 mm (Norell Inc.)"	""	""	"0.1 M phosphate buffered D2O"	""	""	"7"	"298"	"kelvin"	"UO"	""	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III 500 MHz spectrometer"	""	""	"5 mm cryogenic"	""	""	"128"	"1D NOESY with presaturation (noesypr1d)"	"11.7"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"Ex1_DDA_24h_zeo1"	"Ex1_DDA_24h_zeo1.zip"	"Data transformation"	"Ex1_DDA_24h_zeo1"	"DDA_PI.xlsx"	"Metabolite identification"	"N/A"	"m_dda_nmr_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"Ex1_DDA_24h_zeo2"	"Extraction"	""	"Aqueous"	"NMR sample"	"5 mm (Norell Inc.)"	""	""	"0.1 M phosphate buffered D2O"	""	""	"7"	"298"	"kelvin"	"UO"	""	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III 500 MHz spectrometer"	""	""	"5 mm cryogenic"	""	""	"128"	"1D NOESY with presaturation (noesypr1d)"	"11.7"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"Ex1_DDA_24h_zeo2"	"Ex1_DDA_24h_zeo2.zip"	"Data transformation"	"Ex1_DDA_24h_zeo2"	"DDA_PI.xlsx"	"Metabolite identification"	"N/A"	"m_dda_nmr_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"Ex1_DDA_24h_zeo3"	"Extraction"	""	"Aqueous"	"NMR sample"	"5 mm (Norell Inc.)"	""	""	"0.1 M phosphate buffered D2O"	""	""	"7"	"298"	"kelvin"	"UO"	""	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III 500 MHz spectrometer"	""	""	"5 mm cryogenic"	""	""	"128"	"1D NOESY with presaturation (noesypr1d)"	"11.7"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"Ex1_DDA_24h_zeo3"	"Ex1_DDA_24h_zeo3.zip"	"Data transformation"	"Ex1_DDA_24h_zeo3"	"DDA_PI.xlsx"	"Metabolite identification"	"N/A"	"m_dda_nmr_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"Ex2_PIeffectMMS_cntrl1"	"Extraction"	""	"Aqueous"	"NMR sample"	"5 mm (Norell Inc.)"	""	""	"0.1 M phosphate buffered D2O"	""	""	"7"	"298"	"kelvin"	"UO"	""	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III 500 MHz spectrometer"	""	""	"5 mm cryogenic"	""	""	"128"	"1D NOESY with presaturation (noesypr1d)"	"11.7"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"Ex2_PIeffectMMS_cntrl1"	"Ex2_PIeffectMMS_cntrl1.zip"	"Data transformation"	"Ex2_PIeffectMMS_cntrl1"	"DDA_PI.xlsx"	"Metabolite identification"	"N/A"	"m_dda_nmr_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"Ex2_PIeffectMMS_cntrl2"	"Extraction"	""	"Aqueous"	"NMR sample"	"5 mm (Norell Inc.)"	""	""	"0.1 M phosphate buffered D2O"	""	""	"7"	"298"	"kelvin"	"UO"	""	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III 500 MHz spectrometer"	""	""	"5 mm cryogenic"	""	""	"128"	"1D NOESY with presaturation (noesypr1d)"	"11.7"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"Ex2_PIeffectMMS_cntrl2"	"Ex2_PIeffectMMS_cntrl2.zip"	"Data transformation"	"Ex2_PIeffectMMS_cntrl2"	"DDA_PI.xlsx"	"Metabolite identification"	"N/A"	"m_dda_nmr_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"Ex2_PIeffectMMS_cntrl3"	"Extraction"	""	"Aqueous"	"NMR sample"	"5 mm (Norell Inc.)"	""	""	"0.1 M phosphate buffered D2O"	""	""	"7"	"298"	"kelvin"	"UO"	""	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III 500 MHz spectrometer"	""	""	"5 mm cryogenic"	""	""	"128"	"1D NOESY with presaturation (noesypr1d)"	"11.7"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"Ex2_PIeffectMMS_cntrl3"	"Ex2_PIeffectMMS_cntrl3.zip"	"Data transformation"	"Ex2_PIeffectMMS_cntrl3"	"DDA_PI.xlsx"	"Metabolite identification"	"N/A"	"m_dda_nmr_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"Ex2_PIeffectMMS_PI1"	"Extraction"	""	"Aqueous"	"NMR sample"	"5 mm (Norell Inc.)"	""	""	"0.1 M phosphate buffered D2O"	""	""	"7"	"298"	"kelvin"	"UO"	""	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III 500 MHz spectrometer"	""	""	"5 mm cryogenic"	""	""	"128"	"1D NOESY with presaturation (noesypr1d)"	"11.7"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"Ex2_PIeffectMMS_PI1"	"Ex2_PIeffectMMS_PI1.zip"	"Data transformation"	"Ex2_PIeffectMMS_PI1"	"DDA_PI.xlsx"	"Metabolite identification"	"N/A"	"m_dda_nmr_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"Ex2_PIeffectMMS_PI2"	"Extraction"	""	"Aqueous"	"NMR sample"	"5 mm (Norell Inc.)"	""	""	"0.1 M phosphate buffered D2O"	""	""	"7"	"298"	"kelvin"	"UO"	""	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III 500 MHz spectrometer"	""	""	"5 mm cryogenic"	""	""	"128"	"1D NOESY with presaturation (noesypr1d)"	"11.7"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"Ex2_PIeffectMMS_PI2"	"Ex2_PIeffectMMS_PI2.zip"	"Data transformation"	"Ex2_PIeffectMMS_PI2"	"DDA_PI.xlsx"	"Metabolite identification"	"N/A"	"m_dda_nmr_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"Ex2_PIeffectMMS_PI3"	"Extraction"	""	"Aqueous"	"NMR sample"	"5 mm (Norell Inc.)"	""	""	"0.1 M phosphate buffered D2O"	""	""	"7"	"298"	"kelvin"	"UO"	""	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III 500 MHz spectrometer"	""	""	"5 mm cryogenic"	""	""	"128"	"1D NOESY with presaturation (noesypr1d)"	"11.7"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"Ex2_PIeffectMMS_PI3"	"Ex2_PIeffectMMS_PI3.zip"	"Data transformation"	"Ex2_PIeffectMMS_PI3"	"DDA_PI.xlsx"	"Metabolite identification"	"N/A"	"m_dda_nmr_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"Ex2_PIeffectMMS_mms1"	"Extraction"	""	"Aqueous"	"NMR sample"	"5 mm (Norell Inc.)"	""	""	"0.1 M phosphate buffered D2O"	""	""	"7"	"298"	"kelvin"	"UO"	""	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III 500 MHz spectrometer"	""	""	"5 mm cryogenic"	""	""	"128"	"1D NOESY with presaturation (noesypr1d)"	"11.7"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"Ex2_PIeffectMMS_mms1"	"Ex2_PIeffectMMS_mms1.zip"	"Data transformation"	"Ex2_PIeffectMMS_mms1"	"DDA_PI.xlsx"	"Metabolite identification"	"N/A"	"m_dda_nmr_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"Ex2_PIeffectMMS_mms2"	"Extraction"	""	"Aqueous"	"NMR sample"	"5 mm (Norell Inc.)"	""	""	"0.1 M phosphate buffered D2O"	""	""	"7"	"298"	"kelvin"	"UO"	""	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III 500 MHz spectrometer"	""	""	"5 mm cryogenic"	""	""	"128"	"1D NOESY with presaturation (noesypr1d)"	"11.7"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"Ex2_PIeffectMMS_mms2"	"Ex2_PIeffectMMS_mms2.zip"	"Data transformation"	"Ex2_PIeffectMMS_mms2"	"DDA_PI.xlsx"	"Metabolite identification"	"N/A"	"m_dda_nmr_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"Ex2_PIeffectMMS_mms3"	"Extraction"	""	"Aqueous"	"NMR sample"	"5 mm (Norell Inc.)"	""	""	"0.1 M phosphate buffered D2O"	""	""	"7"	"298"	"kelvin"	"UO"	""	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III 500 MHz spectrometer"	""	""	"5 mm cryogenic"	""	""	"128"	"1D NOESY with presaturation (noesypr1d)"	"11.7"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"Ex2_PIeffectMMS_mms3"	"Ex2_PIeffectMMS_mms3.zip"	"Data transformation"	"Ex2_PIeffectMMS_mms3"	"DDA_PI.xlsx"	"Metabolite identification"	"N/A"	"m_dda_nmr_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"Ex2_PIeffectMMS_mms+PI1"	"Extraction"	""	"Aqueous"	"NMR sample"	"5 mm (Norell Inc.)"	""	""	"0.1 M phosphate buffered D2O"	""	""	"7"	"298"	"kelvin"	"UO"	""	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III 500 MHz spectrometer"	""	""	"5 mm cryogenic"	""	""	"128"	"1D NOESY with presaturation (noesypr1d)"	"11.7"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"Ex2_PIeffectMMS_mms+PI1"	"Ex2_PIeffectMMS_mms+PI1.zip"	"Data transformation"	"Ex2_PIeffectMMS_mms+PI1"	"DDA_PI.xlsx"	"Metabolite identification"	"N/A"	"m_dda_nmr_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"Ex2_PIeffectMMS_mms+PI2"	"Extraction"	""	"Aqueous"	"NMR sample"	"5 mm (Norell Inc.)"	""	""	"0.1 M phosphate buffered D2O"	""	""	"7"	"298"	"kelvin"	"UO"	""	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker AVANCE III 500 MHz spectrometer"	""	""	"5 mm cryogenic"	""	""	"128"	"1D NOESY with presaturation (noesypr1d)"	"11.7"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"Ex2_PIeffectMMS_mms+PI2"	"Ex2_PIeffectMMS_mms+PI2.zip"	"Data transformation"	"Ex2_PIeffectMMS_mms+PI2"	"DDA_PI.xlsx"	"Metabolite identification"	"N/A"	"m_dda_nmr_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
