"Source Name"	"Characteristics[organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Characteristics[cell]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[compound]"	"Term Source REF"	"Term Accession Number"	"Factor Value[dose]"	"Term Source REF"	"Term Accession Number"	"Factor Value[time post exposure]"	"Unit"	"Term Source REF"	"Term Accession Number"
"Cell lysate"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"Ex1_DDA_24h_cntrl1"	"control"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"no dose"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell lysate"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"Ex1_DDA_24h_cntrl2"	"control"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"no dose"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell lysate"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"Ex1_DDA_24h_cntrl3"	"control"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"no dose"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell lysate"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"Ex1_DDA_24h_cisp1"	"cisplatin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_27899"	"medium dose"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell lysate"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"Ex1_DDA_24h_cisp2"	"cisplatin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_27899"	"medium dose"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell lysate"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"Ex1_DDA_24h_cisp3"	"cisplatin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_27899"	"medium dose"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell lysate"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"Ex1_DDA_24h_mms1"	"methyl methanesulfonate"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_25255"	"medium dose"	""	""	"1+23(recovery)"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell lysate"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"Ex1_DDA_24h_mms2"	"methyl methanesulfonate"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_25255"	"medium dose"	""	""	"1+23 (recovery)"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell lysate"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"Ex1_DDA_24h_mms3"	"methyl methanesulfonate"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_25255"	"medium dose"	""	""	"1+23 (recovery)"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Cell lysate"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"MCF-7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000093"	"Sample collection"	"Ex1_DDA_24h_zeo1"	"Zeocin"	"MESH"	"http://purl.bioontology.org/ontology/MESH/C105427"	"medium dose"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
