"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"	"Factor Value[Technical Replicate Number]"	"Term Source REF"	"Term Accession Number"
"Acetate_Propionate_Mat_Sample_1_A_1"	"Extraction"	""	"none"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-FFAP GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"high polarity"	"Carbon-13 labeled acetate"	"carbon-13 atom"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_36928"	"Mass spectrometry"	"positive"	"20-300"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Acetate_Propionate_Mat_Sample_1_A_1"	"Acetate_Propionate_Mat Sample_01_A_1.D.zip"	"Data transformation"	""	"Acetate_Propionate_Mat Sample_01_A_1.CDF"	"Metabolite identification"	""	"m_aAcePro_mtbls187_v2_maf.tsv"	"1"	""	""
"Acetate_Propionate_Mat_Sample_1_A_2"	"Extraction"	""	"none"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-FFAP GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"high polarity"	"Carbon-13 labeled acetate"	"carbon-13 atom"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_36928"	"Mass spectrometry"	"positive"	"20-300"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Acetate_Propionate_Mat_Sample_1_A_2"	"Acetate_Propionate_Mat Sample_01_A_2.D.zip"	"Data transformation"	""	"Acetate_Propionate_Mat Sample_01_A_2.CDF"	"Metabolite identification"	""	"m_aAcePro_mtbls187_v2_maf.tsv"	"2"	""	""
"Acetate_Propionate_Mat_Sample_1_B_1"	"Extraction"	""	"none"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-FFAP GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"high polarity"	"Carbon-13 labeled acetate"	"carbon-13 atom"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_36928"	"Mass spectrometry"	"positive"	"20-300"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Acetate_Propionate_Mat_Sample_1_B_1"	"Acetate_Propionate_Mat Sample_01_B_1.D.zip"	"Data transformation"	""	"Acetate_Propionate_Mat Sample_01_B_1.CDF"	"Metabolite identification"	""	"m_aAcePro_mtbls187_v2_maf.tsv"	"1"	""	""
"Acetate_Propionate_Mat_Sample_1_B_2"	"Extraction"	""	"none"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-FFAP GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"high polarity"	"Carbon-13 labeled acetate"	"carbon-13 atom"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_36928"	"Mass spectrometry"	"positive"	"20-300"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Acetate_Propionate_Mat_Sample_1_B_2"	"Acetate_Propionate_Mat Sample_01_B_2.D.zip"	"Data transformation"	""	"Acetate_Propionate_Mat Sample_01_B_2.CDF"	"Metabolite identification"	""	"m_aAcePro_mtbls187_v2_maf.tsv"	"2"	""	""
"Acetate_Propionate_Mat_Sample_1_C_1"	"Extraction"	""	"none"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-FFAP GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"high polarity"	"Carbon-13 labeled acetate"	"carbon-13 atom"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_36928"	"Mass spectrometry"	"positive"	"20-300"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Acetate_Propionate_Mat_Sample_1_C_1"	"Acetate_Propionate_Mat Sample_01_C_1.D.zip"	"Data transformation"	""	"Acetate_Propionate_Mat Sample_01_C_1.CDF"	"Metabolite identification"	""	"m_aAcePro_mtbls187_v2_maf.tsv"	"1"	""	""
"Acetate_Propionate_Mat_Sample_1_C_2"	"Extraction"	""	"none"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-FFAP GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"high polarity"	"Carbon-13 labeled acetate"	"carbon-13 atom"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_36928"	"Mass spectrometry"	"positive"	"20-300"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Acetate_Propionate_Mat_Sample_1_C_2"	"Acetate_Propionate_Mat Sample_01_C_2.D.zip"	"Data transformation"	""	"Acetate_Propionate_Mat Sample_01_C_2.CDF"	"Metabolite identification"	""	"m_aAcePro_mtbls187_v2_maf.tsv"	"2"	""	""
"Acetate_Propionate_Mat_Sample_2_A_1"	"Extraction"	""	"none"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-FFAP GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"high polarity"	"Carbon-13 labeled acetate"	"carbon-13 atom"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_36928"	"Mass spectrometry"	"positive"	"20-300"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Acetate_Propionate_Mat_Sample_2_A_1"	"Acetate_Propionate_Mat Sample_02_A_1.D.zip"	"Data transformation"	""	"Acetate_Propionate_Mat Sample_02_A_1.CDF"	"Metabolite identification"	""	"m_aAcePro_mtbls187_v2_maf.tsv"	"1"	""	""
"Acetate_Propionate_Mat_Sample_2_A_2"	"Extraction"	""	"none"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-FFAP GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"high polarity"	"Carbon-13 labeled acetate"	"carbon-13 atom"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_36928"	"Mass spectrometry"	"positive"	"20-300"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Acetate_Propionate_Mat_Sample_2_A_2"	"Acetate_Propionate_Mat Sample_02_A_2.D.zip"	"Data transformation"	""	"Acetate_Propionate_Mat Sample_02_A_2.CDF"	"Metabolite identification"	""	"m_aAcePro_mtbls187_v2_maf.tsv"	"2"	""	""
"Acetate_Propionate_Mat_Sample_2_B_1"	"Extraction"	""	"none"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-FFAP GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"high polarity"	"Carbon-13 labeled acetate"	"carbon-13 atom"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_36928"	"Mass spectrometry"	"positive"	"20-300"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Acetate_Propionate_Mat_Sample_2_B_1"	"Acetate_Propionate_Mat Sample_02_B_1.D.zip"	"Data transformation"	""	"Acetate_Propionate_Mat Sample_02_B_1.CDF"	"Metabolite identification"	""	"m_aAcePro_mtbls187_v2_maf.tsv"	"1"	""	""
"Acetate_Propionate_Mat_Sample_2_B_2"	"Extraction"	""	"none"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-FFAP GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"high polarity"	"Carbon-13 labeled acetate"	"carbon-13 atom"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_36928"	"Mass spectrometry"	"positive"	"20-300"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Acetate_Propionate_Mat_Sample_2_B_2"	"Acetate_Propionate_Mat Sample_02_B_2.D.zip"	"Data transformation"	""	"Acetate_Propionate_Mat Sample_02_B_2.CDF"	"Metabolite identification"	""	"m_aAcePro_mtbls187_v2_maf.tsv"	"2"	""	""
"Acetate_Propionate_Mat_Sample_2_C_1"	"Extraction"	""	"none"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-FFAP GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"high polarity"	"Carbon-13 labeled acetate"	"carbon-13 atom"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_36928"	"Mass spectrometry"	"positive"	"20-300"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Acetate_Propionate_Mat_Sample_2_C_1"	"Acetate_Propionate_Mat Sample_02_C_1.D.zip"	"Data transformation"	""	"Acetate_Propionate_Mat Sample_02_C_1.CDF"	"Metabolite identification"	""	"m_aAcePro_mtbls187_v2_maf.tsv"	"1"	""	""
"Acetate_Propionate_Mat_Sample_2_C_2"	"Extraction"	""	"none"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-FFAP GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"high polarity"	"Carbon-13 labeled acetate"	"carbon-13 atom"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_36928"	"Mass spectrometry"	"positive"	"20-300"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Acetate_Propionate_Mat_Sample_2_C_2"	"Acetate_Propionate_Mat Sample_02_C_2.D.zip"	"Data transformation"	""	"Acetate_Propionate_Mat Sample_02_C_2.CDF"	"Metabolite identification"	""	"m_aAcePro_mtbls187_v2_maf.tsv"	"2"	""	""
"Acetate_Propionate_Mat_Sample_3_A_1"	"Extraction"	""	"none"	""	"Chromatography"	"Agilent 7890A GC"	""	""	"HP-FFAP GC (0.25 µm, 0.25 mm x 30 m; Agilent Technologies)"	"high polarity"	"Carbon-13 labeled acetate"	"carbon-13 atom"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_36928"	"Mass spectrometry"	"positive"	"20-300"	"Agilent 5975C MSD"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"Acetate_Propionate_Mat_Sample_3_A_1"	"Acetate_Propionate_Mat Sample_03_A_1.D.zip"	"Data transformation"	""	"Acetate_Propionate_Mat Sample_03_A_1.CDF"	"Metabolite identification"	""	"m_aAcePro_mtbls187_v2_maf.tsv"	"1"	""	""
