"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Time collected]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Sample Replicate]"	"Term Source REF"	"Term Accession Number"
"Polar_Metabolites_Mat_Sample_1_A_1"	"Synechococcus sp.;NCBITAXON:Roseiflexus;NCBITAXON:Candidatus Chloracidobacterium;Candidatus Thermochlorobacter spp.;NCBITAXON:Chloroflexus"	"NCBITAXON"	""	"microbial mat"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000008"	"Sample Collection"	"Polar_Metabolites_Mat_Sample_1_A_1"	"12-30"	""	""	"A"	""	""
"Polar_Metabolites_Mat_Sample_1_A_2"	"Synechococcus sp.;NCBITAXON:Roseiflexus;NCBITAXON:Candidatus Chloracidobacterium;Candidatus Thermochlorobacter spp.;NCBITAXON:Chloroflexus"	"NCBITAXON"	""	"microbial mat"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000008"	"Sample Collection"	"Polar_Metabolites_Mat_Sample_1_A_2"	"12-30"	""	""	"A"	""	""
"Polar_Metabolites_Mat_Sample_1_B_1"	"Synechococcus sp.;NCBITAXON:Roseiflexus;NCBITAXON:Candidatus Chloracidobacterium;Candidatus Thermochlorobacter spp.;NCBITAXON:Chloroflexus"	"NCBITAXON"	""	"microbial mat"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000008"	"Sample Collection"	"Polar_Metabolites_Mat_Sample_1_B_1"	"12-30"	""	""	"B"	""	""
"Polar_Metabolites_Mat_Sample_1_B_2"	"Synechococcus sp.;NCBITAXON:Roseiflexus;NCBITAXON:Candidatus Chloracidobacterium;Candidatus Thermochlorobacter spp.;NCBITAXON:Chloroflexus"	"NCBITAXON"	""	"microbial mat"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000008"	"Sample Collection"	"Polar_Metabolites_Mat_Sample_1_B_2"	"12-30"	""	""	"B"	""	""
"Polar_Metabolites_Mat_Sample_1_C_1"	"Synechococcus sp.;NCBITAXON:Roseiflexus;NCBITAXON:Candidatus Chloracidobacterium;Candidatus Thermochlorobacter spp.;NCBITAXON:Chloroflexus"	"NCBITAXON"	""	"microbial mat"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000008"	"Sample Collection"	"Polar_Metabolites_Mat_Sample_1_C_1"	"12-30"	""	""	"C"	""	""
"Polar_Metabolites_Mat_Sample_1_C_2"	"Synechococcus sp.;NCBITAXON:Roseiflexus;NCBITAXON:Candidatus Chloracidobacterium;Candidatus Thermochlorobacter spp.;NCBITAXON:Chloroflexus"	"NCBITAXON"	""	"microbial mat"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000008"	"Sample Collection"	"Polar_Metabolites_Mat_Sample_1_C_2"	"12-30"	""	""	"C"	""	""
"Polar_Metabolites_Mat_Sample_2_A_1"	"Synechococcus sp.;NCBITAXON:Roseiflexus;NCBITAXON:Candidatus Chloracidobacterium;Candidatus Thermochlorobacter spp.;NCBITAXON:Chloroflexus"	"NCBITAXON"	""	"microbial mat"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000008"	"Sample Collection"	"Polar_Metabolites_Mat_Sample_2_A_1"	"13-30"	""	""	"A"	""	""
"Polar_Metabolites_Mat_Sample_2_A_2"	"Synechococcus sp.;NCBITAXON:Roseiflexus;NCBITAXON:Candidatus Chloracidobacterium;Candidatus Thermochlorobacter spp.;NCBITAXON:Chloroflexus"	"NCBITAXON"	""	"microbial mat"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000008"	"Sample Collection"	"Polar_Metabolites_Mat_Sample_2_A_2"	"13-30"	""	""	"A"	""	""
"Polar_Metabolites_Mat_Sample_2_B_1"	"Synechococcus sp.;NCBITAXON:Roseiflexus;NCBITAXON:Candidatus Chloracidobacterium;Candidatus Thermochlorobacter spp.;NCBITAXON:Chloroflexus"	"NCBITAXON"	""	"microbial mat"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000008"	"Sample Collection"	"Polar_Metabolites_Mat_Sample_2_B_1"	"13-30"	""	""	"B"	""	""
"Polar_Metabolites_Mat_Sample_2_B_2"	"Synechococcus sp.;NCBITAXON:Roseiflexus;NCBITAXON:Candidatus Chloracidobacterium;Candidatus Thermochlorobacter spp.;NCBITAXON:Chloroflexus"	"NCBITAXON"	""	"microbial mat"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000008"	"Sample Collection"	"Polar_Metabolites_Mat_Sample_2_B_2"	"13-30"	""	""	"B"	""	""
"Polar_Metabolites_Mat_Sample_2_C_1"	"Synechococcus sp.;NCBITAXON:Roseiflexus;NCBITAXON:Candidatus Chloracidobacterium;Candidatus Thermochlorobacter spp.;NCBITAXON:Chloroflexus"	"NCBITAXON"	""	"microbial mat"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000008"	"Sample Collection"	"Polar_Metabolites_Mat_Sample_2_C_1"	"13-30"	""	""	"C"	""	""
"Polar_Metabolites_Mat_Sample_2_C_2"	"Synechococcus sp.;NCBITAXON:Roseiflexus;NCBITAXON:Candidatus Chloracidobacterium;Candidatus Thermochlorobacter spp.;NCBITAXON:Chloroflexus"	"NCBITAXON"	""	"microbial mat"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000008"	"Sample Collection"	"Polar_Metabolites_Mat_Sample_2_C_2"	"13-30"	""	""	"C"	""	""
"Polar_Metabolites_Mat_Sample_3_A_1"	"Synechococcus sp.;NCBITAXON:Roseiflexus;NCBITAXON:Candidatus Chloracidobacterium;Candidatus Thermochlorobacter spp.;NCBITAXON:Chloroflexus"	"NCBITAXON"	""	"microbial mat"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000008"	"Sample Collection"	"Polar_Metabolites_Mat_Sample_3_A_1"	"14-30"	""	""	"A"	""	""
"Polar_Metabolites_Mat_Sample_3_A_2"	"Synechococcus sp.;NCBITAXON:Roseiflexus;NCBITAXON:Candidatus Chloracidobacterium;Candidatus Thermochlorobacter spp.;NCBITAXON:Chloroflexus"	"NCBITAXON"	""	"microbial mat"	"ENVO"	"http://purl.obolibrary.org/obo/ENVO_01000008"	"Sample Collection"	"Polar_Metabolites_Mat_Sample_3_A_2"	"14-30"	""	""	"A"	""	""
