"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Sample Matrix]"	"Term Source REF"	"Term Accession Number"
"Mouse Urine"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"urine"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001088"	"Sample collection"	"PP1_1"	"PBS C12/ PBS C13"	""	""
"Mouse Urine"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"urine"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001088"	"Sample collection"	"PP1_2"	"PBS C12/ PBS C13"	""	""
"Mouse Urine"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"urine"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001088"	"Sample collection"	"PP1_3"	"PBS C12/ PBS C13"	""	""
"Mouse Urine"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"urine"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001088"	"Sample collection"	"PP2_1"	"PBS C12/ PBS C13"	""	""
"Mouse Urine"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"urine"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001088"	"Sample collection"	"PP2_2"	"PBS C12/ PBS C13"	""	""
"Mouse Urine"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"urine"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001088"	"Sample collection"	"PP2_3"	"PBS C12/ PBS C13"	""	""
"Mouse Urine"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"urine"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001088"	"Sample collection"	"PP3_1"	"PBS C12/ PBS C13"	""	""
"Mouse Urine"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"urine"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001088"	"Sample collection"	"PP3_2"	"PBS C12/ PBS C13"	""	""
"Mouse Urine"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"urine"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001088"	"Sample collection"	"PP3_3"	"PBS C12/ PBS C13"	""	""
"Mouse Urine"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"urine"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001088"	"Sample collection"	"PP4_1"	"PBS C12/ PBS C13"	""	""
"Mouse Urine"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"urine"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001088"	"Sample collection"	"PP4_2"	"PBS C12/ PBS C13"	""	""
"Mouse Urine"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"urine"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001088"	"Sample collection"	"PP4_3"	"PBS C12/ PBS C13"	""	""
"Mouse Urine"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"urine"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001088"	"Sample collection"	"PP5_1"	"PBS C12/ PBS C13"	""	""
"Mouse Urine"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"urine"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001088"	"Sample collection"	"PP5_2"	"PBS C12/ PBS C13"	""	""
"Mouse Urine"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"urine"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001088"	"Sample collection"	"PP5_3"	"PBS C12/ PBS C13"	""	""
"Mouse Urine"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"urine"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001088"	"Sample collection"	"PW1_1"	"PBS C12/ Water C13"	""	""
"Mouse Urine"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"urine"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0001088"	"Sample collection"	"PW1_2"	"PBS C12/ Water C13"	""	""
