"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"391_3-Hydroxy-4-methoxycinnamic_acid_NEG"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"75-1000"	"Thermo Scientific LTQ Orbitrap Discovery"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"391_3-Hydroxy-4-methoxycinnamic_acid_NEG"	"391_3-Hydroxy-4-methoxycinnamic_acid_NEG.RAW"	"Data transformation"	""	"MS2neg.xlsx"	"Metabolite identification"	"MS2neg"	"m_MS2neg_FIAMS2_metid_urine_v2_maf.tsv"
"422_a-Ketoglutaric_acid_NEG"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"75-1000"	"Thermo Scientific LTQ Orbitrap Discovery"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"422_a-Ketoglutaric_acid_NEG"	"422_a-Ketoglutaric_acid_NEG.RAW"	"Data transformation"	""	"MS2neg.xlsx"	"Metabolite identification"	"MS2neg"	"m_MS2neg_FIAMS2_metid_urine_v2_maf.tsv"
"673_2-Hydroxyphenylacetic_acid_NEG"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"75-1000"	"Thermo Scientific LTQ Orbitrap Discovery"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"673_2-Hydroxyphenylacetic_acid_NEG"	"673_2-Hydroxyphenylacetic_acid_NEG.RAW"	"Data transformation"	""	"MS2neg.xlsx"	"Metabolite identification"	"MS2neg"	"m_MS2neg_FIAMS2_metid_urine_v2_maf.tsv"
"737_p-Anisic_acid_NEG"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"75-1000"	"Thermo Scientific LTQ Orbitrap Discovery"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"737_p-Anisic_acid_NEG"	"737_p-Anisic_acid_NEG.RAW"	"Data transformation"	""	"MS2neg.xlsx"	"Metabolite identification"	"MS2neg"	"m_MS2neg_FIAMS2_metid_urine_v2_maf.tsv"
"973_Acetaminophen_glucuronide_NEG"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"75-1000"	"Thermo Scientific LTQ Orbitrap Discovery"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"973_Acetaminophen_glucuronide_NEG"	"973_Acetaminophen_glucuronide_NEG.RAW"	"Data transformation"	""	"MS2neg.xlsx"	"Metabolite identification"	"MS2neg"	"m_MS2neg_FIAMS2_metid_urine_v2_maf.tsv"
"996_Pimelic_acid_NEG"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"75-1000"	"Thermo Scientific LTQ Orbitrap Discovery"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"996_Pimelic_acid_NEG"	"996_Pimelic_acid_NEG.RAW"	"Data transformation"	""	"MS2neg.xlsx"	"Metabolite identification"	"MS2neg"	"m_MS2neg_FIAMS2_metid_urine_v2_maf.tsv"
"1007_2,2-Dimethylglutaric_acid_NEG"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"75-1000"	"Thermo Scientific LTQ Orbitrap Discovery"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"1007_2,2-Dimethylglutaric_acid_NEG"	"1007_2,2-Dimethylglutaric_acid_NEG.RAW"	"Data transformation"	""	"MS2neg.xlsx"	"Metabolite identification"	"MS2neg"	"m_MS2neg_FIAMS2_metid_urine_v2_maf.tsv"
"1008_3,3-Dimethylglutaric_acid_NEG"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"75-1000"	"Thermo Scientific LTQ Orbitrap Discovery"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"1008_3,3-Dimethylglutaric_acid_NEG"	"1008_3,3-Dimethylglutaric_acid_NEG.RAW"	"Data transformation"	""	"MS2neg.xlsx"	"Metabolite identification"	"MS2neg"	"m_MS2neg_FIAMS2_metid_urine_v2_maf.tsv"
"1010_3-Methyladipic_acid_NEG"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"75-1000"	"Thermo Scientific LTQ Orbitrap Discovery"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"1010_3-Methyladipic_acid_NEG"	"1010_3-Methyladipic_acid_NEG.RAW"	"Data transformation"	""	"MS2neg.xlsx"	"Metabolite identification"	"MS2neg"	"m_MS2neg_FIAMS2_metid_urine_v2_maf.tsv"
"1014_1,7-Dimethyluric_acid_NEG"	"Extraction"	""	""	""	"Chromatography"	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"75-1000"	"Thermo Scientific LTQ Orbitrap Discovery"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"1014_1,7-Dimethyluric_acid_NEG"	"1014_1,7-Dimethyluric_acid_NEG.RAW"	"Data transformation"	""	"MS2neg.xlsx"	"Metabolite identification"	"MS2neg"	"m_MS2neg_FIAMS2_metid_urine_v2_maf.tsv"
