"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"K5BB"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC C18 (1.8 µm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	"K5bb_buccia1"	""	""	""	"Mass spectrometry"	"alternating"	"100/700"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"K5bb_buccia1"	"K5bb_buccia1.raw"	"Data transformation"	"none"	""	"Metabolite identification"	""	""
"K5BB"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC C18 (1.8 µm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	"K5bb_buccia2"	""	""	""	"Mass spectrometry"	"alternating"	"100/700"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"K5bb_buccia2"	"K5bb_buccia2.raw"	"Data transformation"	"none"	""	"Metabolite identification"	""	""
"K5BB"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC C18 (1.8 µm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	"K5bb_buccia3"	""	""	""	"Mass spectrometry"	"alternating"	"100/700"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"K5bb_buccia3"	"K5bb_buccia3.raw"	"Data transformation"	"none"	""	"Metabolite identification"	""	""
"Vitis arizonica Texas"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC C18 (1.8 µm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	"VAT_buccia1"	""	""	""	"Mass spectrometry"	"alternating"	"100/700"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"VAT_buccia1"	"VAT_buccia1.raw"	"Data transformation"	"none"	""	"Metabolite identification"	""	""
"Vitis arizonica Texas"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC C18 (1.8 µm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	"VAT_buccia2"	""	""	""	"Mass spectrometry"	"alternating"	"100/700"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"VAT_buccia2"	"VAT_buccia2.raw"	"Data transformation"	"none"	""	"Metabolite identification"	""	""
"Vitis arizonica Texas"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC C18 (1.8 µm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	"VAT_buccia3"	""	""	""	"Mass spectrometry"	"alternating"	"100/700"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"VAT_buccia3"	"VAT_buccia3.raw"	"Data transformation"	"none"	""	"Metabolite identification"	""	""
"Vitis californica"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC C18 (1.8 µm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	"VCA_buccia1"	""	""	""	"Mass spectrometry"	"alternating"	"100/700"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"VCA_buccia1"	"VCA_buccia1.raw"	"Data transformation"	"none"	""	"Metabolite identification"	""	""
"Vitis californica"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC C18 (1.8 µm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	"VCA_buccia2"	""	""	""	"Mass spectrometry"	"alternating"	"100/700"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"VCA_buccia2"	"VCA_buccia2.raw"	"Data transformation"	"none"	""	"Metabolite identification"	""	""
"Vitis californica"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC C18 (1.8 µm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	"VCA_buccia3"	""	""	""	"Mass spectrometry"	"alternating"	"100/700"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"VCA_buccia3"	"VCA_buccia3.raw"	"Data transformation"	"none"	""	"Metabolite identification"	""	""
"Vitis Cinerea"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC C18 (1.8 µm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	"VCI_buccia1"	""	""	""	"Mass spectrometry"	"alternating"	"100/700"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"VCI_buccia1"	"VCI_buccia1.raw"	"Data transformation"	"none"	""	"Metabolite identification"	""	""
"Vitis Cinerea"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC C18 (1.8 µm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	"VCI_buccia2"	""	""	""	"Mass spectrometry"	"alternating"	"100/700"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"VCI_buccia2"	"VCI_buccia2.raw"	"Data transformation"	"none"	""	"Metabolite identification"	""	""
"Vitis Cinerea"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC C18 (1.8 µm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	"VCI_buccia3"	""	""	""	"Mass spectrometry"	"alternating"	"100/700"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"VCI_buccia3"	"VCI_buccia3.raw"	"Data transformation"	"none"	""	"Metabolite identification"	""	""
"41B Maillard"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC C18 (1.8 µm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	"41b_buccia1"	""	""	""	"Mass spectrometry"	"alternating"	"100/700"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"41b_buccia1"	"41b_buccia1.raw"	"Data transformation"	"none"	""	"Metabolite identification"	""	""
"41B Maillard"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC C18 (1.8 µm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	"41b_buccia2"	""	""	""	"Mass spectrometry"	"alternating"	"100/700"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"41b_buccia2"	"41b_buccia2.raw"	"Data transformation"	"none"	""	"Metabolite identification"	""	""
"41B Maillard"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC C18 (1.8 µm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	"41b_buccia3"	""	""	""	"Mass spectrometry"	"alternating"	"100/700"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"41b_buccia3"	"41b_buccia3.raw"	"Data transformation"	"none"	""	"Metabolite identification"	""	""
"Isabella"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC C18 (1.8 µm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	"ISA_buccia1"	""	""	""	"Mass spectrometry"	"alternating"	"100/700"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"ISA_buccia1"	"ISA_buccia1.raw"	"Data transformation"	"none"	""	"Metabolite identification"	""	""
"Isabella"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC C18 (1.8 µm, 2.1 mm x 150 mm; Waters)"	"reverse phase"	"ISA_buccia2"	""	""	""	"Mass spectrometry"	"alternating"	"100/700"	"Waters Xevo TQ"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"ISA_buccia2"	"ISA_buccia2.raw"	"Data transformation"	"none"	""	"Metabolite identification"	""	""
