"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Autosampler model]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"080314_05_1"	"Extraction"	"20 mg/ml methoxyamine in pyridine"	"sylilation"	"080314_05_1"	"Chromatography"	"Thermo Electron TRACE GC"	""	""	"Thermo Electron AS2000 autosampler"	""	""	"Rtx-5MS (0.25 µm, 0.25 mm x 30 m; Restek)"	"low polarity"	"080314_05_1"	""	""	""	"Mass spectrometry"	"positive"	"50-550"	"Thermo Electron PolarisQ"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole ion trap"	"MS"	""	""	"080314_05_1.cdf"	"Data transformation"	""	"080314_05_1.txt"	"Metabolite identification"	""	""
"080314_05_1_run02"	"Extraction"	"20 mg/ml methoxyamine in pyridine"	"sylilation"	"080314_05_1_run02"	"Chromatography"	"Thermo Electron TRACE GC"	""	""	"Thermo Electron AS2000 autosampler"	""	""	"Rtx-5MS (0.25 µm, 0.25 mm x 30 m; Restek)"	"low polarity"	"080314_05_1_run02"	""	""	""	"Mass spectrometry"	"positive"	"50-550"	"Thermo Electron PolarisQ"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole ion trap"	"MS"	""	""	"080314_05_1_run02.cdf"	"Data transformation"	""	"080314_05_1_run02.txt"	"Metabolite identification"	""	""
"080314_05_4"	"Extraction"	"20 mg/ml methoxyamine in pyridine"	"sylilation"	"080314_05_4"	"Chromatography"	"Thermo Electron TRACE GC"	""	""	"Thermo Electron AS2000 autosampler"	""	""	"Rtx-5MS (0.25 µm, 0.25 mm x 30 m; Restek)"	"low polarity"	"080314_05_4"	""	""	""	"Mass spectrometry"	"positive"	"50-550"	"Thermo Electron PolarisQ"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole ion trap"	"MS"	""	""	"080314_05_4.cdf"	"Data transformation"	""	"080314_05_4.txt"	"Metabolite identification"	""	""
"080314_05_4_run02"	"Extraction"	"20 mg/ml methoxyamine in pyridine"	"sylilation"	"080314_05_4_run02"	"Chromatography"	"Thermo Electron TRACE GC"	""	""	"Thermo Electron AS2000 autosampler"	""	""	"Rtx-5MS (0.25 µm, 0.25 mm x 30 m; Restek)"	"low polarity"	"080314_05_4_run02"	""	""	""	"Mass spectrometry"	"positive"	"50-550"	"Thermo Electron PolarisQ"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole ion trap"	"MS"	""	""	"080314_05_4_run02.cdf"	"Data transformation"	""	"080314_05_4_run02.txt"	"Metabolite identification"	""	""
"080314_05_7"	"Extraction"	"20 mg/ml methoxyamine in pyridine"	"sylilation"	"080314_05_7"	"Chromatography"	"Thermo Electron TRACE GC"	""	""	"Thermo Electron AS2000 autosampler"	""	""	"Rtx-5MS (0.25 µm, 0.25 mm x 30 m; Restek)"	"low polarity"	"080314_05_7"	""	""	""	"Mass spectrometry"	"positive"	"50-550"	"Thermo Electron PolarisQ"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole ion trap"	"MS"	""	""	"080314_05_7.cdf"	"Data transformation"	""	"080314_05_7.txt"	"Metabolite identification"	""	""
"080314_05_7_run02"	"Extraction"	"20 mg/ml methoxyamine in pyridine"	"sylilation"	"080314_05_7_run02"	"Chromatography"	"Thermo Electron TRACE GC"	""	""	"Thermo Electron AS2000 autosampler"	""	""	"Rtx-5MS (0.25 µm, 0.25 mm x 30 m; Restek)"	"low polarity"	"080314_05_7_run02"	""	""	""	"Mass spectrometry"	"positive"	"50-550"	"Thermo Electron PolarisQ"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole ion trap"	"MS"	""	""	"080314_05_7_run02.cdf"	"Data transformation"	""	"080314_05_7_run02.txt"	"Metabolite identification"	""	""
"080314_05_10"	"Extraction"	"20 mg/ml methoxyamine in pyridine"	"sylilation"	"080314_05_10"	"Chromatography"	"Thermo Electron TRACE GC"	""	""	"Thermo Electron AS2000 autosampler"	""	""	"Rtx-5MS (0.25 µm, 0.25 mm x 30 m; Restek)"	"low polarity"	"080314_05_10"	""	""	""	"Mass spectrometry"	"positive"	"50-550"	"Thermo Electron PolarisQ"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole ion trap"	"MS"	""	""	"080314_05_10.cdf"	"Data transformation"	""	"080314_05_10.txt"	"Metabolite identification"	""	""
"080314_05_10_run02"	"Extraction"	"20 mg/ml methoxyamine in pyridine"	"sylilation"	"080314_05_10_run02"	"Chromatography"	"Thermo Electron TRACE GC"	""	""	"Thermo Electron AS2000 autosampler"	""	""	"Rtx-5MS (0.25 µm, 0.25 mm x 30 m; Restek)"	"low polarity"	"080314_05_10_run02"	""	""	""	"Mass spectrometry"	"positive"	"50-550"	"Thermo Electron PolarisQ"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole ion trap"	"MS"	""	""	"080314_05_10_run02.cdf"	"Data transformation"	""	"080314_05_10_run02.txt"	"Metabolite identification"	""	""
"080314_05_13"	"Extraction"	"20 mg/ml methoxyamine in pyridine"	"sylilation"	"080314_05_13"	"Chromatography"	"Thermo Electron TRACE GC"	""	""	"Thermo Electron AS2000 autosampler"	""	""	"Rtx-5MS (0.25 µm, 0.25 mm x 30 m; Restek)"	"low polarity"	"080314_05_13"	""	""	""	"Mass spectrometry"	"positive"	"50-550"	"Thermo Electron PolarisQ"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole ion trap"	"MS"	""	""	"080314_05_13.cdf"	"Data transformation"	""	"080314_05_13.txt"	"Metabolite identification"	""	""
"080314_05_13_run02"	"Extraction"	"20 mg/ml methoxyamine in pyridine"	"sylilation"	"080314_05_13_run02"	"Chromatography"	"Thermo Electron TRACE GC"	""	""	"Thermo Electron AS2000 autosampler"	""	""	"Rtx-5MS (0.25 µm, 0.25 mm x 30 m; Restek)"	"low polarity"	"080314_05_13_run02"	""	""	""	"Mass spectrometry"	"positive"	"50-550"	"Thermo Electron PolarisQ"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole ion trap"	"MS"	""	""	"080314_05_13_run02.cdf"	"Data transformation"	""	"080314_05_13_run02.txt"	"Metabolite identification"	""	""
