"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Cultivation Year]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[CO2 Concentration]"	"Unit"	"Term Source REF"	"Term Accession Number"
"080314_05_1"	"Triticum aestivum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4565"	"Triticum aestivum L. cv. Triso"	""	""	"caryopsis"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000208"	"Sample collection"	"080314_05_1"	"2005"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"0.409"	"millilitre per litre"	"UO"	"http://purl.obolibrary.org/obo/UO_0000207"
"080314_05_1_run02"	"Triticum aestivum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4565"	"Triticum aestivum L. cv. Triso"	""	""	"caryopsis"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000208"	"Sample collection"	"080314_05_1_run02"	"2005"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"0.409"	"millilitre per litre"	"UO"	"http://purl.obolibrary.org/obo/UO_0000207"
"080314_05_4"	"Triticum aestivum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4565"	"Triticum aestivum L. cv. Triso"	""	""	"caryopsis"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000208"	"Sample collection"	"080314_05_4"	"2005"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"0.409"	"millilitre per litre"	"UO"	"http://purl.obolibrary.org/obo/UO_0000207"
"080314_05_4_run02"	"Triticum aestivum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4565"	"Triticum aestivum L. cv. Triso"	""	""	"caryopsis"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000208"	"Sample collection"	"080314_05_4_run02"	"2005"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"0.409"	"millilitre per litre"	"UO"	"http://purl.obolibrary.org/obo/UO_0000207"
"080314_05_7"	"Triticum aestivum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4565"	"Triticum aestivum L. cv. Triso"	""	""	"caryopsis"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000208"	"Sample collection"	"080314_05_7"	"2005"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"0.409"	"millilitre per litre"	"UO"	"http://purl.obolibrary.org/obo/UO_0000207"
"080314_05_7_run02"	"Triticum aestivum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4565"	"Triticum aestivum L. cv. Triso"	""	""	"caryopsis"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000208"	"Sample collection"	"080314_05_7_run02"	"2005"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"0.409"	"millilitre per litre"	"UO"	"http://purl.obolibrary.org/obo/UO_0000207"
"080314_05_10"	"Triticum aestivum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4565"	"Triticum aestivum L. cv. Triso"	""	""	"caryopsis"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000208"	"Sample collection"	"080314_05_10"	"2005"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"0.409"	"millilitre per litre"	"UO"	"http://purl.obolibrary.org/obo/UO_0000207"
"080314_05_10_run02"	"Triticum aestivum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4565"	"Triticum aestivum L. cv. Triso"	""	""	"caryopsis"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000208"	"Sample collection"	"080314_05_10_run02"	"2005"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"0.409"	"millilitre per litre"	"UO"	"http://purl.obolibrary.org/obo/UO_0000207"
"080314_05_13"	"Triticum aestivum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4565"	"Triticum aestivum L. cv. Triso"	""	""	"caryopsis"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000208"	"Sample collection"	"080314_05_13"	"2005"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"0.409"	"millilitre per litre"	"UO"	"http://purl.obolibrary.org/obo/UO_0000207"
"080314_05_13_run02"	"Triticum aestivum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4565"	"Triticum aestivum L. cv. Triso"	""	""	"caryopsis"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000208"	"Sample collection"	"080314_05_13_run02"	"2005"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"0.409"	"millilitre per litre"	"UO"	"http://purl.obolibrary.org/obo/UO_0000207"
"080314_05_2"	"Triticum aestivum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4565"	"Triticum aestivum L. cv. Triso"	""	""	"caryopsis"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000208"	"Sample collection"	"080314_05_2"	"2005"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"0.537"	"millilitre per litre"	"UO"	"http://purl.obolibrary.org/obo/UO_0000207"
"080314_05_2_run02"	"Triticum aestivum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4565"	"Triticum aestivum L. cv. Triso"	""	""	"caryopsis"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000208"	"Sample collection"	"080314_05_2_run02"	"2005"	"year"	"UO"	"http://purl.obolibrary.org/obo/UO_0000036"	"0.537"	"millilitre per litre"	"UO"	"http://purl.obolibrary.org/obo/UO_0000207"
