"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Time]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Treatment]"	"Term Source REF"	"Term Accession Number"
"SB"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"Vitis vinifera L. cv. Sauvignon Blanc"	""	""	"Wine"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C66822"	"Sample collection"	"CZ1_10s"	"10"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"Starmerella bacillaris"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1247836"
"SB"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"Vitis vinifera L. cv. Sauvignon Blanc"	""	""	"Wine"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C66822"	"Sample collection"	"CZ2_10s"	"10"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"Starmerella bacillaris"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1247836"
"SB"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"Vitis vinifera L. cv. Sauvignon Blanc"	""	""	"Wine"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C66822"	"Sample collection"	"CZ3_10s"	"10"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"Starmerella bacillaris"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/1247836"
"SB"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"Vitis vinifera L. cv. Sauvignon Blanc"	""	""	"Wine"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C66822"	"Sample collection"	"KA1_10s"	"10"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"Kazachstania gamospora"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/308752"
"SB"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"Vitis vinifera L. cv. Sauvignon Blanc"	""	""	"Wine"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C66822"	"Sample collection"	"KA2_10s"	"10"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"Kazachstania gamospora"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/308752"
"SB"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"Vitis vinifera L. cv. Sauvignon Blanc"	""	""	"Wine"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C66822"	"Sample collection"	"KA3_10s"	"10"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"Kazachstania gamospora"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/308752"
"SB"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"Vitis vinifera L. cv. Sauvignon Blanc"	""	""	"Wine"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C66822"	"Sample collection"	"LT1_10s"	"10"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"Lachancea thermotolerans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/381046"
"SB"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"Vitis vinifera L. cv. Sauvignon Blanc"	""	""	"Wine"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C66822"	"Sample collection"	"LT2_10s"	"10"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"Lachancea thermotolerans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/381046"
"SB"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"Vitis vinifera L. cv. Sauvignon Blanc"	""	""	"Wine"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C66822"	"Sample collection"	"LT3_10s"	"10"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"Lachancea thermotolerans"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/381046"
"SB"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"Vitis vinifera L. cv. Sauvignon Blanc"	""	""	"Wine"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C66822"	"Sample collection"	"MP1_10s"	"10"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"	"Metschnikowia pulcherrima"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/27326"
