"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"
"1-methyl-alpha-Glucopyranoside"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"pure substance"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60003"	"Sample collection"	"1-methyl-alpha-Glucopyranoside"
"2,5 dihydroxy benzoic acid"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"pure substance"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60003"	"Sample collection"	"2,5 dihydroxy benzoic acid"
"2-Amino butyric acid"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"pure substance"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60003"	"Sample collection"	"2-Amino butyric acid"
"2-aminobutanoic acid"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"pure substance"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60003"	"Sample collection"	"2-aminobutanoic acid"
"2-deoxy-galactose"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"pure substance"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60003"	"Sample collection"	"2-deoxy-galactose"
"2-deoxy-glucose"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"pure substance"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60003"	"Sample collection"	"2-deoxy-glucose"
"2-deoxy-ribose"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"pure substance"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60003"	"Sample collection"	"2-deoxy-ribose"
"2OH-butyrate"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"pure substance"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60003"	"Sample collection"	"2OH-butyrate"
"3-Amino butyric acid"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"pure substance"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60003"	"Sample collection"	"3-Amino butyric acid"
"3-aminobutanoic acid"	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	"pure substance"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60003"	"Sample collection"	"3-aminobutanoic acid"
