"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Experimental Group]"	"Term Source REF"	"Term Accession Number"
"Mice Serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"BALB/c"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000602"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"1"	"E1"	""	""
"Mice Serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"BALB/c"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000602"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"2"	"E1"	""	""
"Mice Serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"BALB/c"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000602"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"3"	"E1"	""	""
"Mice Serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"BALB/c"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000602"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"4"	"E1"	""	""
"Mice Serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"BALB/c"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000602"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"5"	"E1"	""	""
"Mice Serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"BALB/c"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000602"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"6"	"E1"	""	""
"Mice Serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"BALB/c"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000602"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"7"	"E2"	""	""
"Mice Serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"BALB/c"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000602"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"8"	"E2"	""	""
"Mice Serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"BALB/c"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000602"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"9"	"E2"	""	""
"Mice Serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"BALB/c"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000602"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"10"	"E2"	""	""
"Mice Serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"BALB/c"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000602"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"11"	"E2"	""	""
"Mice Serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"BALB/c"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000602"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"12"	"E2"	""	""
"Mice Serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"BALB/c"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000602"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"13"	"D2"	""	""
"Mice Serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"BALB/c"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000602"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"14"	"D2"	""	""
"Mice Serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"BALB/c"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000602"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"15"	"D2"	""	""
"Mice Serum"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"BALB/c"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000602"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"16"	"D2"	""	""
