"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"SYL-TSQ-13-06-21_L1cbz"	"Extraction"	"100 µl methanol"	"other"	""	"Chromatography"	"Michrom BioResources Paradigm MS4 HPLC system"	""	""	"Synergi Hydro-RP 80 Å (4 µm, 2 mm x 150 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"50-1000"	"Thermo Scientific TSQ Vantage"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"SYL-TSQ-13-06-21_L1cbz"	"SYL-TSQ-13-06-21_L1cbz.raw"	"Data transformation"	""	"SYL-TSQ-13-06-21_L1cbz.mzXML"	"Metabolite identification"	""	"m_mtbls225_liver_mass_spectrometry_v2_maf.tsv"
"SYL-TSQ-13-06-21_L3cbz"	"Extraction"	"100 µl methanol"	"other"	""	"Chromatography"	"Michrom BioResources Paradigm MS4 HPLC system"	""	""	"Synergi Hydro-RP 80 Å (4 µm, 2 mm x 150 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"50-1000"	"Thermo Scientific TSQ Vantage"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"SYL-TSQ-13-06-21_L3cbz"	"SYL-TSQ-13-06-21_L3cbz.raw"	"Data transformation"	""	"SYL-TSQ-13-06-21_L3cbz.mzXML"	"Metabolite identification"	""	"m_mtbls225_liver_mass_spectrometry_v2_maf.tsv"
"SYL-TSQ-13-06-21_L4cbz"	"Extraction"	"100 µl methanol"	"other"	""	"Chromatography"	"Michrom BioResources Paradigm MS4 HPLC system"	""	""	"Synergi Hydro-RP 80 Å (4 µm, 2 mm x 150 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"50-1000"	"Thermo Scientific TSQ Vantage"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"SYL-TSQ-13-06-21_L4cbz"	"SYL-TSQ-13-06-21_L4cbz.raw"	"Data transformation"	""	"SYL-TSQ-13-06-21_L4cbz.mzXML"	"Metabolite identification"	""	"m_mtbls225_liver_mass_spectrometry_v2_maf.tsv"
"SYL-TSQ-13-06-21_L58cbz"	"Extraction"	"100 µl methanol"	"other"	""	"Chromatography"	"Michrom BioResources Paradigm MS4 HPLC system"	""	""	"Synergi Hydro-RP 80 Å (4 µm, 2 mm x 150 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"50-1000"	"Thermo Scientific TSQ Vantage"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"SYL-TSQ-13-06-21_L58cbz"	"SYL-TSQ-13-06-21_L58cbz.raw"	"Data transformation"	""	"SYL-TSQ-13-06-21_L58cbz.mzXML"	"Metabolite identification"	""	"m_mtbls225_liver_mass_spectrometry_v2_maf.tsv"
"SYL-TSQ-13-06-21_L59cbz"	"Extraction"	"100 µl methanol"	"other"	""	"Chromatography"	"Michrom BioResources Paradigm MS4 HPLC system"	""	""	"Synergi Hydro-RP 80 Å (4 µm, 2 mm x 150 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"50-1000"	"Thermo Scientific TSQ Vantage"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"SYL-TSQ-13-06-21_L59cbz"	"SYL-TSQ-13-06-21_L59cbz.raw"	"Data transformation"	""	"SYL-TSQ-13-06-21_L59cbz.mzXML"	"Metabolite identification"	""	"m_mtbls225_liver_mass_spectrometry_v2_maf.tsv"
"SYL-TSQ-13-06-21_L5cbz"	"Extraction"	"100 µl methanol"	"other"	""	"Chromatography"	"Michrom BioResources Paradigm MS4 HPLC system"	""	""	"Synergi Hydro-RP 80 Å (4 µm, 2 mm x 150 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"50-1000"	"Thermo Scientific TSQ Vantage"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"SYL-TSQ-13-06-21_L5cbz"	"SYL-TSQ-13-06-21_L5cbz.raw"	"Data transformation"	""	"SYL-TSQ-13-06-21_L5cbz.mzXML"	"Metabolite identification"	""	"m_mtbls225_liver_mass_spectrometry_v2_maf.tsv"
"SYL-TSQ-13-06-21_L60cbz"	"Extraction"	"100 µl methanol"	"other"	""	"Chromatography"	"Michrom BioResources Paradigm MS4 HPLC system"	""	""	"Synergi Hydro-RP 80 Å (4 µm, 2 mm x 150 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"50-1000"	"Thermo Scientific TSQ Vantage"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"SYL-TSQ-13-06-21_L60cbz"	"SYL-TSQ-13-06-21_L60cbz.raw"	"Data transformation"	""	"SYL-TSQ-13-06-21_L60cbz.mzXML"	"Metabolite identification"	""	"m_mtbls225_liver_mass_spectrometry_v2_maf.tsv"
"SYL-TSQ-13-06-21_L62cbz"	"Extraction"	"100 µl methanol"	"other"	""	"Chromatography"	"Michrom BioResources Paradigm MS4 HPLC system"	""	""	"Synergi Hydro-RP 80 Å (4 µm, 2 mm x 150 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"50-1000"	"Thermo Scientific TSQ Vantage"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"SYL-TSQ-13-06-21_L62cbz"	"SYL-TSQ-13-06-21_L62cbz.raw"	"Data transformation"	""	"SYL-TSQ-13-06-21_L62cbz.mzXML"	"Metabolite identification"	""	"m_mtbls225_liver_mass_spectrometry_v2_maf.tsv"
"SYL-TSQ-13-06-21_L63cbz"	"Extraction"	"100 µl methanol"	"other"	""	"Chromatography"	"Michrom BioResources Paradigm MS4 HPLC system"	""	""	"Synergi Hydro-RP 80 Å (4 µm, 2 mm x 150 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"50-1000"	"Thermo Scientific TSQ Vantage"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"SYL-TSQ-13-06-21_L63cbz"	"SYL-TSQ-13-06-21_L63cbz.raw"	"Data transformation"	""	"SYL-TSQ-13-06-21_L63cbz.mzXML"	"Metabolite identification"	""	"m_mtbls225_liver_mass_spectrometry_v2_maf.tsv"
"SYL-TSQ-13-06-21_L65cbz"	"Extraction"	"100 µl methanol"	"other"	""	"Chromatography"	"Michrom BioResources Paradigm MS4 HPLC system"	""	""	"Synergi Hydro-RP 80 Å (4 µm, 2 mm x 150 mm; Phenomenex)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"50-1000"	"Thermo Scientific TSQ Vantage"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"SYL-TSQ-13-06-21_L65cbz"	"SYL-TSQ-13-06-21_L65cbz.raw"	"Data transformation"	""	"SYL-TSQ-13-06-21_L65cbz.mzXML"	"Metabolite identification"	""	"m_mtbls225_liver_mass_spectrometry_v2_maf.tsv"
