"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Dose]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Treatment]"	"Term Source REF"	"Term Accession Number"
"1"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	""	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"SYL-TSQ-13-06-21_L1"	"0"	"microgram per kilogram"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002899"	"1"	""	""	"Sesame Oil"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C66537"
"3"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	""	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"SYL-TSQ-13-06-21_L3"	"0"	"microgram per kilogram"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002899"	"2"	""	""	"Sesame Oil"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C66537"
"4"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	""	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"SYL-TSQ-13-06-21_L4"	"0"	"microgram per kilogram"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002899"	"3"	""	""	"Sesame Oil"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C66537"
"5"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	""	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"SYL-TSQ-13-06-21_L5"	"0"	"microgram per kilogram"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002899"	"4"	""	""	"Sesame Oil"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C66537"
"58"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	""	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"SYL-TSQ-13-06-21_L58"	"0"	"microgram per kilogram"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002899"	"5"	""	""	"Sesame Oil"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C66537"
"59"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	""	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"SYL-TSQ-13-06-21_L59"	"3"	"microgram per kilogram"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002899"	"1"	""	""	"Tetrachlorodibenzodioxin"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C864"
"60"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	""	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"SYL-TSQ-13-06-21_L60"	"3"	"microgram per kilogram"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002899"	"2"	""	""	"Tetrachlorodibenzodioxin"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C864"
"62"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	""	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"SYL-TSQ-13-06-21_L62"	"3"	"microgram per kilogram"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002899"	"3"	""	""	"Tetrachlorodibenzodioxin"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C864"
"63"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	""	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"SYL-TSQ-13-06-21_L63"	"3"	"microgram per kilogram"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002899"	"4"	""	""	"Tetrachlorodibenzodioxin"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C864"
"65"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/6"	"EFO"	""	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"SYL-TSQ-13-06-21_L65"	"3"	"microgram per kilogram"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002899"	"5"	""	""	"Tetrachlorodibenzodioxin"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C864"
