"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"	"Factor Value[Biol. Replicate]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Tech. replicate]"	"Term Source REF"	"Term Accession Number"
"C10"	"Extraction"	"water milli-Q"	"other"	""	"Chromatography"	""	""	""	""	""	"C10_1_#1_B11_A_norecryst"	"ethyl esterification"	""	""	"Mass spectrometry"	"positive"	"1000-5000"	"Bruker ultrafleXtreme"	""	""	"matrix-assisted laser desorption ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"RP_1mgsDHB_plus5mgsDHB_0_B11_1"	"RP_1mgsDHB_plus5mgsDHB_0_B11_1.xy"	"Data transformation"	"SampleMatching_N-glycanProfiling_CRC.xlsx"	""	"Metabolite identification"	""	"m_Assay1-Profiling_v2_maf.tsv"	"1"	""	""	"1A"	""	""
"C10"	"Extraction"	"water milli-Q"	"other"	""	"Chromatography"	""	""	""	""	""	"C10_1_#2_B12_A_norecryst"	"ethyl esterification"	""	""	"Mass spectrometry"	"positive"	"1000-5000"	"Bruker ultrafleXtreme"	""	""	"matrix-assisted laser desorption ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"RP_1mgsDHB_plus5mgsDHB_0_B12_1"	"RP_1mgsDHB_plus5mgsDHB_0_B12_1.xy"	"Data transformation"	"SampleMatching_N-glycanProfiling_CRC.xlsx"	""	"Metabolite identification"	""	"m_Assay1-Profiling_v2_maf.tsv"	"1"	""	""	"2A"	""	""
"C10"	"Extraction"	"water milli-Q"	"other"	""	"Chromatography"	""	""	""	""	""	"C10_1_#3_O13_A_recryst"	"ethyl esterification"	""	""	"Mass spectrometry"	"positive"	"1000-5000"	"Bruker ultrafleXtreme"	""	""	"matrix-assisted laser desorption ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"RP_CRCcellLlineScreening_dupl3and4_80lp_recryst_0_O13_1"	"RP_CRCcellLlineScreening_dupl3and4_80lp_recryst_0_O13_1.xy"	"Data transformation"	"SampleMatching_N-glycanProfiling_CRC.xlsx"	""	"Metabolite identification"	""	"m_Assay1-Profiling_v2_maf.tsv"	"1"	""	""	"3A"	""	""
"C10"	"Extraction"	"water milli-Q"	"other"	""	"Chromatography"	""	""	""	""	""	"C10_1_#4_J12_A_norecryst"	"ethyl esterification"	""	""	"Mass spectrometry"	"positive"	"1000-5000"	"Bruker ultrafleXtreme"	""	""	"matrix-assisted laser desorption ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"RP_CRCcellLlineScreening_dupl3and4_80lp_0_J12_1"	"RP_CRCcellLlineScreening_dupl3and4_80lp_0_J12_1.xy"	"Data transformation"	"SampleMatching_N-glycanProfiling_CRC.xlsx"	""	"Metabolite identification"	""	"m_Assay1-Profiling_v2_maf.tsv"	"1"	""	""	"4A"	""	""
"C10"	"Extraction"	"water milli-Q"	"other"	""	"Chromatography"	""	""	""	""	""	"C10_2_#1_C15_A_norecryst"	"ethyl esterification"	""	""	"Mass spectrometry"	"positive"	"1000-5000"	"Bruker ultrafleXtreme"	""	""	"matrix-assisted laser desorption ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"RP_1mgsDHB_plus5mgsDHB_0_C15_1"	"RP_1mgsDHB_plus5mgsDHB_0_C15_1.xy"	"Data transformation"	"SampleMatching_N-glycanProfiling_CRC.xlsx"	""	"Metabolite identification"	""	"m_Assay1-Profiling_v2_maf.tsv"	"2"	""	""	"1A"	""	""
"C10"	"Extraction"	"water milli-Q"	"other"	""	"Chromatography"	""	""	""	""	""	"C10_2_#1_K15_B_recryst"	"ethyl esterification"	""	""	"Mass spectrometry"	"positive"	"1000-5000"	"Bruker ultrafleXtreme"	""	""	"matrix-assisted laser desorption ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"RP_C10_2_dupl1u2_80lp_0_K15_1"	"RP_C10_2_dupl1u2_80lp_0_K15_1.xy"	"Data transformation"	"SampleMatching_N-glycanProfiling_CRC.xlsx"	""	"Metabolite identification"	""	"m_Assay1-Profiling_v2_maf.tsv"	"2"	""	""	"1B"	""	""
"C10"	"Extraction"	"water milli-Q"	"other"	""	"Chromatography"	""	""	""	""	""	"C10_2_#2_C16_A_norecryst"	"ethyl esterification"	""	""	"Mass spectrometry"	"positive"	"1000-5000"	"Bruker ultrafleXtreme"	""	""	"matrix-assisted laser desorption ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"RP_1mgsDHB_plus5mgsDHB_0_C16_1"	"RP_1mgsDHB_plus5mgsDHB_0_C16_1.xy"	"Data transformation"	"SampleMatching_N-glycanProfiling_CRC.xlsx"	""	"Metabolite identification"	""	"m_Assay1-Profiling_v2_maf.tsv"	"2"	""	""	"2A"	""	""
"C10"	"Extraction"	"water milli-Q"	"other"	""	"Chromatography"	""	""	""	""	""	"C10_2_#3_N9_A_norecryst"	"ethyl esterification"	""	""	"Mass spectrometry"	"positive"	"1000-5000"	"Bruker ultrafleXtreme"	""	""	"matrix-assisted laser desorption ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"RP_CRCcellLlineScreening_dupl3and4_80lp_0_N9_1"	"RP_CRCcellLlineScreening_dupl3and4_80lp_0_N9_1.xy"	"Data transformation"	"SampleMatching_N-glycanProfiling_CRC.xlsx"	""	"Metabolite identification"	""	"m_Assay1-Profiling_v2_maf.tsv"	"2"	""	""	"3A"	""	""
"C10"	"Extraction"	"water milli-Q"	"other"	""	"Chromatography"	""	""	""	""	""	"C10_2_#4_K16_A_norecryst"	"ethyl esterification"	""	""	"Mass spectrometry"	"positive"	"1000-5000"	"Bruker ultrafleXtreme"	""	""	"matrix-assisted laser desorption ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"RP_CRCcellLlineScreening_dupl3and4_80lp_0_K16_1"	"RP_CRCcellLlineScreening_dupl3and4_80lp_0_K16_1.xy"	"Data transformation"	"SampleMatching_N-glycanProfiling_CRC.xlsx"	""	"Metabolite identification"	""	"m_Assay1-Profiling_v2_maf.tsv"	"2"	""	""	"4A"	""	""
"C10"	"Extraction"	"water milli-Q"	"other"	""	"Chromatography"	""	""	""	""	""	"C10_4_#1_H3_A_norecrst"	"ethyl esterification"	""	""	"Mass spectrometry"	"positive"	"1000-5000"	"Bruker ultrafleXtreme"	""	""	"matrix-assisted laser desorption ionization"	"MS"	""	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"Dupl1and2_rowH_0_H3_1"	"Dupl1and2_rowH_0_H3_1.xy"	"Data transformation"	"SampleMatching_N-glycanProfiling_CRC.xlsx"	""	"Metabolite identification"	""	"m_Assay1-Profiling_v2_maf.tsv"	"1b"	""	""	"1A"	""	""
