"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Sample type]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Tumour site]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Stage]"	"Term Source REF"	"Term Accession Number"	"Factor Value[CDX1/Villin]"	"Term Source REF"	"Term Accession Number"
"C10"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"C-10 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0004532"	"Sample collection"	"C10"	"colorectal cancer cell line"	""	""	"Primary"	""	""	"2"	""	""	"-"	""	""
"CaCo2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"CACO-2 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000195"	"Sample collection"	"CaCo2"	"colorectal cancer cell line"	""	""	"Primary"	""	""	"2"	""	""	"+"	""	""
"Co115"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Co-115 cell"	""	""	"Sample collection"	"Co115"	"colorectal cancer cell line"	""	""	"Primary"	""	""	"3"	""	""	"-"	""	""
"Colo205_VUmc"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Colo-205 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000179"	"Sample collection"	"Colo205_VUmc"	"colorectal cancer cell line"	""	""	"ascitic fluid (metastatic site)"	""	""	"4"	""	""	"+"	""	""
"Colo320_VUmc"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Colo-320 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002047"	"Sample collection"	"Colo320_VUmc"	"colorectal cancer cell line"	""	""	"Primary"	""	""	"3"	""	""	"---"	""	""
"DLD-1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"DLD-1 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000391"	"Sample collection"	"DLD-1"	"colorectal cancer cell line"	""	""	"Primary"	""	""	"3"	""	""	"-"	""	""
"HCT116"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"HCT-116 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001109"	"Sample collection"	"HCT116"	"colorectal cancer cell line"	""	""	"Primary"	""	""	"4"	""	""	"-"	""	""
"HCT116_VUmc"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"HCT-116 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001109"	"Sample collection"	"HCT116_VUmc"	"colorectal cancer cell line"	""	""	"Primary"	""	""	"4"	""	""	"-"	""	""
"HCT15_VUmc"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"HCT-15 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002201"	"Sample collection"	"HCT15_VUmc"	"colorectal cancer cell line"	""	""	"Primary"	""	""	"3"	""	""	"+"	""	""
"HCT8"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"HCT-8 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002255"	"Sample collection"	"HCT8"	"colorectal cancer cell line"	""	""	"n/a"	""	""	"3"	""	""	"+"	""	""
