"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"20131126_024_JM_BM_exp12-10-18_S1_0s"	"Extraction"	"sample diluted 1:20 with solvent A"	"none"	"20131126_024_JM_BM_exp12-10-18_S1_0s"	"Chromatography"	"Eksigent NanoLC-Ultra 2D system"	""	""	"Reprosil-Gold 120 C18 (3 µm, 0.1 mm x 100 mm; Dr. Maisch)"	"reverse phase"	""	"Carbon 13"	"SNOMEDCT"	"http://purl.bioontology.org/ontology/SNOMEDCT/312265002"	"Mass spectrometry"	"negative"	"150-850"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"20131126_024_JM_BM_exp12-10-18_S1_0s"	"20131126_024_JM_BM_exp12-10-18_S1_0s.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_dli_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"20131126_026_JM_BM_exp12-10-18_S2_5s"	"Extraction"	"sample diluted 1:20 with solvent A"	"none"	"20131126_026_JM_BM_exp12-10-18_S2_5s"	"Chromatography"	"Eksigent NanoLC-Ultra 2D system"	""	""	"Reprosil-Gold 120 C18 (3 µm, 0.1 mm x 100 mm; Dr. Maisch)"	"reverse phase"	""	"Carbon 13"	"SNOMEDCT"	"http://purl.bioontology.org/ontology/SNOMEDCT/312265002"	"Mass spectrometry"	"negative"	"150-850"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"20131126_026_JM_BM_exp12-10-18_S2_5s"	"20131126_026_JM_BM_exp12-10-18_S2_5s.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_dli_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"20131126_028_JM_BM_exp12-10-18_S3_10s"	"Extraction"	"sample diluted 1:20 with solvent A"	"none"	"20131126_028_JM_BM_exp12-10-18_S3_10s"	"Chromatography"	"Eksigent NanoLC-Ultra 2D system"	""	""	"Reprosil-Gold 120 C18 (3 µm, 0.1 mm x 100 mm; Dr. Maisch)"	"reverse phase"	""	"Carbon 13"	"SNOMEDCT"	"http://purl.bioontology.org/ontology/SNOMEDCT/312265002"	"Mass spectrometry"	"negative"	"150-850"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"20131126_028_JM_BM_exp12-10-18_S3_10s"	"20131126_028_JM_BM_exp12-10-18_S3_10s.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_dli_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"20131126_030_JM_BM_exp12-10-18_S4_20s"	"Extraction"	"sample diluted 1:20 with solvent A"	"none"	"20131126_030_JM_BM_exp12-10-18_S4_20s"	"Chromatography"	"Eksigent NanoLC-Ultra 2D system"	""	""	"Reprosil-Gold 120 C18 (3 µm, 0.1 mm x 100 mm; Dr. Maisch)"	"reverse phase"	""	"Carbon 13"	"SNOMEDCT"	"http://purl.bioontology.org/ontology/SNOMEDCT/312265002"	"Mass spectrometry"	"negative"	"150-850"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"20131126_030_JM_BM_exp12-10-18_S4_20s"	"20131126_030_JM_BM_exp12-10-18_S4_20s.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_dli_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"20131126_032_JM_BM_exp12-10-18_S5_30s"	"Extraction"	"sample diluted 1:20 with solvent A"	"none"	"20131126_032_JM_BM_exp12-10-18_S5_30s"	"Chromatography"	"Eksigent NanoLC-Ultra 2D system"	""	""	"Reprosil-Gold 120 C18 (3 µm, 0.1 mm x 100 mm; Dr. Maisch)"	"reverse phase"	""	"Carbon 13"	"SNOMEDCT"	"http://purl.bioontology.org/ontology/SNOMEDCT/312265002"	"Mass spectrometry"	"negative"	"150-850"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"20131126_032_JM_BM_exp12-10-18_S5_30s"	"20131126_032_JM_BM_exp12-10-18_S5_30s.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_dli_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"20131126_034_JM_BM_exp12-10-18_S6_60s"	"Extraction"	"sample diluted 1:20 with solvent A"	"none"	"20131126_034_JM_BM_exp12-10-18_S6_60s"	"Chromatography"	"Eksigent NanoLC-Ultra 2D system"	""	""	"Reprosil-Gold 120 C18 (3 µm, 0.1 mm x 100 mm; Dr. Maisch)"	"reverse phase"	""	"Carbon 13"	"SNOMEDCT"	"http://purl.bioontology.org/ontology/SNOMEDCT/312265002"	"Mass spectrometry"	"negative"	"150-850"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"20131126_034_JM_BM_exp12-10-18_S6_60s"	"20131126_034_JM_BM_exp12-10-18_S6_60s.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_dli_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"20131126_036_JM_BM_exp12-10-18_S7_120s"	"Extraction"	"sample diluted 1:20 with solvent A"	"none"	"20131126_036_JM_BM_exp12-10-18_S7_120s"	"Chromatography"	"Eksigent NanoLC-Ultra 2D system"	""	""	"Reprosil-Gold 120 C18 (3 µm, 0.1 mm x 100 mm; Dr. Maisch)"	"reverse phase"	""	"Carbon 13"	"SNOMEDCT"	"http://purl.bioontology.org/ontology/SNOMEDCT/312265002"	"Mass spectrometry"	"negative"	"150-850"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"20131126_036_JM_BM_exp12-10-18_S7_120s"	"20131126_036_JM_BM_exp12-10-18_S7_120s.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_dli_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"20131126_038_JM_BM_exp12-10-18_S8_300s"	"Extraction"	"sample diluted 1:20 with solvent A"	"none"	"20131126_038_JM_BM_exp12-10-18_S8_300s"	"Chromatography"	"Eksigent NanoLC-Ultra 2D system"	""	""	"Reprosil-Gold 120 C18 (3 µm, 0.1 mm x 100 mm; Dr. Maisch)"	"reverse phase"	""	"Carbon 13"	"SNOMEDCT"	"http://purl.bioontology.org/ontology/SNOMEDCT/312265002"	"Mass spectrometry"	"negative"	"150-850"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"20131126_038_JM_BM_exp12-10-18_S8_300s"	"20131126_038_JM_BM_exp12-10-18_S8_300s.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_dli_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"20131126_040_JM_BM_exp12-10-18_S9_600s"	"Extraction"	"sample diluted 1:20 with solvent A"	"none"	"20131126_040_JM_BM_exp12-10-18_S9_600s"	"Chromatography"	"Eksigent NanoLC-Ultra 2D system"	""	""	"Reprosil-Gold 120 C18 (3 µm, 0.1 mm x 100 mm; Dr. Maisch)"	"reverse phase"	""	"Carbon 13"	"SNOMEDCT"	"http://purl.bioontology.org/ontology/SNOMEDCT/312265002"	"Mass spectrometry"	"negative"	"150-850"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"20131126_040_JM_BM_exp12-10-18_S9_600s"	"20131126_040_JM_BM_exp12-10-18_S9_600s.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_dli_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"20131204_072_JM_BM_internal_standard"	"Extraction"	"sample diluted 1:20 with solvent A"	"none"	"20131204_072_JM_BM_internal_standard"	"Chromatography"	"Eksigent NanoLC-Ultra 2D system"	""	""	"Reprosil-Gold 120 C18 (3 µm, 0.1 mm x 100 mm; Dr. Maisch)"	"reverse phase"	""	"Carbon 13"	"SNOMEDCT"	"http://purl.bioontology.org/ontology/SNOMEDCT/312265002"	"Mass spectrometry"	"negative"	"150-850"	"Thermo Scientific LTQ Orbitrap XL"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"orbitrap"	"MS"	""	"20131204_072_JM_BM_internal_standard"	"20131204_072_JM_BM_internal_standard.mzML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_dli_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
