"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[incubation time]"	"Unit"	"Term Source REF"	"Term Accession Number"
"20150813_092_JH_EC_exp15-07-29_fast_label_nLC_LTQ_s1_0sec"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"whole organism"	"EFO"	""	"Sample collection"	"20150813_092_JH_EC_exp15-07-29_fast_label_nLC_LTQ_s1_0sec"	"0"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"
"20150813_094_JH_EC_exp15-07-29_fast_label_nLC_LTQ_s2_1sec"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"whole organism"	"EFO"	""	"Sample collection"	"20150813_094_JH_EC_exp15-07-29_fast_label_nLC_LTQ_s2_1sec"	"1"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"
"20150813_096_JH_EC_exp15-07-29_fast_label_nLC_LTQ_s4_3sec"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"whole organism"	"EFO"	""	"Sample collection"	"20150813_096_JH_EC_exp15-07-29_fast_label_nLC_LTQ_s4_3sec"	"3"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"
"20150813_098_JH_EC_exp15-07-29_fast_label_nLC_LTQ_s5_6sec"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"whole organism"	"EFO"	""	"Sample collection"	"20150813_098_JH_EC_exp15-07-29_fast_label_nLC_LTQ_s5_6sec"	"6"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"
"20150813_100_JH_EC_exp15-07-29_fast_label_nLC_LTQ_s6_11sec"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"whole organism"	"EFO"	""	"Sample collection"	"20150813_100_JH_EC_exp15-07-29_fast_label_nLC_LTQ_s6_11sec"	"11"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"
"20150813_102_JH_EC_exp15-07-29_fast_label_nLC_LTQ_s7_16sec"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"whole organism"	"EFO"	""	"Sample collection"	"20150813_102_JH_EC_exp15-07-29_fast_label_nLC_LTQ_s7_16sec"	"16"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"
"20150813_104_JH_EC_exp15-07-29_fast_label_nLC_LTQ_s8_20sec"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"whole organism"	"EFO"	""	"Sample collection"	"20150813_104_JH_EC_exp15-07-29_fast_label_nLC_LTQ_s8_20sec"	"20"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"
"20150813_106_JH_EC_exp15-07-29_fast_label_nLC_LTQ_s9_30sec"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"whole organism"	"EFO"	""	"Sample collection"	"20150813_106_JH_EC_exp15-07-29_fast_label_nLC_LTQ_s9_30sec"	"30"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"
"20150813_109_JH_EC_exp15-07-29_fast_label_nLC_LTQ_s10_40sec"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"whole organism"	"EFO"	""	"Sample collection"	"20150813_109_JH_EC_exp15-07-29_fast_label_nLC_LTQ_s10_40sec"	"40"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"
"20150813_111_JH_EC_exp15-07-29_fast_label_nLC_LTQ_s11_60sec"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"whole organism"	"EFO"	""	"Sample collection"	"20150813_111_JH_EC_exp15-07-29_fast_label_nLC_LTQ_s11_60sec"	"60"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"
"20150813_113_JH_EC_exp15-07-29_fast_label_nLC_LTQ_s12_90sec"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"whole organism"	"EFO"	""	"Sample collection"	"20150813_113_JH_EC_exp15-07-29_fast_label_nLC_LTQ_s12_90sec"	"90"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"
"20150813_115_JH_EC_exp15-07-29_fast_label_nLC_LTQ_s13_120sec"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"whole organism"	"EFO"	""	"Sample collection"	"20150813_115_JH_EC_exp15-07-29_fast_label_nLC_LTQ_s13_120sec"	"120"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"
"20150813_117_JH_EC_exp15-07-29_fast_label_nLC_LTQ_s14_160sec"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"whole organism"	"EFO"	""	"Sample collection"	"20150813_117_JH_EC_exp15-07-29_fast_label_nLC_LTQ_s14_160sec"	"160"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"
"20150813_119_JH_EC_exp15-07-29_fast_label_nLC_LTQ_s15_200sec"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"whole organism"	"EFO"	""	"Sample collection"	"20150813_119_JH_EC_exp15-07-29_fast_label_nLC_LTQ_s15_200sec"	"200"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"
"20150813_121_JH_EC_exp15-07-29_fast_label_nLC_LTQ_s16_270sec"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"whole organism"	"EFO"	""	"Sample collection"	"20150813_121_JH_EC_exp15-07-29_fast_label_nLC_LTQ_s16_270sec"	"270"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"
"20150813_123_JH_EC_exp15-07-29_fast_label_nLC_LTQ_s17_300sec"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"whole organism"	"EFO"	""	"Sample collection"	"20150813_123_JH_EC_exp15-07-29_fast_label_nLC_LTQ_s17_300sec"	"300"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"
"20150813_125_JH_EC_exp15-07-29_fast_label_nLC_LTQ_s18_400sec"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"whole organism"	"EFO"	""	"Sample collection"	"20150813_125_JH_EC_exp15-07-29_fast_label_nLC_LTQ_s18_400sec"	"400"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"
"20150813_127_JH_EC_exp15-07-29_fast_label_nLC_LTQ_s19_500sec"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"whole organism"	"EFO"	""	"Sample collection"	"20150813_127_JH_EC_exp15-07-29_fast_label_nLC_LTQ_s19_500sec"	"500"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"
"20150813_129_JH_EC_exp15-07-29_fast_label_nLC_LTQ_s20_600sec"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"whole organism"	"EFO"	""	"Sample collection"	"20150813_129_JH_EC_exp15-07-29_fast_label_nLC_LTQ_s20_600sec"	"600"	"second"	"UO"	"http://purl.obolibrary.org/obo/UO_0000010"
