"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Treatment]"	"Term Source REF"	"Term Accession Number"
"ATTC"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"RAW-264.7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003292"	"Sample collection"	"SBEP_Metab_Control1_A"	"Control"	""	""
"ATTC"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"RAW-264.7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003292"	"Sample collection"	"SBEP_Metab_Control1_B"	"Control"	""	""
"ATTC"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"RAW-264.7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003292"	"Sample collection"	"SBEP_Metab_Control2_A"	"Control"	""	""
"ATTC"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"RAW-264.7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003292"	"Sample collection"	"SBEP_Metab_Control2_B"	"Control"	""	""
"ATTC"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"RAW-264.7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003292"	"Sample collection"	"SBEP_Metab_Control3_A"	"Control"	""	""
"ATTC"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"RAW-264.7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003292"	"Sample collection"	"SBEP_Metab_Control3_B"	"Control"	""	""
"ATTC"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"RAW-264.7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003292"	"Sample collection"	"SBEP_Metab_LPSactivated1_A"	"Lipopolysaccharide stimulated"	""	""
"ATTC"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"RAW-264.7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003292"	"Sample collection"	"SBEP_Metab_LPSactivated1_B"	"Lipopolysaccharide stimulated"	""	""
"ATTC"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"RAW-264.7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003292"	"Sample collection"	"SBEP_Metab_LPSactivated2_A"	"Lipopolysaccharide stimulated"	""	""
"ATTC"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"RAW-264.7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003292"	"Sample collection"	"SBEP_Metab_LPSactivated2_B"	"Lipopolysaccharide stimulated"	""	""
"ATTC"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"RAW-264.7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003292"	"Sample collection"	"SBEP_Metab_LPSactivated3_A"	"Lipopolysaccharide stimulated"	""	""
"ATTC"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"RAW-264.7 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003292"	"Sample collection"	"SBEP_Metab_LPSactivated3_B"	"Lipopolysaccharide stimulated"	""	""
