"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"
"RPEC/TERT1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"renal tubule"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000343"	"Sample collection"	"C01.R1"
"RPEC/TERT1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"renal tubule"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000343"	"Sample collection"	"C03.R1"
"RPEC/TERT1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"renal tubule"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000343"	"Sample collection"	"C14.R1"
"RPEC/TERT1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"renal tubule"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000343"	"Sample collection"	"L01.R1"
"RPEC/TERT1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"renal tubule"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000343"	"Sample collection"	"L03.R1"
"RPEC/TERT1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"renal tubule"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000343"	"Sample collection"	"L14.R1"
"RPEC/TERT1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"renal tubule"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000343"	"Sample collection"	"H01.R1"
"RPEC/TERT1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"renal tubule"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000343"	"Sample collection"	"H03.R1"
"RPEC/TERT1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"renal tubule"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000343"	"Sample collection"	"H14.R1"
"RPEC/TERT1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"renal tubule"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000343"	"Sample collection"	"C01.R2"
"RPEC/TERT1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"renal tubule"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000343"	"Sample collection"	"C03.R2"
"RPEC/TERT1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"renal tubule"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000343"	"Sample collection"	"C14.R2"
"RPEC/TERT1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"renal tubule"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000343"	"Sample collection"	"L01.R2"
"RPEC/TERT1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"renal tubule"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000343"	"Sample collection"	"L03.R2"
"RPEC/TERT1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"renal tubule"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000343"	"Sample collection"	"L14.R2"
"RPEC/TERT1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"renal tubule"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000343"	"Sample collection"	"H01.R2"
"RPEC/TERT1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"renal tubule"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000343"	"Sample collection"	"H03.R2"
"RPEC/TERT1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"renal tubule"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000343"	"Sample collection"	"H14.R2"
"RPEC/TERT1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"renal tubule"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000343"	"Sample collection"	"C01.R3"
"RPEC/TERT1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"renal tubule"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000343"	"Sample collection"	"C03.R3"
"RPEC/TERT1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"renal tubule"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000343"	"Sample collection"	"C14.R3"
