"Sample Name"	"Protocol REF"	"Parameter Value[Extraction Method]"	"Extract Name"	"Protocol REF"	"Parameter Value[NMR tube type]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Solvent]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Sample pH]"	"Parameter Value[Temperature]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[NMR Probe]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Number of transients]"	"Parameter Value[Pulse sequence name]"	"Parameter Value[Magnetic field strength]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Acquisition Parameter Data File"	"Protocol REF"	"NMR Assay Name"	"Free Induction Decay Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"Ct_1_1D"	"Extraction"	""	""	"NMR sample"	"5 mm standard"	""	""	"0.06 M phosphate buffered D2O"	""	""	"7.0"	"298"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker 500 MHz spectrometer"	""	""	"5 mm CPTXI 1H-13C/15N/D Z-GRD"	""	""	"128"	"1D 1H with presaturation (presat)"	"11.7"	"tesla"	"UO"	""	""	"NMR assay"	"17"	"17.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_maslinic_acid_cancer_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"Ct_1_2D"	"Extraction"	""	""	"NMR sample"	"5 mm standard"	""	""	"0.06 M phosphate buffered D2O"	""	""	"7.0"	"298"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker 500 MHz spectrometer"	""	""	"5 mm CPTXI 1H-13C/15N/D Z-GRD"	""	""	"128"	"1D 1H with presaturation (presat)"	"11.7"	"tesla"	"UO"	""	""	"NMR assay"	"18"	"18.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_maslinic_acid_cancer_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"Ct_2_1D"	"Extraction"	""	""	"NMR sample"	"5 mm standard"	""	""	"0.06 M phosphate buffered D2O"	""	""	"7.0"	"298"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker 500 MHz spectrometer"	""	""	"5 mm CPTXI 1H-13C/15N/D Z-GRD"	""	""	"128"	"1D 1H with presaturation (presat)"	"11.7"	"tesla"	"UO"	""	""	"NMR assay"	"25"	"25.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_maslinic_acid_cancer_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"Ct_2_2D"	"Extraction"	""	""	"NMR sample"	"5 mm standard"	""	""	"0.06 M phosphate buffered D2O"	""	""	"7.0"	"298"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker 500 MHz spectrometer"	""	""	"5 mm CPTXI 1H-13C/15N/D Z-GRD"	""	""	"128"	"1D 1H with presaturation (presat)"	"11.7"	"tesla"	"UO"	""	""	"NMR assay"	"26"	"26.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_maslinic_acid_cancer_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"Ct_3_1D"	"Extraction"	""	""	"NMR sample"	"5 mm standard"	""	""	"0.06 M phosphate buffered D2O"	""	""	"7.0"	"298"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker 500 MHz spectrometer"	""	""	"5 mm CPTXI 1H-13C/15N/D Z-GRD"	""	""	"128"	"1D 1H with presaturation (presat)"	"11.7"	"tesla"	"UO"	""	""	"NMR assay"	"5"	"5.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_maslinic_acid_cancer_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"Ct_3_2D"	"Extraction"	""	""	"NMR sample"	"5 mm standard"	""	""	"0.06 M phosphate buffered D2O"	""	""	"7.0"	"298"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker 500 MHz spectrometer"	""	""	"5 mm CPTXI 1H-13C/15N/D Z-GRD"	""	""	"128"	"1D 1H with presaturation (presat)"	"11.7"	"tesla"	"UO"	""	""	"NMR assay"	"6"	"6.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_maslinic_acid_cancer_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"Ct_4_1D"	"Extraction"	""	""	"NMR sample"	"5 mm standard"	""	""	"0.06 M phosphate buffered D2O"	""	""	"7.0"	"298"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker 500 MHz spectrometer"	""	""	"5 mm CPTXI 1H-13C/15N/D Z-GRD"	""	""	"128"	"1D 1H with presaturation (presat)"	"11.7"	"tesla"	"UO"	""	""	"NMR assay"	"29"	"29.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_maslinic_acid_cancer_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"Ct_4_2D"	"Extraction"	""	""	"NMR sample"	"5 mm standard"	""	""	"0.06 M phosphate buffered D2O"	""	""	"7.0"	"298"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker 500 MHz spectrometer"	""	""	"5 mm CPTXI 1H-13C/15N/D Z-GRD"	""	""	"128"	"1D 1H with presaturation (presat)"	"11.7"	"tesla"	"UO"	""	""	"NMR assay"	"30"	"30.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_maslinic_acid_cancer_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"MA_1_1D"	"Extraction"	""	""	"NMR sample"	"5 mm standard"	""	""	"0.06 M phosphate buffered D2O"	""	""	"7.0"	"298"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker 500 MHz spectrometer"	""	""	"5 mm CPTXI 1H-13C/15N/D Z-GRD"	""	""	"128"	"1D 1H with presaturation (presat)"	"11.7"	"tesla"	"UO"	""	""	"NMR assay"	"3"	"3.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_maslinic_acid_cancer_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
"MA_1_2D"	"Extraction"	""	""	"NMR sample"	"5 mm standard"	""	""	"0.06 M phosphate buffered D2O"	""	""	"7.0"	"298"	"kelvin"	"UO"	"http://purl.obolibrary.org/obo/UO_0000012"	""	"hydrogen molecular entity"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_33608"	"NMR spectroscopy"	"Bruker 500 MHz spectrometer"	""	""	"5 mm CPTXI 1H-13C/15N/D Z-GRD"	""	""	"128"	"1D 1H with presaturation (presat)"	"11.7"	"tesla"	"UO"	""	""	"NMR assay"	"4"	"4.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_maslinic_acid_cancer_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv"
