"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"1399CBU_01QC_A3"	"Extraction"	"Acetonitrile/methanol (50:50 v/v)"	"none"	""	"Chromatography"	"Agilent 1290 Infinity HPLC"	""	""	"Ascentis Express C18 (2.7 µm, 2.1 mm x 150 mm; Sigma-Aldrich)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"N/A"	"Agilent 6490 Triple Quadrupole"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"1399CBU_01QC_A3"	"03_D24062013T1259_1399CBU_01QC_A3.d.zip"	"Data transformation"	""	"03_D24062013T1259_1399CBU_01QC_A3.mzML.gz"	"Metabolite identification"	""	"m_collagen_induced_arthritis_in_dba1j_mice_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"1399CBU_01QC_B2"	"Extraction"	"Acetonitrile/methanol (50:50 v/v)"	"none"	""	"Chromatography"	"Agilent 1290 Infinity HPLC"	""	""	"Ascentis Express C18 (2.7 µm, 2.1 mm x 150 mm; Sigma-Aldrich)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"N/A"	"Agilent 6490 Triple Quadrupole"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"1399CBU_01QC_B2"	"11_D24062013T1650_1399CBU_01QC_B2.d.zip"	"Data transformation"	""	"11_D24062013T1650_1399CBU_01QC_B2.mzML.gz"	"Metabolite identification"	""	"m_collagen_induced_arthritis_in_dba1j_mice_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"1399CBU_0005_A1"	"Extraction"	"Acetonitrile/methanol (50:50 v/v)"	"none"	""	"Chromatography"	"Agilent 1290 Infinity HPLC"	""	""	"Ascentis Express C18 (2.7 µm, 2.1 mm x 150 mm; Sigma-Aldrich)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"N/A"	"Agilent 6490 Triple Quadrupole"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"1399CBU_0005_A1"	"12_D24062013T1719_1399CBU_0005_A1.d.zip"	"Data transformation"	""	"12_D24062013T1719_1399CBU_0005_A1.mzML.gz"	"Metabolite identification"	""	"m_collagen_induced_arthritis_in_dba1j_mice_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"1399CBU_0010_A1"	"Extraction"	"Acetonitrile/methanol (50:50 v/v)"	"none"	""	"Chromatography"	"Agilent 1290 Infinity HPLC"	""	""	"Ascentis Express C18 (2.7 µm, 2.1 mm x 150 mm; Sigma-Aldrich)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"N/A"	"Agilent 6490 Triple Quadrupole"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"1399CBU_0010_A1"	"13_D24062013T1748_1399CBU_0010_A1.d.zip"	"Data transformation"	""	"13_D24062013T1748_1399CBU_0010_A1.mzML.gz"	"Metabolite identification"	""	"m_collagen_induced_arthritis_in_dba1j_mice_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"1399CBU_0016_A1"	"Extraction"	"Acetonitrile/methanol (50:50 v/v)"	"none"	""	"Chromatography"	"Agilent 1290 Infinity HPLC"	""	""	"Ascentis Express C18 (2.7 µm, 2.1 mm x 150 mm; Sigma-Aldrich)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"N/A"	"Agilent 6490 Triple Quadrupole"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"1399CBU_0016_A1"	"14_D24062013T1817_1399CBU_0016_A1.d.zip"	"Data transformation"	""	"14_D24062013T1817_1399CBU_0016_A1.mzML.gz"	"Metabolite identification"	""	"m_collagen_induced_arthritis_in_dba1j_mice_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"1399CBU_0012_A1"	"Extraction"	"Acetonitrile/methanol (50:50 v/v)"	"none"	""	"Chromatography"	"Agilent 1290 Infinity HPLC"	""	""	"Ascentis Express C18 (2.7 µm, 2.1 mm x 150 mm; Sigma-Aldrich)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"N/A"	"Agilent 6490 Triple Quadrupole"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"1399CBU_0012_A1"	"15_D24062013T1846_1399CBU_0012_A1.d.zip"	"Data transformation"	""	"15_D24062013T1846_1399CBU_0012_A1.mzML.gz"	"Metabolite identification"	""	"m_collagen_induced_arthritis_in_dba1j_mice_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"1399CBU_0015_A1"	"Extraction"	"Acetonitrile/methanol (50:50 v/v)"	"none"	""	"Chromatography"	"Agilent 1290 Infinity HPLC"	""	""	"Ascentis Express C18 (2.7 µm, 2.1 mm x 150 mm; Sigma-Aldrich)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"N/A"	"Agilent 6490 Triple Quadrupole"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"1399CBU_0015_A1"	"16_D24062013T1915_1399CBU_0015_A1.d.zip"	"Data transformation"	""	"16_D24062013T1915_1399CBU_0015_A1.mzML.gz"	"Metabolite identification"	""	"m_collagen_induced_arthritis_in_dba1j_mice_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"1399CBU_0011_A1"	"Extraction"	"Acetonitrile/methanol (50:50 v/v)"	"none"	""	"Chromatography"	"Agilent 1290 Infinity HPLC"	""	""	"Ascentis Express C18 (2.7 µm, 2.1 mm x 150 mm; Sigma-Aldrich)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"N/A"	"Agilent 6490 Triple Quadrupole"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"1399CBU_0011_A1"	"17_D24062013T1944_1399CBU_0011_A1.d.zip"	"Data transformation"	""	"17_D24062013T1944_1399CBU_0011_A1.mzML.gz"	"Metabolite identification"	""	"m_collagen_induced_arthritis_in_dba1j_mice_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"1399CBU_0007_A1"	"Extraction"	"Acetonitrile/methanol (50:50 v/v)"	"none"	""	"Chromatography"	"Agilent 1290 Infinity HPLC"	""	""	"Ascentis Express C18 (2.7 µm, 2.1 mm x 150 mm; Sigma-Aldrich)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"N/A"	"Agilent 6490 Triple Quadrupole"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"1399CBU_0007_A1"	"18_D24062013T2013_1399CBU_0007_A1.d.zip"	"Data transformation"	""	"18_D24062013T2013_1399CBU_0007_A1.mzML.gz"	"Metabolite identification"	""	"m_collagen_induced_arthritis_in_dba1j_mice_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"1399CBU_0013_A1"	"Extraction"	"Acetonitrile/methanol (50:50 v/v)"	"none"	""	"Chromatography"	"Agilent 1290 Infinity HPLC"	""	""	"Ascentis Express C18 (2.7 µm, 2.1 mm x 150 mm; Sigma-Aldrich)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"N/A"	"Agilent 6490 Triple Quadrupole"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"1399CBU_0013_A1"	"19_D24062013T2042_1399CBU_0013_A1.d.zip"	"Data transformation"	""	"19_D24062013T2042_1399CBU_0013_A1.mzML.gz"	"Metabolite identification"	""	"m_collagen_induced_arthritis_in_dba1j_mice_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
