"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Substrate]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Labeling]"	"Term Source REF"	"Term Accession Number"
"U-2 OS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"U2-OS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001938"	"Sample collection"	"Sh00_AQ_12CGln_107"	"Glutamine"	""	""	"Unlabeled"	""	""
"U-2 OS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"U2-OS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001938"	"Sample collection"	"Sh00_AQ_12CGln_108"	"Glutamine"	""	""	"Unlabeled"	""	""
"U-2 OS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"U2-OS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001938"	"Sample collection"	"Sh00_AQ_12CGln_109"	"Glutamine"	""	""	"Unlabeled"	""	""
"U-2 OS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"U2-OS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001938"	"Sample collection"	"Sh00_AQ_12C_10"	"Glucose"	""	""	"Unlabeled"	""	""
"U-2 OS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"U2-OS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001938"	"Sample collection"	"Sh00_AQ_12C_11"	"Glucose"	""	""	"Unlabeled"	""	""
"U-2 OS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"U2-OS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001938"	"Sample collection"	"Sh00_AQ_12C_12"	"Glucose"	""	""	"Unlabeled"	""	""
"U-2 OS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"U2-OS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001938"	"Sample collection"	"Sh00_AQ_13CGln_122"	"Glutamine"	""	""	"[U-13C]"	""	""
"U-2 OS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"U2-OS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001938"	"Sample collection"	"Sh00_AQ_13CGln_123"	"Glutamine"	""	""	"[U-13C]"	""	""
"U-2 OS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"U2-OS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001938"	"Sample collection"	"Sh00_AQ_13CGln_124"	"Glutamine"	""	""	"[U-13C]"	""	""
"U-2 OS"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"U2-OS cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001938"	"Sample collection"	"Sh00_AQ_13C_22"	"Glucose"	""	""	"[U-13C]"	""	""
