"Sample Name"	"Protocol REF"	"Parameter Value[Extraction Method]"	"Extract Name"	"Protocol REF"	"Parameter Value[NMR tube type]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Solvent]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Sample pH]"	"Parameter Value[Temperature]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[NMR Probe]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Number of transients]"	"Parameter Value[Pulse sequence name]"	"Parameter Value[Magnetic field strength]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Acquisition Parameter Data File"	"Protocol REF"	"NMR Assay Name"	"Free Induction Decay Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"3"	"Extraction"	"Filtered"	"3"	"NMR sample"	"1.7 SampleJet Tube"	""	""	"water"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"7"	"20"	"degré celcius"	"TOP-MENELAS"	"http://menelastop.ics.upmc.fr/CelciusDegree"	""	""	""	""	"NMR spectroscopy"	"Avance III 600"	""	""	"5 mm CPTXI 1H-13C/15N/2H Z-GRD Z44861/0039"	""	""	"128"	"zgesgp.cl"	"14100"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"3"	"3.zip"	"Data transformation"	""	""	"Metabolite identification"	""	""
"4"	"Extraction"	"Filtered"	"4"	"NMR sample"	"1.7 SampleJet Tube"	""	""	"water"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"7"	"20"	"degré celcius"	"TOP-MENELAS"	"http://menelastop.ics.upmc.fr/CelciusDegree"	""	""	""	""	"NMR spectroscopy"	"Avance III 600"	""	""	"5 mm CPTXI 1H-13C/15N/2H Z-GRD Z44861/0039"	""	""	"16"	"jresesgpfp.cl"	"14100"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"4"	"4.zip"	"Data transformation"	""	""	"Metabolite identification"	""	""
"1"	"Extraction"	"Filtered"	"1"	"NMR sample"	"1.7 SampleJet Tube"	""	""	"water"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"7"	"20"	"degré celcius"	"TOP-MENELAS"	"http://menelastop.ics.upmc.fr/CelciusDegree"	""	""	""	""	"NMR spectroscopy"	"Avance III 600"	""	""	"5 mm CPTXI 1H-13C/15N/2H Z-GRD Z44861/0039"	""	""	"128"	"zgesgp.cl"	"14100"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"1"	"1.zip"	"Data transformation"	""	""	"Metabolite identification"	""	""
"2"	"Extraction"	"Filtered"	"2"	"NMR sample"	"1.7 SampleJet Tube"	""	""	"water"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"7"	"20"	"degré celcius"	"TOP-MENELAS"	"http://menelastop.ics.upmc.fr/CelciusDegree"	""	""	""	""	"NMR spectroscopy"	"Avance III 600"	""	""	"5 mm CPTXI 1H-13C/15N/2H Z-GRD Z44861/0039"	""	""	"16"	"jresesgpfp.cl"	"14100"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"2"	"2.zip"	"Data transformation"	""	""	"Metabolite identification"	""	""
"5"	"Extraction"	"Filtered"	"5"	"NMR sample"	"1.7 SampleJet Tube"	""	""	"water"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"7"	"20"	"degré celcius"	"TOP-MENELAS"	"http://menelastop.ics.upmc.fr/CelciusDegree"	""	""	""	""	"NMR spectroscopy"	"Avance III 600"	""	""	"5 mm CPTXI 1H-13C/15N/2H Z-GRD Z44861/0039"	""	""	"128"	"zgesgp.cl"	"14100"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"5"	"5.zip"	"Data transformation"	""	""	"Metabolite identification"	""	""
"6"	"Extraction"	"Filtered"	"6"	"NMR sample"	"1.7 SampleJet Tube"	""	""	"water"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"7"	"20"	"degré celcius"	"TOP-MENELAS"	"http://menelastop.ics.upmc.fr/CelciusDegree"	""	""	""	""	"NMR spectroscopy"	"Avance III 600"	""	""	"5 mm CPTXI 1H-13C/15N/2H Z-GRD Z44861/0039"	""	""	"16"	"jresesgpfp.cl"	"14100"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"6"	"6.zip"	"Data transformation"	""	""	"Metabolite identification"	""	""
"7"	"Extraction"	"Filtered"	"7"	"NMR sample"	"1.7 SampleJet Tube"	""	""	"water"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"7"	"20"	"degré celcius"	"TOP-MENELAS"	"http://menelastop.ics.upmc.fr/CelciusDegree"	""	""	""	""	"NMR spectroscopy"	"Avance III 600"	""	""	"5 mm CPTXI 1H-13C/15N/2H Z-GRD Z44861/0039"	""	""	"128"	"zgesgp.cl"	"14100"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"7"	"7.zip"	"Data transformation"	""	""	"Metabolite identification"	""	""
"8"	"Extraction"	"Filtered"	"8"	"NMR sample"	"1.7 SampleJet Tube"	""	""	"water"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"7"	"20"	"degré celcius"	"TOP-MENELAS"	"http://menelastop.ics.upmc.fr/CelciusDegree"	""	""	""	""	"NMR spectroscopy"	"Avance III 600"	""	""	"5 mm CPTXI 1H-13C/15N/2H Z-GRD Z44861/0039"	""	""	"16"	"jresesgpfp.cl"	"14100"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"8"	"8.zip"	"Data transformation"	""	""	"Metabolite identification"	""	""
"9"	"Extraction"	"Filtered"	"9"	"NMR sample"	"1.7 SampleJet Tube"	""	""	"water"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"7"	"20"	"degré celcius"	"TOP-MENELAS"	"http://menelastop.ics.upmc.fr/CelciusDegree"	""	""	""	""	"NMR spectroscopy"	"Avance III 600"	""	""	"5 mm CPTXI 1H-13C/15N/2H Z-GRD Z44861/0039"	""	""	"128"	"zgesgp.cl"	"14100"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"9"	"9.zip"	"Data transformation"	""	""	"Metabolite identification"	""	""
"10"	"Extraction"	"Filtered"	"10"	"NMR sample"	"1.7 SampleJet Tube"	""	""	"water"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"7"	"20"	"degré celcius"	"TOP-MENELAS"	"http://menelastop.ics.upmc.fr/CelciusDegree"	""	""	""	""	"NMR spectroscopy"	"Avance III 600"	""	""	"5 mm CPTXI 1H-13C/15N/2H Z-GRD Z44861/0039"	""	""	"16"	"jresesgpfp.cl"	"14100"	"tesla"	"UO"	"http://purl.obolibrary.org/obo/UO_0000228"	""	"NMR assay"	"10"	"10.zip"	"Data transformation"	""	""	"Metabolite identification"	""	""
