"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"17"	"Extraction"	""	""	""	"Chromatography"	"Agilent 1290 Infinity HPLC"	""	""	"Ascentis Express C18 (2.7 µm, 2.1 mm x 150 mm; Supelco)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	""	"Agilent 6460 Triple Quadrupole"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"17"	"17.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_oxylipin_mass_spectrometry_v2_maf.tsv"
"16"	"Extraction"	""	""	""	"Chromatography"	"Agilent 1290 Infinity HPLC"	""	""	"Ascentis Express C18 (2.7 µm, 2.1 mm x 150 mm; Supelco)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	""	"Agilent 6460 Triple Quadrupole"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"16"	"16.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_oxylipin_mass_spectrometry_v2_maf.tsv"
"18"	"Extraction"	""	""	""	"Chromatography"	"Agilent 1290 Infinity HPLC"	""	""	"Ascentis Express C18 (2.7 µm, 2.1 mm x 150 mm; Supelco)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	""	"Agilent 6460 Triple Quadrupole"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"18"	"18.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_oxylipin_mass_spectrometry_v2_maf.tsv"
"19"	"Extraction"	""	""	""	"Chromatography"	"Agilent 1290 Infinity HPLC"	""	""	"Ascentis Express C18 (2.7 µm, 2.1 mm x 150 mm; Supelco)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	""	"Agilent 6460 Triple Quadrupole"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"19"	"19.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_oxylipin_mass_spectrometry_v2_maf.tsv"
"20"	"Extraction"	""	""	""	"Chromatography"	"Agilent 1290 Infinity HPLC"	""	""	"Ascentis Express C18 (2.7 µm, 2.1 mm x 150 mm; Supelco)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	""	"Agilent 6460 Triple Quadrupole"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"20"	"20.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_oxylipin_mass_spectrometry_v2_maf.tsv"
"15"	"Extraction"	""	""	""	"Chromatography"	"Agilent 1290 Infinity HPLC"	""	""	"Ascentis Express C18 (2.7 µm, 2.1 mm x 150 mm; Supelco)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	""	"Agilent 6460 Triple Quadrupole"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"15"	"15.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_oxylipin_mass_spectrometry_v2_maf.tsv"
"81"	"Extraction"	""	""	""	"Chromatography"	"Agilent 1290 Infinity HPLC"	""	""	"Ascentis Express C18 (2.7 µm, 2.1 mm x 150 mm; Supelco)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	""	"Agilent 6460 Triple Quadrupole"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"81"	"81.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_oxylipin_mass_spectrometry_v2_maf.tsv"
"9"	"Extraction"	""	""	""	"Chromatography"	"Agilent 1290 Infinity HPLC"	""	""	"Ascentis Express C18 (2.7 µm, 2.1 mm x 150 mm; Supelco)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	""	"Agilent 6460 Triple Quadrupole"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"9"	"09.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_oxylipin_mass_spectrometry_v2_maf.tsv"
"10"	"Extraction"	""	""	""	"Chromatography"	"Agilent 1290 Infinity HPLC"	""	""	"Ascentis Express C18 (2.7 µm, 2.1 mm x 150 mm; Supelco)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	""	"Agilent 6460 Triple Quadrupole"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"10"	"10.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_oxylipin_mass_spectrometry_v2_maf.tsv"
"11"	"Extraction"	""	""	""	"Chromatography"	"Agilent 1290 Infinity HPLC"	""	""	"Ascentis Express C18 (2.7 µm, 2.1 mm x 150 mm; Supelco)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	""	"Agilent 6460 Triple Quadrupole"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"triple quadrupole"	""	""	"11"	"11.zip"	"Data transformation"	""	""	"Metabolite identification"	""	"m_oxylipin_mass_spectrometry_v2_maf.tsv"
