"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"SD01_Neg"	"Extraction"	"60 µl 4:1 methanol:water with 20 mM ammonium acetate"	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-800"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"SD01_Neg"	"SD01_Neg.zip"	"Data transformation"	"IguchiPos_80SF_RAW"	"IguchiPos_80SF_RAW.csv"	""	"IguchiPos_80SF_norm_knn"	"IguchiPos_80SF_norm_knn.csv"	""	"IguchiPos_80SF_norm_knn_glog"	"IguchiPos_80SF_norm_knn_glog.csv"	"Metabolite identification"	""	"m_neg_daphnia_pulex_est_dims_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"SD02_Neg"	"Extraction"	"60 µl 4:1 methanol:water with 20 mM ammonium acetate"	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-800"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"SD02_Neg"	"SD02_Neg.zip"	"Data transformation"	"IguchiNeg_80SF_Raw"	"IguchiNeg_80SF_Raw.csv"	""	"IguchiNeg_80SF_norm_knn"	"IguchiNeg_80SF_norm_knn.csv"	""	"IguchiNeg_80SF_norm_knn_glog"	"IguchiNeg_80SF_norm_knn_glog.csv"	"Metabolite identification"	""	"m_neg_daphnia_pulex_est_dims_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"SD03_Neg"	"Extraction"	"60 µl 4:1 methanol:water with 20 mM ammonium acetate"	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-800"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"SD03_Neg"	"SD03_Neg.zip"	"Data transformation"	"IguchiNeg_80SF_Raw"	"IguchiNeg_80SF_Raw.csv"	""	"IguchiNeg_80SF_norm_knn"	"IguchiNeg_80SF_norm_knn.csv"	""	"IguchiNeg_80SF_norm_knn_glog"	"IguchiNeg_80SF_norm_knn_glog.csv"	"Metabolite identification"	""	"m_neg_daphnia_pulex_est_dims_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"SD04_Neg"	"Extraction"	"60 µl 4:1 methanol:water with 20 mM ammonium acetate"	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-800"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"SD04_Neg"	"SD04_Neg.zip"	"Data transformation"	"IguchiNeg_80SF_Raw"	"IguchiNeg_80SF_Raw.csv"	""	"IguchiNeg_80SF_norm_knn"	"IguchiNeg_80SF_norm_knn.csv"	""	"IguchiNeg_80SF_norm_knn_glog"	"IguchiNeg_80SF_norm_knn_glog.csv"	"Metabolite identification"	""	"m_neg_daphnia_pulex_est_dims_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"SD05_Neg"	"Extraction"	"60 µl 4:1 methanol:water with 20 mM ammonium acetate"	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-800"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"SD05_Neg"	"SD05_Neg.zip"	"Data transformation"	"IguchiNeg_80SF_Raw"	"IguchiNeg_80SF_Raw.csv"	""	"IguchiNeg_80SF_norm_knn"	"IguchiNeg_80SF_norm_knn.csv"	""	"IguchiNeg_80SF_norm_knn_glog"	"IguchiNeg_80SF_norm_knn_glog.csv"	"Metabolite identification"	""	"m_neg_daphnia_pulex_est_dims_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"SD06_Neg"	"Extraction"	"60 µl 4:1 methanol:water with 20 mM ammonium acetate"	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-800"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"SD06_Neg"	"SD06_Neg.zip"	"Data transformation"	"IguchiNeg_80SF_Raw"	"IguchiNeg_80SF_Raw.csv"	""	"IguchiNeg_80SF_norm_knn"	"IguchiNeg_80SF_norm_knn.csv"	""	"IguchiNeg_80SF_norm_knn_glog"	"IguchiNeg_80SF_norm_knn_glog.csv"	"Metabolite identification"	""	"m_neg_daphnia_pulex_est_dims_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"SD07_Neg"	"Extraction"	"60 µl 4:1 methanol:water with 20 mM ammonium acetate"	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-800"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"SD07_Neg"	"SD07_Neg.zip"	"Data transformation"	"IguchiNeg_80SF_Raw"	"IguchiNeg_80SF_Raw.csv"	""	"IguchiNeg_80SF_norm_knn"	"IguchiNeg_80SF_norm_knn.csv"	""	"IguchiNeg_80SF_norm_knn_glog"	"IguchiNeg_80SF_norm_knn_glog.csv"	"Metabolite identification"	""	"m_neg_daphnia_pulex_est_dims_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"SD08_Neg"	"Extraction"	"60 µl 4:1 methanol:water with 20 mM ammonium acetate"	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-800"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"SD08_Neg"	"SD08_Neg.zip"	"Data transformation"	"IguchiNeg_80SF_Raw"	"IguchiNeg_80SF_Raw.csv"	""	"IguchiNeg_80SF_norm_knn"	"IguchiNeg_80SF_norm_knn.csv"	""	"IguchiNeg_80SF_norm_knn_glog"	"IguchiNeg_80SF_norm_knn_glog.csv"	"Metabolite identification"	""	"m_neg_daphnia_pulex_est_dims_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"SD09_Neg"	"Extraction"	"60 µl 4:1 methanol:water with 20 mM ammonium acetate"	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-800"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"SD09_Neg"	"SD09_Neg.zip"	"Data transformation"	"IguchiNeg_80SF_Raw"	"IguchiNeg_80SF_Raw.csv"	""	"IguchiNeg_80SF_norm_knn"	"IguchiNeg_80SF_norm_knn.csv"	""	"IguchiNeg_80SF_norm_knn_glog"	"IguchiNeg_80SF_norm_knn_glog.csv"	"Metabolite identification"	""	"m_neg_daphnia_pulex_est_dims_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"SD10_Neg"	"Extraction"	"60 µl 4:1 methanol:water with 20 mM ammonium acetate"	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-800"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"SD10_Neg"	"SD10_Neg.zip"	"Data transformation"	"IguchiNeg_80SF_Raw"	"IguchiNeg_80SF_Raw.csv"	""	"IguchiNeg_80SF_norm_knn"	"IguchiNeg_80SF_norm_knn.csv"	""	"IguchiNeg_80SF_norm_knn_glog"	"IguchiNeg_80SF_norm_knn_glog.csv"	"Metabolite identification"	""	"m_neg_daphnia_pulex_est_dims_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
