"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Photoperiod]"	"Term Source REF"	"Term Accession Number"
"D. pulex WTN6 strain"	"Daphnia pulex"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6669"	"Daphnia pulex str. WTN6"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"SD01_Pos"	"Short day"	""	""
"D. pulex WTN6 strain"	"Daphnia pulex"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6669"	"Daphnia pulex str. WTN6"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"SD02_Pos"	"Short day"	""	""
"D. pulex WTN6 strain"	"Daphnia pulex"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6669"	"Daphnia pulex str. WTN6"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"SD03_Pos"	"Short day"	""	""
"D. pulex WTN6 strain"	"Daphnia pulex"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6669"	"Daphnia pulex str. WTN6"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"SD04_Pos"	"Short day"	""	""
"D. pulex WTN6 strain"	"Daphnia pulex"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6669"	"Daphnia pulex str. WTN6"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"SD05_Pos"	"Short day"	""	""
"D. pulex WTN6 strain"	"Daphnia pulex"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6669"	"Daphnia pulex str. WTN6"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"SD06_Pos"	"Short day"	""	""
"D. pulex WTN6 strain"	"Daphnia pulex"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6669"	"Daphnia pulex str. WTN6"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"SD07_Pos"	"Short day"	""	""
"D. pulex WTN6 strain"	"Daphnia pulex"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6669"	"Daphnia pulex str. WTN6"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"SD08_Pos"	"Short day"	""	""
"D. pulex WTN6 strain"	"Daphnia pulex"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6669"	"Daphnia pulex str. WTN6"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"SD09_Pos"	"Short day"	""	""
"D. pulex WTN6 strain"	"Daphnia pulex"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6669"	"Daphnia pulex str. WTN6"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"SD10_Pos"	"Short day"	""	""
"D. pulex WTN6 strain"	"Daphnia pulex"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6669"	"Daphnia pulex str. WTN6"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"LD01_Pos"	"Long day"	""	""
"D. pulex WTN6 strain"	"Daphnia pulex"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/6669"	"Daphnia pulex str. WTN6"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"LD02_Pos"	"Long day"	""	""
