"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Concentration]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Treatment group]"	"Term Source REF"	"Term Accession Number"
"D. magna Bham2 strain"	"Daphnia magna"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35525"	"Daphnia magna str. Bham2"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"A1"	""	""	""	"control"	""	""
"D. magna Bham2 strain"	"Daphnia magna"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35525"	"Daphnia magna str. Bham2"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"A2"	""	""	""	"control"	""	""
"D. magna Bham2 strain"	"Daphnia magna"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35525"	"Daphnia magna str. Bham2"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"A3"	""	""	""	"control"	""	""
"D. magna Bham2 strain"	"Daphnia magna"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35525"	"Daphnia magna str. Bham2"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"A4"	""	""	""	"control"	""	""
"D. magna Bham2 strain"	"Daphnia magna"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35525"	"Daphnia magna str. Bham2"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"A5"	""	""	""	"control"	""	""
"D. magna Bham2 strain"	"Daphnia magna"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35525"	"Daphnia magna str. Bham2"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"A6"	""	""	""	"control"	""	""
"D. magna Bham2 strain"	"Daphnia magna"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35525"	"Daphnia magna str. Bham2"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"B1"	""	""	""	"control"	""	""
"D. magna Bham2 strain"	"Daphnia magna"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35525"	"Daphnia magna str. Bham2"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"B2"	""	""	""	"control"	""	""
"D. magna Bham2 strain"	"Daphnia magna"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35525"	"Daphnia magna str. Bham2"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"B3"	""	""	""	"control"	""	""
"D. magna Bham2 strain"	"Daphnia magna"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35525"	"Daphnia magna str. Bham2"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"B4"	""	""	""	"control"	""	""
"D. magna Bham2 strain"	"Daphnia magna"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35525"	"Daphnia magna str. Bham2"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"B5"	""	""	""	"control"	""	""
"D. magna Bham2 strain"	"Daphnia magna"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35525"	"Daphnia magna str. Bham2"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"B6"	""	""	""	"control"	""	""
"D. magna Bham2 strain"	"Daphnia magna"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35525"	"Daphnia magna str. Bham2"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"C1"	""	""	""	"control"	""	""
"D. magna Bham2 strain"	"Daphnia magna"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35525"	"Daphnia magna str. Bham2"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"C2"	""	""	""	"control"	""	""
"D. magna Bham2 strain"	"Daphnia magna"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35525"	"Daphnia magna str. Bham2"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"C3"	""	""	""	"control"	""	""
