"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[sample material]"	"Term Source REF"	"Term Accession Number"	"Factor Value[volunteer]"	"Term Source REF"	"Term Accession Number"	"Factor Value[timepoint]"	"Unit"	"Term Source REF"	"Term Accession Number"
"Volunteer1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000089"	"Sample collection"	"Volunteer1_blood_0h"	"blood"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000089"	"Volunteer1"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Volunteer1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"Volunteer1_plasma_0h"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Volunteer1"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Volunteer1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"erythrocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000424"	"Sample collection"	"Volunteer1_RBC_0h"	"erythrocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000424"	"Volunteer1"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Volunteer2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000089"	"Sample collection"	"Volunteer2_blood_0h"	"blood"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000089"	"Volunteer2"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Volunteer2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"Volunteer2_plasma_0h"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Volunteer2"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Volunteer2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"erythrocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000424"	"Sample collection"	"Volunteer2_RBC_0h"	"erythrocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000424"	"Volunteer2"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Volunteer3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000089"	"Sample collection"	"Volunteer3_blood_0h"	"blood"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000089"	"Volunteer3"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Volunteer3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"Volunteer3_plasma_0h"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Volunteer3"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Volunteer3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"erythrocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000424"	"Sample collection"	"Volunteer3_RBC_0h"	"erythrocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000424"	"Volunteer3"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"Volunteer4"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000089"	"Sample collection"	"Volunteer4_blood_0h"	"blood"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000089"	"Volunteer4"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
